,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600019.SH,X600585.SH,X600111.SH,X000792.SZ,X002466.SZ,X000301.SZ,X601600.SH,X600010.SH,X600188.SH,X000708.SZ,X601898.SH,X002271.SZ,X600660.SH,X600011.SH,X600362.SH,X600547.SH,X600426.SH,X600176.SH,X000825.SZ,X600219.SH,X600886.SH,X000807.SZ,X000408.SZ,X000786.SZ,X000983.SZ,X600096.SH,X000932.SZ,X000959.SZ,X000898.SZ,X002080.SZ,X600803.SH,X300037.SZ,X601699.SH,X600801.SH,X600795.SH,X000723.SZ,X002326.SZ,X601991.SH,X000630.SZ,X600295.SH,X002497.SZ,X600157.SH,X600808.SH,X600141.SH,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.00793761525446458,0,0.00953570348028671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544731568771233,0,0,0,0.0248482900852993,0,-0.0393790664866796,0,0.0416581562932562,0,0,0.0509703871006274,0.00491412548628728,0,0,0.0370142157688579,0,0,0,0,0,0,-0.000697488883443231,-0.025709779498213,0,0,0,0,0,0
X600028.SH,0.0333419829244656,0,0,0,-0.0880939897518682,0,0,0,0,0,0,0,0.0640645708320907,0,0.00322755463387111,0,0,0,0,0,0,0,0,0,0,0,0.116560694814118,0,0,0.070666446722815,0,0,0,0,0,0,0,0,0.0911369456902359,0,0,0,0,0,0.0473101903274088,0,0,0,0,0,0,-0.00211682995392801,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0503795106281331,0.0135267899242186,0,0,0.22640154270959,0,0,0,0,0,0,0,0,0,0.0487301246932046,0,0,0.0107646789849441,0.123542512705814,0,0,0,0,0,0,-0.0510803309501734,0,0,0,0,-0.0410708680080777,0,0,0,0,0,0,0,0,0,-0.0041331325860092,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0799396050244013,0,0,0,0,0,0,-0.010907293671279,0,0.0471009289145765,0,0,0,0,0.257032080186113,0.0677941132019347,-0.0628480348497887,0,0.0298811965972429,0,0,0.0390226733585399,0,0,0,0,0,0,0,0.00696469829444845,0,0,0,0,0,0,0,0,-0.0761834243471874,0,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0815545511737941,0,0.164398444291177,0,0,0,0,-0.0846212291413821,0,0,0,0,0,0,0,0,0.0493639545280668,0,0,0,0,0,0,0,0.137955490036707,0,0,0,0,0,0,0,0,0,0.110999625398188,0,0,0,0.11629233706507,0,0.0247202267977221,0.198394156873852,0,0,0.0474593829108316,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0262787295870062,0,0.0702154155948309,0.107707405351142,0.0878506943641904,0,0,0,0,0,0,0,0,0,0,0,-0.00345278498270293,0,0,0,0,0,0,0.450503990460537,0,0.00988322544290962,0,0,0,0,0,0,0,0,0.00209989320119459,0,0,0,-2.16840434497101e-19,0,0,-0.0427586420740478,0,0,0,0,-0.11510493926306,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475746295115624,0,0,0,0,0,0,0,0,0,-0.0350965608718398,0,0,0,0.660853538932862,0,0,0,0,0,0.00196579527352757,0.0115566255455235,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.532952811042445,0,0,0,0,0,0,0,0.102383894987145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408624061584204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281424865130694,0,0,0,0.209896610434082,0,0,0,-0.244736977424866,0,0,0.0612103888003464,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373860590188157,0,0,0,0,0,0,0,-0.0376948105473587,0,0,0,0.132289355127137,0,0.00961760836126202,0,0,0,0,0,0,0,0,0,0,-0.0724558625942504,0,0,0,0.0360688719151964,0,0,0,0,0,0,0.0341792360390401,0.0820057887065069,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.239466506293619,0,0,0.188774051703935,0,0,0,0.18292337326408,0.13762457627457,-0.0783775194319041,-0.0332071786228167,0,0,0,0,0,0,0,0,-0.00766252248517893,0,0,0,0.349165334426803,0,0,-0.00456199665175518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
