,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X600188.SH,X000792.SZ,X600111.SH,X600019.SH,X002466.SZ,X600011.SH,X000877.SZ,X601600.SH,X600010.SH,X601898.SH,X002271.SZ,X600547.SH,X000708.SZ,X600660.SH,X000301.SZ,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000723.SZ,X000983.SZ,X000408.SZ,X601699.SH,X000807.SZ,X600219.SH,X000786.SZ,X600803.SH,X600096.SH,X600795.SH,X002353.SZ,X601991.SH,X002080.SZ,X300073.SZ,X000630.SZ,X600688.SH,X600489.SH,X600378.SH,X600141.SH,X000825.SZ,X600157.SH,X000960.SZ,X600801.SH,X600160.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0784872670829944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939764913943018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714585026938187,0,0,0,0,0,0,0,0,0,0,0.0616906196324173,0.0269261615274776,0,0,0,0,0.074504843504744,0.265775726586415,0,0,0,0,-0.0239925322519582,0,0,0,0.0193720170740871,0,0
X601088.SH,0,0,0,0,0,0,0.103951167042726,0,0,0,0,0,0,0,0,0.128900830668872,0,0,0,0,0,0,0,0,0,0,0,0,0.334708088931935,0,0,0,0,0,0,0,0,0,0,0,0,0.0895278735236042,0,0,0,0,0.031166612215271,0,0,0,0,0,0.00413466929390485,0,0,0,0.0256929320487205,0,0
X600028.SH,0.046344562088644,0,0,0,0,0,0.00859039202155622,0,0,0,0,-0.038565585762785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507913277725401,0,0,0.0114474507396936,0,0,0,0,0,0,0,0,0,0.0446408767309904,0.16403475825792,0,0,0,0,0,0.0127437292163509,0,0,0,0,-0.015659719592969,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480733088651448,0,0.0856454301178621,0,0.169123993796996,0,0,0,0,0.0198717919401501,0,0,0,0,0,0,0.0381795883865402,0,0,0.107378573505227,0,0.0141011202233252,0,0.0341314349546129,0,0,0,0,0,0,0,0,0,0,0,-0.0031248580303294,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117474005977128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468401987486447,0,0,0,0,0,0,0,0,0.0170470262151835,0,0
X002460.SZ,0,0,0,0,0,0,0.164281108769886,0,0,0,0.497366101415926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066082270393855,0,0.0293799849899668,0,0,0,0,0,0,0,0,0,0.162227737807985,0.0832969553555514,0,0,0,0,0.15119137664065,0,0,0,0,0,0,0,0,-0.0180956114809651,0,0,0,1.0842021724855e-19,0,0
X600188.SH,0,0.172981925396694,0,0,0,0.097392677707516,0,0,0,0,0,0.0547554868726274,0,0,0,0,0.0169900390353825,0,0.0623560654786639,0,0,0,0,0,0,0,0.46567863925172,0,0,0.0279783108422388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0734072873892223,0.119911701980102,0,0,0,-0.035892199834034,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.314778375410614,0,0.370418029480617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298327467675301,0,0,0,0,0,0,0,0,0,0.109985799345665,0,0,0,0,0,0,0.0129582970707232,0,-0.120201801526065,0,0,0,0,0,0,0,0,0,0,0,-0.0365181778896429,0,0
X600111.SH,0,0,0,0,0,0.287054594305316,0,0.0137187487026636,0,0,0,0,0,-3.46944695195361e-18,0.26971339282627,0,0,0,0,0,0.103930119946597,0,0,0,0,0.143240918043861,0,0,0,0.0958016467130355,0,0,0,0.0742705635756136,0,0,0,0,0,0,0,0,0.0498290418056569,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0109618019787333,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.158109509407817,0,0,0,0,0,-0.0100592116091257,0,0,0,0,0,0,0,0,0.023626560215965,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0138839094373446,0.164218587673129,0,0.372937643945119,0,0,0,0,0,0,0,0,0
