,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X000708.SZ,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X000723.SZ,X600027.SH,X601992.SH,X002466.SZ,X600516.SH,X002271.SZ,X000786.SZ,X600489.SH,X002460.SZ,X000898.SZ,X600176.SH,X600299.SH,X600426.SH,X601158.SH,X000883.SZ,X000709.SZ,X600612.SH,X000629.SZ,X600219.SH,X002353.SZ,X600583.SH,X600315.SH,X000027.SZ,X000630.SZ,X000553.SZ,X600985.SH,X601699.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135975428369098,0,0,0,0.0641951552320937,0,0,0,0.0388940613065899,0,0,0,0,0,0,0.0447176141095078,0.0311125111954364,0,0,0,0,0,0,0.0412477052033229,0.0454192764947057,0,0,0,0,0,0,0,0,-0.00610054906735768,0,0,0,0,0.0211388337916234,0,0
X600028.SH,0,0,0.037820091692059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561721116145059,0,0,-0.0155147753124672,0.0860068843489446,0,0,0,0,0,0,-0.033797333360505,0,0,0,0.000577923251084028,0,0,0,0,0,0,0,0.0479371266187463,0,-0.0736223523773109,0,0,0,0,0,0,0,-0.00803280895456169,0,0,0.200312786274686,0,0,0,0
X601088.SH,0,0,0,0.417025748948326,0,0,0,0,0,0,0,0,0,0.0320339605483694,0,0,0.0302090871809716,0,0.0122944308936181,0,0,0,0.0354307888743715,0,0,0,0.0200145426479286,0.0298122504927322,0,-0.0108750276356974,0,0,0,0.0302666441735757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,-0.00328635799420586,0,0
X600585.SH,0,0,0,0,0,0,0.00357577313114114,0,0,0,0,0,0,0,0,0,0,0,0.0339693721434638,0,0.612033813363323,0,-0.00746048765724216,0,0,0,0,0,0,0,-0.031382481880356,0,0,0,0,0,0,0,0,0,0,-0.0300242936218683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0
X600309.SH,0,0,0,0,0,0,-0.110191421960039,0,0,0,0,0,0,0.0634272027678366,0,0,0,0,0.0471898629615502,0,0,0,0.0271262611531037,0,0,0,0.0766310872434447,0,0.0951124910869658,0,0.075484870762267,0,0,0,0.041432261177062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00533462326966973,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439152651100636,0,0,0,0,0.102613980349009,0.0461359449603323,0,0,0.0308021776011181,0,0,0,0,0,0,0,0.0841215706901784,0,0,0,0.0142159264044668,0,0,0,0,0,0,0,0,0,0,0,0.0651266654257839,0,0,0,0,0,0.00152199428767441,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825599595129981,0,0,0,0,0,0,0,0,0.0110118565295206,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00582109311536909,0,0,0,0.0240962573783942,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340698225226763,0,0,0.0576171303584201,0.0140168551844515,0,0,0,0,0,0,0,0,0,0,-0.0594030929478794,0,0,0,0,0.0705042374933911,0,0,0,0,0,0,0,0,0.0314564554799412,0,0,0,-0.00460766168572642,0,0
X600010.SH,0,0,0,0,0,0,-0.00461127221045758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116586818238759,0,0,0,0.0601290205638886,0,0,0,0.0255286523828896,0,0,0.00797662114939694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242886717694002,0,0,0,0,0.00632946262900898,0,0,0,-0.0063080644090391,0,0
X601898.SH,0,0,0,0,0,0,-0.0167392174398392,0,0,0,0,0,0,0.223271721108509,0,0,0,0,0,0,0,-0.0739160860227337,0.0284239568007659,0,0.0175447151342881,0,0,0,0,0,0.0218017891796461,0,0,0.0718870499495288,0,0,0,0,0,0,0,0,0,0.00537876889393086,0,0,0,0.0358956438131306,0,0.031477455936947,0,0,0,0,0,0,0.013900008104609,0,0
