,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X600362.SH,X000708.SZ,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X000723.SZ,X600111.SH,X601992.SH,X600027.SH,X002271.SZ,X600516.SH,X000786.SZ,X600489.SH,X002353.SZ,X002466.SZ,X000898.SZ,X002460.SZ,X600176.SH,X600299.SH,X601158.SH,X600426.SH,X000709.SZ,X000883.SZ,X600583.SH,X600219.SH,X600612.SH,X000629.SZ,X600315.SH,X000027.SZ,X000792.SZ,X000630.SZ,X000553.SZ,X000825.SZ,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0107638632241908,0,0,0.0421414605535623,0,-0.00881483833552372,0,0,0,0,0,0,0.0296526557001764,0,-0.0164907907586654,0.0635827954315577,0,0,0,0,0.0681892753310873,0,0,0.0586360970726416,0,0,0,0,0.0622663312073801,0,0.0549451223031844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00675563322941988,0,0,0,0,0.016407737888945,0,0
X600028.SH,0,0,0.0491303109991824,0,0,0,0,0,0,0,0,0,0,0,0,0.0333376459984837,0,0,0.0487213899410265,0,0,0.100275710521694,0,0,0,0,0,0,0,0.0552988302713761,0,0,0,0,0,0,0.0556058658455154,0,0,0,0,0,0,-0.01267280950174,0,0,0,0,0,0,0,0,0,0,0,0,-0.00962703084866514,0,0
X601088.SH,0,0,0,0.219565537506183,0,0,0,0,0,0,0,0,0,0,0,0.0445762668644565,0,0,0.0352633434017584,0,0,0.0300056442285289,-0.0149501102367885,0,0,0,0,0.11432739223653,-0.076708892186003,0,0,0,0,0,0.0322497575492148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276854016453472,0,0
X600585.SH,0,0,0,0,0,0,-0.0176592204159425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594828107003071,-0.0128697580843857,-0.0221406066564171,0,0,0,0,0,0,0,0,0,-0.074377481489041,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486080280376419,0,0,0,0,0,-0.00355664160436432,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.147382933119063,0,0,0,0,0,0,0,0,0.0148625713398666,0,0,0.0560403638210498,0,0,0.0079268078734663,0,0,0,0,0.0780916666798138,0.122314063722579,0,0,0.0218490681417962,0,0.0321686382614941,0,0,0,0,0,0,0,0,0,0,0.015779329705122,0,0,0,0,0,0,0,0,0,0,0,0,0.00403259303692353,0,0
X600019.SH,0,0,0.255629595552038,0,0,0,0,0,0.0819214328711401,0,0,0,0,0,0,0,0,0,0,0,0,0.0516496974958094,0,0,0,0,0,0.0626850917302906,0,0,0,0,0,0,0,0,0,0,0,0.081759902995234,0,0,0,0,0,0,0,0.0112784189853048,0,0,0,0,0.000411754625614332,0,0,0,-0.00495099467243906,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.100348287406912,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,1.00463230032667,0,-0.0920191824390881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104270358236823,0,0,0,0,0,0.000394488972336356,0,0,0,0,0.0475259240900536,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076003117810572,0,0,0,0,0.0910452939791711,0,0,0,0.321691168829144,0.00837106502317466,0,0,0,0,0.0202980023522156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113201195305978,0,0,0,0,-0.00417494167022004,0,0
X600010.SH,0,0,0.000341798877259706,0,0,0,0,0,0,0,0,0,0,0.0107226904431032,0,0,0,0,0,0,0,0.10636977504497,0,0,0,0,0.0354376160951991,0,0,0,0,0,0.0439932446915288,0,0.0183961604093549,0,0,0,0,0,0,0,0,0,0.0759735394178958,0,0,0,0,0.216905928753031,0,0,0.0108863949313813,0,0,0,-0.0146775740238863,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214034711570207,0,0,0,0,0.0560286117689738,0,0,0,-0.0395131288725453,0,0,0,0,0,0,0,0,0,0,0,0.181039694176814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570286153156148,0,0,0.000398400830138982,0,0,0,0.0317538531995428,0,0
