,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600352.SH,X600547.SH,X600660.SH,X000723.SZ,X601991.SH,X600188.SH,X600688.SH,X600886.SH,X600795.SH,X600362.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600176.SH,X600516.SH,X600111.SH,X000709.SZ,X002466.SZ,X600299.SH,X000786.SZ,X002460.SZ,X000629.SZ,X600219.SH,X002110.SZ,X002271.SZ,X000990.SZ,X600985.SH,X601158.SH,X600489.SH,X000553.SZ,X600808.SH,X000630.SZ,X000883.SZ,X000825.SZ,X600157.SH,X600583.SH,X600426.SH,X601699.SH,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0186443661188271,0,0,0.0568997667828117,0,0,0,0,0.00791033423355659,0,0,0,0,0,0.110552419799167,0,0,0.0198664474299286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257111897415758,0,0,0,0,0,0,0,0,0,0,0.010247728190566,0,0,-0.0146179000641694,-0.00580284360506051,0,0,0,0,0,0
X600028.SH,0,0,0.150397018702663,0,0,0.0273969836871775,0,0,0.0909683846292556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837550008486814,0,0.0574084354707947,0,-5.42101086242752e-20,-0.0325787600829046,0,0,0,0,0,0
X601088.SH,0,0,0,0.241521978360149,0,0,0,0,0,0,-0.0201281613828357,0,0,0,0,0.0116592689058517,0,0,0,0,0,0,0.0066889294430073,0,0.010417169121571,0,0.162151664827513,0,0,0,0.00958191151989302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252012496165708,0,0,0,0,0,0.00246773233951005,-0.073248045879778,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.127403743180641,0,0,0,0,-0.0209166427515068,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0.494744379941497,0,0,0,0,0,0,-0.0303483910785189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01730138996887,0,0,0,0,-0.00875751528152237,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0174665560018754,0,0,0,0,0.0510255060459603,0,0.0214261496427047,0,0,0,0.161843429786053,0,0,0.150546511580054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805781020626432,0,0,0,0,0,0,0,0.0832214928224953,0,0,0,0,0,0,-0.0175626930283837,0,0,0,0,0,0
X600309.SH,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0984812090271449,0,0,6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025594869389954,0,0.0671972501904982,0,0,0,0.173430535970581,0,0,0,0,0,0,0.0569735476647831,-0.101394855394425,0,0,0,0,0.411707193347415,0,0.0408815179387826,0,0.00820766662033558,0.0175360663241146,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0228950460812162,0,0,0,0,0,0,0,0,0,0,0,0,0.383189905119367,0,0,0.396824878432292,0,0,0,0,0,0,0,0,0.0636771727755455,0,0,0,0,0,-0.0336528633436653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256799834573724,0,0,0,0,0.0660147449381823,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0992247438292354,0,0.0108793929912567,0,0,0,0,0,0,0,0,0.0477237097227092,0,0,0,0,0,0,0.187952138981606,0,0,0,0,0,0.0192557725796265,0.199302791923636,0,0,0,0,0,0,0,0,0,0,0,0.15244503000146,0,0.00101214324663581,0,0,0,0,-0.0316235392723921,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0648259497910397,0,0,0,0.0470116235368442,0,0,0.0847893914402876,0,0,0,0.12789862079663,0,0,0,0,0,0,0.243708384616013,0,0.0186804398876517,0,0,0,0,0,0,0,0,0,0.0160749049249115,0,0.0728155232192135,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.122891248550572,0,-0.0126838867784242,0,0,0.00922297541491108,0,0.244962565670039,0,0,0.0622897442332797,0.140694524898116,0,0.0284963542553694,0,0,0,0,0.0378695192345079,0,0,0,0,0,0,0,0,0,0,0.0109350815112874,0,0,0,0,0,0,0,0.0290804431602274,0,0,0,0,0,-8.62327256252555e-05,0,0,0,0,-0.0232050207790354,0,0
