,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X000708.SZ,X600489.SH,X600027.SH,X600111.SH,X600803.SH,X600010.SH,X601699.SH,X002460.SZ,X000983.SZ,X600160.SH,X600426.SH,X601991.SH,X000301.SZ,X000786.SZ,X002466.SZ,X000933.SZ,X002128.SZ,X000807.SZ,X600985.SH,X000630.SZ,X600176.SH,X000877.SZ,X600219.SH,X601168.SH,X000408.SZ,X000883.SZ,X600348.SH,X600096.SH,X002353.SZ,X002271.SZ,X000027.SZ,X600995.SH,X600612.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0838818381944382,0.507829314748056,0,0,0,0,0.0712730707394222,0,0.159415319104106,0,0,0,0,-0.116377274185021,0.0220596351944367,0,0.0476774812823752,0,0,0,0,0,0,0,0,-0.0358102804041912,0,0,0,0,0.053718118489842,0,0,0,0,-0.0710262083304179,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443661431517185,0,-0.0104911687424466,0.00627987320767014,0,0,0,0,0,0
X601088.SH,0.208143501935222,0,0,0,0,0.00364465464802575,0,0,0,0.0442190523351362,0,0,0,0,0,0,0,0,0,0,0,0,0.0526181398114886,-0.00348925510961569,0.294413932577713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0482189778841807,0,0,0,0.0244392491750125,0.0634776841073443,-0.0279455211831058,0,0,0,0,0,0,0,0,0,0,0.0602765044913525,0,0
X600028.SH,0.496891142830366,0,0,0,0,0,0.0733601111473316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00923015422328147,0.0192463007250302,-0.120486169413066,0,0,0,0,0,0,0,0.00811427302084658,0,0.0591489370405372,0,0,0,0,0,0.00852530544607705,0,0,0,0,0,0,0,0,0,0,0,0.011423594527932,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625450556754285,0.101808027754497,0,0,0,0,0,0,0,0,0,0.0186824983116507,0,0,0,0,0,0,0,0,0,0.0412591566815258,0.0613085105103118,0,0,0,0,0,0,-0.103271988463884,0,0,0,0,0,0,0,0.000411855632345571,0,0,0,0.039763130798608,0,0
X600188.SH,0.0604077812724203,0,0,0,0,0.0882781516009474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210631049297907,0,0.0565221342683828,-0.0897205626811663,0,0,0,-0.165168577467047,-1.73472347597681e-18,0.0636477485102531,0,0,0.229402939229678,0,0,0,0,0,0,0,0,0,0,-0.00895945530815834,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.0235728065407603,0,0,0.0176920703129554,0,0,0,0,0,0,0,0,0,0,0,0.0683111959821821,0,0,0,0,0,0.235093611111141,0,0,0.0522523674302324,0,0,0,0,0,0,0.050446167024092,0,0.313208634652141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265539357034277,0,0,0,0,0,0,0
X600019.SH,0,0.100251197151492,0,0,0,0.0596096152760471,0,0,0,0,0,0,0,0,0,0,0.200768800210739,0,0,0,0,-0.132635050230842,0.0237924460142475,0,0,0,0,0,0,0.0100143188518632,0,0,0,0,0,0,0,0,0,0,0,0,0.0608087127953673,0,0,0.0243854354274046,0,0,0.0268864557863625,0.433871542022348,0,0,0.012421288296759,0,0,0,0,0,0
X600011.SH,0.098870767969438,0,0,0,0,0,0,0,0,0,0,0,0,0.288967413968065,0,0,0,0,0.237534207076766,0,0,0,-0.0780504529562526,0,0,0,0,0.19190526214389,0,-0.0394913436348528,0,0,0.0643147659668954,0,0,0,0,0,0,0,0,0,0,0,0.0940859258582005,0,0,0,0,0,0,0.0312266323799068,0.012255090903152,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0438749657576214,0,0,0,0,0,0,4.33680868994202e-19,0.275292113427207,0,0,0,0,0,0,0,0,0,0,0,-0.0308599583582902,0,0,0,-0.0677230540866269,0,-0.077718809289109,0,0,0,0,0,0,0,0,0,0.0253134097138848,0,0,0,-0.0243768132793044,0,0,0,0,-0.188570582348606,0,0,0,0,0,0.0591453263184768,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935387594209321,0,0,0,0,0.0489672513127972,0,0,0,0,0,0.234702365070389,0,0.118348943938642,0.0845554936810107,0,0,0,0.127116762177848,0.201379480832283,0,0,0,0,0,0,0,0,0,0.0834676311565788,0,0,0,0,0,0,0,0,0
