,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X600886.SH,X601991.SH,X600688.SH,X600027.SH,X600157.SH,X000709.SZ,X600188.SH,X600111.SH,X600362.SH,X600583.SH,X601992.SH,X002075.SZ,X601158.SH,X600309.SH,X000539.SZ,X000027.SZ,X600021.SH,X000898.SZ,X600352.SH,X000883.SZ,X002353.SZ,X601918.SH,X002470.SZ,X000792.SZ,X000629.SZ,X600863.SH,X600307.SH,X600808.SH,X600098.SH,X000878.SZ,X600660.SH,X600578.SH,X000060.SZ,X000825.SZ,X600489.SH,X300072.SZ,X600008.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601992.SH,0,0,0,0,0,0,0,0,0,0.0479423095690131,0,0,0,0,0,0,0,0,0,0,0,0,0.0210627376924943,0,0,-1.38777878078145e-17,0,0.123032852287754,0.0744137756695274,0,0,0.0993293931417472,0,0,0,0.338749633332868,0,0.0513016808174657,0,0,0,0,0,0,0,0,0.0144967195967132,0,0,-0.00791331717365037,-0.00335098832613889,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122190049892667,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104714855008311,0,0,0,0,0,0,0,0,0.0500707029179012,0,0,0,-0.0119072672693456,-0.00366338958549192,0,0,0,0.152808158271984,0,0
X601158.SH,0,0,0,0,0,0,0.0226988721222869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158250262203525,0,0,0,0,0.214778677112693,0.0720518481735846,0.12288980840779,0.0486356568244525,0.00435573635306697,0,0.0197350022104121,0,0,0.0373816452493127,0,0,0.0381003954447474,0,0,0,0,0,0,0.109578272580231,0,0,0,0,-0.00685455297220455,0,0,0,0,0,0,0
X600309.SH,0,0,0,0.242091511998314,0,0,0.0458396395066191,0,0,0,0,0,0,0,0,0,0.028622806463769,0,0,0,0,0,0,0,0,0,0,0,0.255358039042597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206782764671245,0,0,0,0,0,0,0,0,0,0,0,0
X000539.SZ,0.307735845601442,0,0,0,0,0,0,0,0,0,0,0,0.0207106178167442,0,0,0,0,0,0,0.0561452627703923,0,0.188131316082876,0,0,0,0,0,0,0.00494628963952072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117066689064274,0,0,0,0.0572531301801583,0,0,0.063122398511817,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00753274562003165,0,0,0,0,0,0,0,0.132003452250614,0,0,0.185728663591669,0,0,0,0,0,0,0,0,0,0,0,0.00410484453357778,0,0,0,0,0,0,0,-0.00153947561216437,0,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245709889881839,0,0,0,0.18312602795115,0,0.043144881720531,0,0,0,0,0,0,0.0160392557170424,0,0,0,0,0,0,0,0,0,0,0,-0.00297779501973723,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.471161823379115,0,0,0,0,0,0.133681611083229,0,0,0,0,2.77555756156289e-17,0,0,0,0.270435621811094,0,0.00879329421202635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00671618275301626,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151694809723043,0.0150555155881567,0.333620909464961,0,0,0,0,0.0542472017230929,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0.0380158013743638,0,0,0,0,0,0,0,0,0,0,0,-0.0109732317164003,-4.33680868994202e-19,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104138618424587,0.105512367712331,0,0.0202240283482899,0,0,0.00687053749320663,0,0,0,0.0225032157932143,0,0.067452326807668,0.0574585155036717,0,0,0,0,0,0,0,0.157872351305756,0,0,0,-0.0193283570741979,0,0,0,0,0,0
