,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600362.SH,X600886.SH,X600795.SH,X600010.SH,X600188.SH,X600688.SH,X600309.SH,X600027.SH,X600583.SH,X002353.SZ,X601992.SH,X000792.SZ,X601158.SH,X000898.SZ,X600315.SH,X000883.SZ,X000629.SZ,X600489.SH,X000709.SZ,X600490.SH,X600547.SH,X000825.SZ,X600352.SH,X000831.SZ,X000539.SZ,X600660.SH,X601699.SH,X000630.SZ,X000983.SZ,X600307.SH,X600549.SH,X002470.SZ,X000937.SZ,X000027.SZ,X000960.SZ,X600578.SH,X000959.SZ,X600863.SH,X600516.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0294112788037482,0,0,0,0,0.00609032807979187,0,0,0,0,0,0,0,0,0,0,0,0.026442957802394,0,0,0,0,0,0.0253533426538075,0.0129819373169174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028366173824514,0,1.0842021724855e-19,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.110266216726653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419277820829681,0,0.0713785917862817,0,0,0,0,0,0,0,0,0,-0.00197988466877635,0,0,0,0,0,0.0571766482384795,0,0,0,0,0,0,0,0.124127316397826,0,0,0.0598647998484435,0.0166529729410275,0,-0.0050177422704498,0.00609654714167942,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0600355925491813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690230116241748,0,0.241235181564624,0.0612308033215746,0,0,0.0753166367152561,0,-0.0338743084195691,0,0,0,0,0.0125463502791349,0,0,0.00672950456145737,0,0,0,0,0,0
X600585.SH,0,0,0.0688012599212469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419895892402765,0,0,0,0,0,0.138926443596005,0,0.00774513010642147,0,0,0,0,0,0,0,0,0,0,0.0376070289245541,0,0.0609575298355559,0,0,0.0071613023846356,0,0,0,0.0206548145308533,0,0.00053267773458537,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0668601948744508,0,0,0,0,0,0,0,0.0156575245496138,0,-0.046827339854468,0.0985719610151252,0,0,0,0,0,0,0,0,-0.0359178571218751,0,0,0,0,0,0.0511983567376916,0,0,0,0,0,0,0,0,0,0.0451249629491888,0.0704421214120857,0,0,-0.0114286624304317,0,0.00774469821367938,0.0306407564189259,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129707058643619,0,0,0,0,0,0.109633420254592,0,0,0.0299059646326926,0,0,0,0,0,0.0616006625350733,0.00735355096394647,0,0,0.0386660828047446,0,0,0.0649610790701387,0,0,0,0.0342247808265241,0.220556025872762,0,0,0,0,0.00344773065429044,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0171574576654182,0,0,0,0,0,0,0,0.0112967077669847,0,0,0,0,0,0,0.0987920792026402,0,0,0,0,0,0.0974762325426865,0,0,0,0,0,0,0.0605699367831157,0,0,0.0769098207260547,0,0,0.00362078699766314,0,0,0.16428364063166,0,0,0,0,0,0,0,0,0.00715401856710088,-0.0115317100964414,0,0,0,0,0,0
X601991.SH,0,0,0.0589974115292984,0.13855353377557,0,0.065069091207665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210634679944372,0,0.0120670781012294,0,0.0732621138823053,0,0,0,0,0,0,0,0,0,0,0,0.210002084243384,0,0,0,0,0,0.0204001272622875,-0.0346671440464535,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0242467077733967,0,0,0,0,0.0072105019542657,0,0,0,0,0,0.0646922128451652,0,0,0,0,0,0.0135461436661689,0,0,0,0,0.0244015341851663,0,0.0217519694079102,0,0,0.090984130293891,0,0,0.0594814438125542,0.261253386634999,0,0,0,0.0754674406205896,0,0,0.0129565856251744,0,0,0,-0.00713304703246876,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166084970147115,0,0,0,0,0,0.152192825928636,0,0,0,0.257225230908266,0,0,0,0,0.0166291844827674,0,0,0,0,0,0.0997306121122889,0,0,0,0,0,0.0118749210207079,0,0,0.0496724879986722,0,0,0,0,-0.00644774697085287,0,0,0,0,0,0,0
