,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X600111.SH,X601600.SH,X000786.SZ,X600176.SH,X600886.SH,X600011.SH,X601898.SH,X000301.SZ,X600188.SH,X600426.SH,X002466.SZ,X600352.SH,X600801.SH,X601991.SH,X000932.SZ,X600219.SH,X600803.SH,X600795.SH,X000027.SZ,X600489.SH,X002080.SZ,X600688.SH,X000807.SZ,X600486.SH,X600299.SH,X000898.SZ,X600027.SH,X002353.SZ,X601168.SH,X600516.SH,X601992.SH,X600157.SH,X000630.SZ,X000723.SZ,X600315.SH,X000830.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.238240443961858,0,0,0,0.0272409110879876,0,0,0,-0.0131331412713323,0,0,0.0149988956359269,0.017067163421879,0.0138501380084336,0,0,0,0,0,0,0,0.0124146217166024,0,0,0,0,0,0.0156590195094618,0,0,0,0,0,0,0,0,0,0,0,0.0535077329961909,0.0578633556885919,0,0,0,0,0,0,0,0,0,-0.00197419471979066,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0655283966220885,0,0,0,0,0,0,0,0.0240524992972586,0,0,0,0,0.00726976753103345,0,0,0,0.0286679161885463,0,0,0,0,0.075310458986052,0,0,0,0,0,0,0,0,0,0,0,0.053589145663594,0,0,0,0,0.0618798906570659,0,0,0,0,0,0,-0.025503621035877,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0610738503215515,0,0,0,0,0,-0.0975709633052493,0,0,0,0,0,0,0.0874110446189128,0,0.217642631292851,-0.00220803691910337,0.0153904591127971,0,0,0,0.0578535422601533,0.194066267188704,0,0,0,0,0,0,0.00434601596341164,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0595161958876345,0,0.0373189997254705,0,0,0,0,0.0282424923967211,0,0
X600309.SH,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0740180797964354,0,0,0,0,0,0,0,0,0.103729767031529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238268125384158,0,0,0,0,0,0,0,0,0,0,0.0526765294850781,0.218573585091016,0,0,0,-0.00304434024131135,0,0,0,0.0859692457438905,0,0
X600585.SH,0,0,0,0.0117450296681908,0,0,0,0.0245927495279527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662640221771684,0,0,0,0.21253119858641,0,0.0535707102959514,0,0,0,0,-0.0530543016214817,0,0,0.010406375995994,0,0,0,0,0,0.0174176694402355,0,0,0,0,0,0.0466542367406562,0,0,-0.0439393342763988,-0.0190513042786935,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.127439748354003,0.0348767698441289,0,0,0,0,0.161944951648741,0.179954770979488,0,0,0.0421514921438687,0,0,0,0.277807659862443,0,0,0,0,0,0,0,0,0,0,0.192052111456372,0,0,0,0,0,0,0,0,0.0461023529091105,0,-0.011062133513591,0,-0.0574954656068818,0.0474659768928838,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484402313554875,0.062628156292531,0,0,0,0,0,0,0,0,0.114170406127106,0,0,0,0,0,0,0,0,0.0964217118618269,0,0,0,0,0,0,0.103344253186672,0,0.381566829657153,0.216932249219678,0,0,0,0,0,0,-0.334273053354884,0,0,0,-0.0392112097155149,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.154537045424063,0,0,0,0,0.0744097678337051,0,0,0.388567556258441,0,0,0,0.140629698666487,0,0,0.0394549038386659,0,0,0,0,0,0,0,0,0,0,0,0,0.139947605764194,0,0,0,0,0.410278814668703,0,0,0,0,0.0693871563610579,0,0,0.0678841985005342,0,0,0.00931010951956951,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0.178244533616102,0,0.164708738594379,0,0,0,0,0,0,0,0,0,0,0.0597291428371226,0,0,0,0,0,0,0,0,0.017169995680953,0,0,-0.127040756267742,0,0,0,0.0944702633432059,0,0,0,0,0,0,0,0,0,0,0,0,0.0981205242546942,0,-0.0361098146503811,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.187169025301993,0,-0.223650906019364,0,0,0.280731054529324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233697128491635,0,0,0,-0.065338502572504,0,0,0,0.00287088008673854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0403516702719719,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.0158607190202971,0,0,0,0,0.0505714215125751,0.014480345881701,0.112047938187776,0,0,0,0,0,0,0,0,0,0.038776273305701,0,0,0,0,0,0,0,0,0.295810833614981,3.46944695195361e-18,0,0,0,0,0,0,0.0137490729190884,0,0,0,0,0.0221318810390638,0,0,0,0,0,-0.00256172706109733,0,0,0,0,-0.0744201136588506,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.0705558578668652,0,0,0,0,0.033691594008971,0,0,0,0,0,0.161680754091296,0,0,0,0,0,0,0,0,0.154476166113854,0,0,0,0,0.118192930030281,0,0,0.0799372704699571,0,0,0,0,0.0536557102390868,0,0,0,0.506583722541708,0,0,0.250614855921132,0,0,-0.00838575210018628,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,-0.057496277588957,0,0,0,0.101015118660805,0,0,0,0,0,0,0.0851580158573796,0,0,0.0704207141122043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008100852044619,0,0,0,0,0,0,0,0,0,-0.0513913876397655,0.0451202800378375,0,0,0,0.149147720233557,0,0
