,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X300072.SZ,X600188.SH,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X601992.SH,X600309.SH,X600489.SH,X600660.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000723.SZ,X000898.SZ,X600352.SH,X000408.SZ,X600583.SH,X000883.SZ,X000959.SZ,X000983.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X600126.SH,X600021.SH,X002470.SZ,X000630.SZ,X000012.SZ,X600098.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0426501027676366,0,0,0.0304700498753505,0,-0.0049589575848639,0,0,0.0228819118363189,0,0,0,0.0509338680651957,0,0,0,0.0131312418123974,0,0,0,0.00814309949197649,0,0,0,0,0.0317409153777351,0,0,0,0,0,0,0,0,0.0488531073099227,0,0,0,-0.00250821569994192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0600532996621536,0,0,0,0,0,0,0.0316745517036019,0,0,0,0,0,0,0,0,0,-0.020839694570222,0,0,0,0.0393070892458982,0.00158203123372883,0,0,0,0,0,0,0,0,0,0,0.0393593876084593,0.00927148612832487,0,0,-0.0238396802501717,0,0,0,0,0.00559137002688951,0,0.0812653172425859,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0841899664380148,0.0702354644951651,0,-0.0281595142949985,0,0.0343736399874668,0.0793406914579161,0,0,0,0,0,0,0,0.0681021902595369,0,0,0,0,0,0,-0.0131533852378794,0,0,0.00148537820013292,0,0,0,0,0,0.0530543862541011,0,-0.017487493016892,0,0,0,0.0283589861905503,0,0,0,0,0,0,0,0.0254954525195527,0.0644273995651757,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0138984550281882,0,0,0,0,0,0,0.076946544137999,0.0605150028551631,0,0.0389365325562932,0,0,0,0.157935018048779,0,0,0,0,-0.0270192900835921,-0.143908836109896,0,0,-0.00934086707714194,0,0,0,0,0.271570343158512,0,0,0,-0.0438840476376547,0.0282739682712221,0.0250338011436095,0,0,-0.156189599400295,0.0219854335948127,0,0,0,0,0,0,0,0.0293124826689036,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0948224943422836,0,0,0,0,-0.0017422545330065,0,0,0,0,0,0,0.0144642960213054,0.0856668004714842,0,0,0,0,0,0,0,0,0.00236428521813222,0,0,0,0,0,0,0,0,0,0,0.0913503847761913,0.0455758778090035,0,0,0,0.0193133668632334,0,0,0,0.0933209686846378,0,0.0712728803963508,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0976561137877314,0,0,0,0,0,-0.0210180819524303,0,0.06162563559345,0.136670217049335,0,0,0,0,0,0,0,0,0,0.171139757924847,0,0,0,0,-0.089844806383565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295239394812095,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0185787655917151,0,0.118771706234666,0.161687075282307,0,0,0,0,0,0,0,0,0,0,0.0646056126509228,0,0,0,0,0,0,0,0,0,0,0,0,0.0526946443098578,0.0285708485403072,0,0,0,0,0,0,0,0,0,0,0.203325765656066,0,0.0218716159527694,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101506411688865,0,0,0,0.170098583015438,0,0,0,0,-0.0520058906119754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135787394662734,0,0.142070963027857,0,0,0,0,0.00211403868087248,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00323570104122111,0,0,0,0,0.0416420386987041,0,0.0725508386855551,0,0,0,0,0,0,0,0,0,0.00342226424992707,0,0,0,0.0358598563146604,0,0,0,0.0144640729088764,0.019922437025022,0,0,0,0,-0.0198127182534149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
