,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X600516.SH,X000898.SZ,X600547.SH,X300072.SZ,X600027.SH,X002460.SZ,X600111.SH,X601992.SH,X600176.SH,X600352.SH,X000553.SZ,X000786.SZ,X600299.SH,X002110.SZ,X600808.SH,X000709.SZ,X600426.SH,X600801.SH,X000408.SZ,X000932.SZ,X000883.SZ,X601158.SH,X600219.SH,X601699.SH,X002271.SZ,X000830.SZ,X600315.SH,X601003.SH,X000792.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.283165123650371,0,0,0,-0.00757043397637417,0,0,0,0,0,0,0.0545569700306532,0,0,0,0,0,0,0,0,0,0,0.0348317827727342,0,0,0,0,0,0,0,0,0.0732045537506225,0,0,0,0.00805634346475293,0,0,0,0,0.0436509097052482,0,0.0876441205528919,0,0,0.0986552321234096,0,0,0.0103970122637271,0,0,0,0,0,0,0
X600028.SH,0.287443919954481,0,0,0,0,0,0,0,0,0,0,0,0.181170818192136,0,0,0,0,0,0,0,0,0,0,-0.0741407859414498,0,0,-0.115878087342291,0,-0.0632624228576128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582280006856017,0,0,0,0,0,0,0.00147564233431128,-0.014134082893188,0,0,0,0,0,0
X601088.SH,0,0.112686298626192,0,0.194316338467688,0,0,0,0,0,0,0,0,0.529848642159233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567030412756686,0,0,-0.0974967026983812,0,0,0,0,0,0,0,0,0,0,0.0220608253914559,0,0,-0.0256008716598588,0,0,0,-0.001174578624137,-0.0189566550500525,0,0,0,0,0,0
X600585.SH,0,0,0.137677635789094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615018733689709,0,0.0615200570820831,0,0,0,0.200805556110734,0,0,0,0,0,0,0.0689364522443624,0.0457203856074106,0,0,0.00236511608270188,0,0,0,0.00435631450469074,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041521453581899,1.73472347597681e-18,0,0,0.153455656484552,0,0.202932048694152,0,0,0,0.113927833973069,0.0397327604825836,0,0,0,0,0,0,0.0166456796137805,0.0344070683638059,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130653985271993,0,0,0,0,0,-0.00864376064784353,0,0,0,0,0,0.181482201213749,0.0390685916375067,-0.00251570441584067,0,-0.314753211554105,0,0,0,0,0,0,0,0,0,0.298103071881237,0,-0.0577868023633306,0,0,0,0.00900899748713644,0.0834891843739781,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.00358523060275597,0,0,0,0,0.161485539855595,0,0,0,0,0,0,0,0.0556508098619307,0,0,0,0.326464343837189,0.0733225877998576,0,0,0,0,0,0,0,-0.0537822826371252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000436585037021815,0.0086074245167135,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826304330964397,0.0616202353837369,0,0.075328307171291,0,0,0,0,0,0,0,0,0,0.281572061218272,0,0,0,0.262716032819703,0,0,0,0,0,0,0.228719485064217,0,0,0,0,0,0.0263271085168706,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0970212905060732,0.125681886647074,0,0,0,0,0.0731370666570193,0,0.0217122293144089,0,0,0,0,0.0902143751845234,0.0867057381774113,0,0,0,0.00941908509745825,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.126650979951942,0,0,0,-0.0039215395354494,-0.0213767864987819,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0573032408714825,0,0,0,0,0,0,0.140306902437064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818712623076007,0,0,0.00598200740307585,0,0,0,0,0,0,0,0,0,0,0,0,0.0726000520555584,0,0,0,0,0,0,-0.0021805256637793,0.0231580733210057,0,0,0,0,0,0
