,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600019.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X600795.SH,X000792.SZ,X600362.SH,X000708.SZ,X600010.SH,X600111.SH,X600027.SH,X002460.SZ,X000301.SZ,X002466.SZ,X600489.SH,X601699.SH,X600426.SH,X000983.SZ,X600160.SH,X600803.SH,X000877.SZ,X601991.SH,X000786.SZ,X000630.SZ,X000933.SZ,X600985.SH,X600176.SH,X000807.SZ,X601168.SH,X000408.SZ,X002128.SZ,X600612.SH,X600219.SH,X000932.SZ,X600096.SH,X000883.SZ,X600295.SH,X000027.SZ,X002353.SZ,X600348.SH,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.110825849637272,0,0,0.0458397110819508,0,0.143395515383278,0.0488743984403903,0,0.12348129879368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0510485805821656,0,0,0,0,0,0,0,0,0,0.0934414368766305,0,0,0,0,0,0,0,0.0540953094524214,0,0,0,0,0
X601088.SH,0.0214653331520589,0,0,0,0.202516655186851,0,0.137293553115481,0,0,0,0,0,0,0,0,0.0232169829409025,0,0,0,0,-0.00514605419184695,0,0,0,0,0,0.215149579243948,0,0,0,0,0,0,0,0.0580713760401243,-0.0249753768229044,0,0.00686796134300125,0,0,0,0,0,0,0,0.049967735967442,0,0,0,0,0,-2.16840434497101e-19,-0.0277437503294664,0,0,0,0,0,0
X600028.SH,3.46944695195361e-18,0,0,0,0,0,0,0.134887544347348,0,0.0517031225379359,0,0,0,0,0,0,0,0,0,0.00422158476553695,-0.0293256165934287,0,0,0.0393930391262906,0,0,0,0,0.0208259458578156,0,0,0,0,0,0,-0.0435994274230306,0,0.0348945234271551,0,0.156995098874799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133389005872302,0,0.0861500789007779,0,0,0,0.0760320434581225,0,-0.0428818352019874,0.121407244208884,0,0,0,0,0,0,0,0,0,0.333900666377617,0.030008754091745,0,0,0,-0.0223758425923006,0,0,0,0,0,0,0,0,0,0,-0.0372337586363832,-0.020953194108984,0.0242634157507825,0,0,0,0,0
X600188.SH,0,-1.73472347597681e-18,0,0,0,0,0,0.205564392662384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298605349279273,0,0.121438589123868,0,0,0,0,0,0,0,0,0,0,0.00363453923098694,0,0.16866643096899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.113417698100687,0,0,0,0,0,0,0,0.0268365393538743,0,0,0,0,0,0,0,0.0126369311576078,0,0,0,0.0541965918933508,0,0,0,0,0,0,0,0,0.0559582058331693,0,0,-0.018430876199445,0,0.0173129117984744,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X600011.SH,0.0457827670451505,0,0,0,0,0,0,0.0275568837094514,0,0,0,0,0,0.326917169746058,0,0,0,0,0,0.177150420066222,0,0,0,0,0,0,0,0,0,0,0.134197351702721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00964673177941825,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.219207634945883,0,0.17041857116682,0,0,0,0,0,0,0,0,0,0,0,0,0.126572688809892,0,0,0,0,0.206887770674661,0,0,0,0,0,0,0,0,0,0.228071116444051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231416515269671,0,-0.0102242978707061,0.117695567725328,0,0,0,0,0
X600547.SH,0,0,0,0,-0.0513383276017053,0,0,-0.015964956196589,0,0,0,0,0,0,0,0.0475073487122869,0,0,0,0,0,0,0,0.713820230284999,0,0,0,0,0,0,0,0,0,0.0360090606969814,0,0,0,0,0.00759899361447459,0,0,0,0,0,0,0,0,0,0,0,-0.00360921309392985,0,0.0390020398228663,0,0,0,0,0,0
X601600.SH,0.0765008797301188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190781051087001,0,0,0.184690670502418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714126781015615,0,0.0409901746566607,0.216070298987457,0.226092456445418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269281975179846,0.221628760001271,0,0,0,0,0
