,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X002466.SZ,X600795.SH,X002460.SZ,X601699.SH,X000708.SZ,X600010.SH,X600111.SH,X000301.SZ,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600426.SH,X600803.SH,X600160.SH,X600489.SH,X601991.SH,X600985.SH,X000786.SZ,X000408.SZ,X002271.SZ,X000933.SZ,X000630.SZ,X000807.SZ,X600176.SH,X000932.SZ,X601168.SH,X002128.SZ,X600348.SH,X600219.SH,X600612.SH,X600096.SH,X601666.SH,X000723.SZ,X600995.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.243154978915362,0.0967623574122608,0.156698798363511,0.0410726999785568,0,0,0.0342323801404444,0,0,0,0.163818886111694,0,-0.0796282495429258,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.136103378938642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00525509727315329,0,0.161932706088398,0.0739074719492745,0,0,0,0
X601088.SH,2.16840434497101e-19,0,0,0,0.1385030619831,0.0458011167134035,0,0.0669103171515713,0,0,0,0,0,0,0,0,-0.0133084286584658,0,0,0,0,0,0,0.109650307013862,0.00119016991572582,0,0,0,0,0,0,0.189129345870367,0,0,0,0,0,0,0,0,0.0566621492922033,0,0,0,0,0,0.0404751684308753,0,0,0,0,-0.0224476007482888,0.0228713693304528,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0880507791032475,0,0,0,0,0,0,0.00914517038682869,0,0,0,-0.018771109289853,0,0,0,0,0,0,0,0,0,0,0,0,0.0361096231949324,0,0,0,0,0,0,0,0,0,0.182259866272131,0,0,0,0,0,0,0.0122664364177605,0.0308057269034966,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0.0802201826827993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129226975999217,0,0,0,0,0,0,0.139526060763021,0,0,0,0,0.194750155584622,0,0.144205917497087,0,0,0,0.0148686828028343,0,0,0.161882730356523,0,0,0.0231090825744522,0,0,0,0,0,0,0,0,0.00695210302291563,0,0,0,0,-0.010158892752556,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0950139004552904,0,0,0,0,0,0,0,0,0,0,0,0.117749852430098,0,0,0,0,0,0.218525530930585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265289651067052,0,0,0,0,0,0,0,0,0,-0.00382524788224393,0,0,0,0,0,0
X601898.SH,0.0324930821549965,0.122384966311597,0.213330601140096,0,0.19144770385091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203651479646692,0.328660724255858,0,0,0,-0.0377612948215517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0529681079923704,0,0,0,0,0.0193064815204478,-0.0163512334073522,0,0.0271517188418835,0,0,0,0,0
X600019.SH,0,0,0,0,0.0842701560517677,0,0,0,0,0,0.0274480560909764,0,0,0,0,0,0.0528590703979576,0.11635484212311,0,0,0,0,0,0,0.114698663398481,0,0,0,0,0,0,0,-0.00464411684714307,0,-0.0874171882987105,0,0,0,0,0,0.149287842803171,0,0,0,0,0,0,0,0,0,0,0,0.0176415038829065,0,-0.0123947896635634,0,0,0,0
X600011.SH,0,0,0,0,0.0274610480990963,0.0460942681218792,0,0,0,0,0.0393641197543378,0,0,0,-0.00618924713587497,0,0,0,0,0,0,0,0,0,0.294089726429535,0,0,0,0,0,0.156370184932615,0,0,0,-0.00634137228809381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00336065744455087,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.252387362771143,0,0,0,0,0.0478372080167202,-0.0262939624752912,0,0,0,0,0,0,0,0,0.0210149866030789,0,0,0,0,0,0.00419799900858525,0,0.0416763441348739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671834883220611,0,-0.014686101973173,0.0183077948650416,-0.0453310149886333,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0.000991514518965697,0,0.00810741160446766,0,0,0,0,0,0,0,0,0,0,0,0.0550233034217676,0,0,0,0.135036244495869,0,0,0,-0.0149005060029999,0,0,0,0,-0.0798865973209825,0,0,0,0,0,0,0,0,0,0.0228808583633015,0.0764364222537069,0,0,0.0117072031451096,0,0.0159308609832832,0,0,0,0,0
