,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600547.SH,X600362.SH,X600795.SH,X601991.SH,X600309.SH,X300072.SZ,X600188.SH,X600027.SH,X600157.SH,X601992.SH,X600660.SH,X600886.SH,X600111.SH,X000898.SZ,X600489.SH,X000709.SZ,X600339.SH,X601158.SH,X600299.SH,X000959.SZ,X002466.SZ,X600583.SH,X000630.SZ,X000792.SZ,X000408.SZ,X000883.SZ,X600352.SH,X600219.SH,X600098.SH,X000983.SZ,X000539.SZ,X000825.SZ,X002092.SZ,X000027.SZ,X000723.SZ,X600021.SH,X601699.SH,X600623.SH,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.322930350210244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062864332427816,0,0,0.0613389522729422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151960195231806,0,0,0.0550019171055746,0,0,0,0,0,0.0424411351913244,0,0,-0.00563509512063722,-0.00269948191891171,0,0,0,0,0,0
X600028.SH,0.567314326471662,0,0,0,0,0,0,0,0,0.129189710963351,0,0,0,0,0.12180209242239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212825332467307,0,0,0.0426169230238204,0.0860651838535911,0,-0.0402764330934264,0,0,-0.00371563939289648,0.00577863272704191,0,0,0,0,0,0
X601088.SH,0,0.000521372396074681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581148752240321,0,0,0.106956249094659,0,0,0.000756515978336598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513076506307864,0.224349184071309,0,0,-0.0384255883858701,-0.0290813547350245,0.0110044027280175,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0057439336017541,0,0,0,0,0,0,0,0.226071606967462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681648584934467,0,-0.150692270662847,0,0,-0.0252575423065054,0.0146186456051464,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0520441414942743,0,0.303736733068733,0,0.0572388367184527,0,0,0.181520106431063,0,0.0293941467167971,0,0,0,-0.080601571322238,0,0,0,0,0,0,-0.0285549178435003,0,0,0,0,0,0,0,0,0,0,0,0.0227042230569238,0,0,0.05865046480389,0,0,0,0,-0.00913036814457639,0.00725988102235418,0.0650647183770273,0,0,0,0,0
X600585.SH,0,0.127687857095064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120236899464956,0,0,0.13723536771176,0,0,0,0,0,0,0,0,0,0,-0.430580219331833,0,0,0,0,0,0,0.1064017365745,0,0,0,0,0,0,0,-0.119133731859764,0,0.0017365994484284,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0921327076687713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178379774296088,0,0,0,0,0,0.0050647315318623,0,0,0,0,0,0,0,0,0.116332600911193,0.0268081790638187,0,0,0,0,0,0,0.0385915206444815,0.0827475215325933,0.0846386778926194,0,-0.0142100307103442,-0.000880174790232257,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.156778324325791,0,0,0,0,0.0190233295587965,0,0,0,0,0,0,0.0664529730169786,0,0,0.0437884646331186,0,0,0,0,0.10201625916906,0,0,0,0,0,0,0,0.147314549526922,0,0,0,0,0,0,0,0,0,0,0,0.000296273815467525,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.295069003442531,0,0,0,0,0,0,0,0,0.0640062035523786,0,0,0,0,0,-0.151605917550651,0,0,0,0,0,0,0,0,0,0,0.244419933686648,0,0,0,0,0,0,-0.00416898849276598,0.197942373433435,0.108902741860405,0,0,-0.135150228744073,-0.00717913840956003,-0.000368184594763736,0,0,0,0,0,0
X600688.SH,0,0.469276059304644,0,0,0,0,0,0,0.0443377537352878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623286829263999,0,0,0,0,0,0,0,0,0,0,0,0,0.0131407212142703,0.0114128912150547,0,0,0,-0.0439007765952027,0.00230993405975799,0.00144944575702479,0,0,0,0,0,0
X600547.SH,0,0.0350747276279322,0,0,0,0,0,0,0,0,0,0,0,0,-0.0458334235613174,0,0,0,0,0,0,0,0,0,0.747794173867223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236793884091921,0,0,0.00979779012461944,0,0,0,0,-0.0512080309874879,-0.0233067825852514,0.0100453217685473,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.0259622308012358,0,0,0,0,0,0,0.0270029982399117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410466639048133,0,0,0,0,0.408160039139141,0,0,0,0.0595243248790172,0,0,0,-0.0409055369034319,0.318615697087404,0,0,0,-0.0165076159542543,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.372929627461697,0,0,0,0,0,0,0.0107309611147791,0,0,0,0.0124323624573849,0,0,0,0.00532706758421323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750911558941755,0,0,-0.00363818475746716,0,0,-0.0171582464220935,0,0,0.0809028154588375,0,0,-0.00493987208660649,0.00325456531494544,0.0237901381111467,0,0,0,0,0
