,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X002271.SZ,X000708.SZ,X002466.SZ,X601898.SH,X000301.SZ,X601600.SH,X600547.SH,X600362.SH,X600111.SH,X600188.SH,X600010.SH,X600886.SH,X600011.SH,X000786.SZ,X600426.SH,X600176.SH,X000408.SZ,X601991.SH,X600795.SH,X600803.SH,X600352.SH,X000932.SZ,X002080.SZ,X600219.SH,X600489.SH,X000825.SZ,X002353.SZ,X000027.SZ,X300037.SZ,X000898.SZ,X600688.SH,X600315.SH,X000959.SZ,X600801.SH,X000807.SZ,X002409.SZ,X601699.SH,X000830.SZ,X600027.SH,X600486.SH,X600399.SH,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0586222271249926,0,0,0,0,0,0.0992931099499384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191971698775549,0,0,0,0,0,-0.0584355932531154,0.0832586116914611,0,0,-0.0385197529703857,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0783261564539342,0,0,0.0267534411566146,-0.00279695435560567,0,0,0,0,0,0,0.10845724292499,0,0,0,0,0,0,-0.0295945145395641,0,0,0,0,0.0502345401652065,0,0,0,0,0,0,0,0,0.0285582095853225,0,0.00152086895904312,0,0,0,0,0,0,0,-0.0624430279438953,0,0,0,0.0756363721845839,0,0,0,-0.0191232930370795,0,0
X601088.SH,0,0.0430694676327771,0,0.0239208753748643,0,0.0410958291342169,0,0,0,0.00321703715572114,0,0,0,0,0,0,0,0.156948267111389,0,0,0,0,0,0.0727537738707583,0.0204627203345756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579974041459725,0.0444552092670371,0,0,0,0,0,0,0,0,0.0700710125407032,0,-2.16840434497101e-19,0.0246613691325473,0,0,0,-0.013691440135223,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0155105778206464,0,0,0,0,0.00104292541876568,0,0,0,0,0.0547399498205045,0.218680918509711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501940807104987,0,0,0,0,0,0.0687409583004001,0,0.0337372787104331,0.200092427592701,0,0.0549066451223941,0,0,0,-0.0456471281787123,-0.0468894938001893,0,0,0,-0.0451751913461191,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00417588370057579,0,0,0,0,0.0368171843346446,0,0,0,0,0,0.0108324838886393,0,-0.00349076872205961,0,0,0,0.330408938910198,0,0,0,0,0,0.0225141546920384,0,0,0,-0.08296097725893,0.0849070388272662,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.113752757630753,0,0,0.432910281636291,0,0.0223922423211267,0,0,0,0,0,0,0,0,0,0.106422616277994,-3.46944695195361e-18,0,0,0,0,0,0.00812851806523713,0,0,0,0,0,0.0334907776750923,0.199936586419983,0,0,0,0,0,0.166442202328262,0,0,0.120383180463902,0,0,0,0,0,-0.00265745758649437,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133809617050383,0,0,0,0,0.0230875329404456,0,0,0,0,0,0,0,0,0,0.103919970145419,0,0,0,0.317394031717894,0,0,0,0,0.166165284988263,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061378333598872,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0.190358697086403,-0.172289605543263,0,0,0,0,0,0,0,0,0,0.198400802958217,0,0,0.0520502339834876,0,0,0.0566603266265725,0,0,0.0163861994705727,0,0,0,0,0,0.172025025128413,0,0,0,-0.0473353433689402,0,0.0519354249179168,0.111846571141846,0,0,0,0,0,0,0,-0.0286297175808554,0,0,0,0,-0.0171800211177794,0,0
X002271.SZ,0,0,0,0.12772840750193,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825718672416715,0,0,0,0,-0.0328247536979434,0,0,0.0360330121356722,0.0227216717337822,0,0.00361246165874826,0,0,0,0,0,0,0,0,0,0,0,0.0803739907254536,0.0671043976314788,-0.0728869817059999,0,0,-0.0103804952471507,0,0,0,0.0332793388338444,0,0
X000708.SZ,0,0,0,0,0,0.0226586989293496,0,0,0,0,0.0921581196033583,0,-0.0521989754134571,0,0,6.93889390390723e-18,0,0,0,0,0,0.0415361989176769,0.0281072613329909,0,-0.0405407858895545,0,0,0,0,0.127126911848626,0,0,0,0,0,0,0,0.0608189627017004,0,0.058247338227582,0,0,0,0,0.0722722015441462,0,0,0,-0.0990495326600078,0,0,-0.0756132174903957,-0.0344078176153146,0,0,0,0,0,0
