,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600585.SH,X600886.SH,X600660.SH,X600011.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600803.SH,X600027.SH,X002460.SZ,X601991.SH,X000301.SZ,X600160.SH,X600426.SH,X002466.SZ,X000983.SZ,X601699.SH,X000786.SZ,X600219.SH,X600176.SH,X000807.SZ,X002128.SZ,X000630.SZ,X600985.SH,X601168.SH,X000933.SZ,X000877.SZ,X600096.SH,X000408.SZ,X000883.SZ,X002353.SZ,X000027.SZ,X600378.SH,X000932.SZ,X600995.SH,X600688.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0647566447273119,0,0,0.0563416482193333,0.213590677047136,0,0,0,0,0,0,0,0,0,0.0938959780340171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132060277567147,0,0,0.115915046458877,0,0,0,0,0,0.0328492580146475,0,0,0,0,0,0,0,0,0,0,0,0,-0.0723217702807133,0,0
X600028.SH,0.382368530801963,0,0.117168616776432,0,0.0447245392570779,0,0.138874236966211,0,0,0,0,0,0,0,0,-0.0110444534777673,0,0,0,0,0,0,0,0,0,0,0,-0.00870791922185278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646070193759389,0,0,-0.0401861843249775,0,0,0,0,0,0,0,0,0,0,0.0283484377019969,0,0
X601088.SH,0,0.410783873034002,0,0,0.0660579701462366,0.184626255691476,0,0,0,0,0.0433456312822137,0,0.0331199990500903,0,0,0,0,0,0,0,0.0367902049941628,0,-0.0867076044457278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236831461338543,0.0586301814419028,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0301716351004653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146718020756895,0.0819424393803966,0,0,0,0.140040551591869,0,0,0,0,0,0,0,0.375476319995788,0,0,0,0.00935058733410661,0.0837939255151373,0,0,0,-0.0167199293779297,0,0,0,0,0,0,0,0,-0.0740290795498653,0,0,0,-0.0176289192660468,0,0
X601898.SH,0,0,0,0,0,0.127296033779271,0,0,0,0.115386056087442,0,0,0.20097586845695,0,0,0,0,0,0,0,0,0.0576056797556179,0,0,0,0,0,0,0,0.234821322929638,0,0,0,0,0.0222547166099986,0,0,0,0,0,0,0,0.000620676903928513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266754922019956,0,0
X600188.SH,0,0,0,0,0.129356957458327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110449166125631,0.365435129102075,0,0,0,0,0,0,0.271267179569912,0,0,0,0,0,0,0,0,-0.051213620654953,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.223400173625239,0,0,0,0,0,0,0,0,0.0160851222225344,0.207053440291892,0.132014292189359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0503530266395885,0.0268697102831818,0,0,0,0.0547070474914792,0.0581291171570927,0,-0.024137198347016,0,0,-0.0147913197330461,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554472003542675,0.179149046782642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144000176575558,0,0,0,0,0,0,0,0,0,0,0,-0.312386606730802,0.0857309504737987,0,0,0,0,0,0.0388650224335485,0,0
X600585.SH,0,0,0,0.0323818208823278,0,0,0,0,0,0,0,0,0,0,0.145709784163037,0.0192758343185116,0,0,-0.0101228527385029,0,0,-0.0407087676743663,0,0,0,-0.0906341498073556,0,0.154822533709058,0,0,0.0857333005550931,0.0464510155217939,0,0,0,0,0,0,0,0,0.0580394151110563,0,0.0200560437067662,0,0,-0.0221998111445093,0,0,0,0,-0.0390767521975173,0.0204535210881347,0,0,0,0,0,0,0
X600886.SH,0.203352763393434,0,0,0,0,0,0,0,0,0,-0.0787575669582382,0,0,0.208431845411349,0,0.0201206767366095,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0795661063510164,0,0,0,0,-0.0799004065893004,0,-0.09847405385549,0,0,0,0,0,0,0,0,-0.179834953199876,0.117803066461594,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211893065534414,0,0
