,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600801.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X000786.SZ,X600111.SH,X002460.SZ,X600027.SH,X002271.SZ,X601992.SH,X000723.SZ,X600176.SH,X002466.SZ,X002353.SZ,X600516.SH,X600583.SH,X000898.SZ,X600299.SH,X600426.SH,X600489.SH,X000883.SZ,X000709.SZ,X601158.SH,X600219.SH,X600612.SH,X000629.SZ,X000027.SZ,X000553.SZ,X000825.SZ,X000630.SZ,X000792.SZ,X000539.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.12050764229332,0,0,0,0,0,0,0,0,0,0.188563980597854,0,0,0,0,0,0,0.0753281844630362,0,0,-0.00591856619201958,0.0449801733291701,0.0886264842759922,0.000543699545017262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306866339373962,0,0,0,-0.0141444356891252,0.0180423853908336,0,0,0,3.46944695195361e-18,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.033458450668801,0.0620555120015822,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00820578444586529,0,0.00891427249530923,0,0.112561383905005,0,0,0.0404280947367046,0,0.00709058684008319,0,0,0.0114231426827043,0,0,0,0,0,0,0,0,0,0,0,-0.0320508508776656,0,0,0,0.00360813958652596,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0762856274637768,0,0.035154756479546,0,0,0,0,0,0,0,0,0,0.0691054640626772,0.0334213063498983,0,0,0,0,0,0,0,0,0,0,0,0,0.00246216593988687,0,0.0593757453370655,0,0,0.12392825778058,0,0.0142840245037832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116280687695661,-0.00235743982598677,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0685821868390485,0,0,0,0,-0.00810603318101595,0.0131728127854779,0,0,0,0,0,0.389767352254414,0,0,0,0,0.0724794404857604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123633594057045,-0.029035276161517,0,0,0,0,0,0
X600309.SH,0,0,0,0.104223125779487,0,0,0,0,-0.104429808985958,0,0,-0.0664247622078865,0,0,0,0,0.1353520143876,0,0,0,0,0,0,0,0,0.196962133760554,0,0,0,0,0,0.0999896557313635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0853989730483609,0,0,0,-0.0379963689585351,0.0170504804178051,0,0,0,0,0,0
X600019.SH,0,0,0.205597052927859,0,0,0,0,0,0,0,0,0.118515960662026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425537069631163,0,0,0,0.158807974112259,0.010181234560837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.038465425262726,0,0
X600547.SH,0,0,-0.202200604939928,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0154274442880564,0,0,0,0,0,0,0,0,0,0,0,0,-0.0721695357712769,0,0,0,0,0,0.096631551936942,1.18964280939187,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0887898951838376,0,0,0,-0.0156712390251933,-1.35525271560688e-20,0,0,0,-0.0186740219392019,0,0
X600011.SH,0,0,0,0,0,0,-0.0387066934814791,0,-0.0846328604564231,0,0.0922865505402026,0,0,0,0,0,0.00916094677068638,0,0,0,0,0.084074345586421,0,0,0.276430771361043,0.0334980707167352,0,0,0,0,0,0,0.0675430288215935,0,0,0,0,0,0,0,0,0,0,0,0.0626958679857667,0,0,0,0,0,0,-0.0115364357937202,0,0,0,0,0.00349645342704744,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.182504021229854,0,0,0,0,0,0.0519414978788854,0,0,0,0,0,-0.0693498371899169,0,0,0,0,0.432955871568574,0.0252431160660387,0,0.156651005986841,0,0,-0.0706473761095076,0,0.127377469620722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298953565301783,0,0,-0.0437359657023295,0.0125061490377069,0,0,0,-0.057093074840815,0,0
X601898.SH,0,0,0,0,0,0.0132110193650042,0,0,0,0,0,0,0,0,0,0.386160041859753,0,0,0,0.092064197541458,0,0,-0.0733090053391728,0,0,0,0,0,0,0.0930950827832814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251521135119555,0.0170910740508734,0,0,0,0,0,0
