,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X000792.SZ,X601158.SH,X600583.SH,X600157.SH,X000898.SZ,X600352.SH,X000709.SZ,X600547.SH,X600489.SH,X002353.SZ,X000831.SZ,X000630.SZ,X600008.SH,X000539.SZ,X600660.SH,X002470.SZ,X600808.SH,X000825.SZ,X000027.SZ,X600021.SH,X000629.SZ,X600549.SH,X600307.SH,X600578.SH,X600315.SH,X601699.SH,X600098.SH,X000983.SZ,X000960.SZ,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.416699909496509,0,0,0,0,0,0,0,0.104739415174116,0,0,0.144589837168927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194431590251672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.495328356672926,0,0,0,0,0,0,0,0,0,0,0,0.0161814236617654,0,0,0.422888678499822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000844594773771883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036474288419636,-0.0100697837040827,0,0,0,0,0,0
X601088.SH,0.052772187472695,0,0,0,0.084793310315205,0,0.0882130404923682,0,0,0,0,0,0.115702248330182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.421275249902702,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0.116894116906342,0.0010604572875,0,0,0.0112001238406232,0,0,0.0277220431964081,0.0716655539916554,0.017630573114181,0.1650151210391,0.0332519488320137,0,0,0,0.0212299779166782,0.0726592144776032,0,0,0,0,0,0,0.00606333402353351,0,0,0,0,0,0,0,0,0,0,0,0.00605465966143164,0,0,0,0,0,0,0.363540803032855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.166835317993471,0,0,0,0,0,0,0,0,0,0.0266483201167714,0,0,0,0,0.0185789268926216,0,0,0,0,0,0,0.270127195240914,0,0.241102021226421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788510242432344,0,0,0.0115853682761481,0,0,0.113921042803418,0,0,0.0402333942685178,0,0,0,0,0.0125948120399253,0,0,0,0.0772694248708048,0,0,0,0,0,0,0,0,0,0,0.180192172574816,0.155512463378682,0,0,0,0,0,0.00256663253842833,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.164197106308796,0.0208987855307915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714043834385202,0,0,0,0,0,0.0217642051532172,0,0,0,0,0,0,0,0.0108669695029759,0,0.02379626839097,0.0439439677522999,0,0.0525139036486325,0,0.432899756189259,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0332003851867944,0,0.0284166856481145,0,0,0,0,0,0,0,0,0.417034860018785,0,0,0.0653057901242844,0,0,0.132209333099436,0,0,0,0,0,0,0.0709686507670897,0,0,0,0,0.0477218799373361,0,0.179592945183373,0,0,0,0,0,0,0.0463141861231924,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0614721804147436,0,0,0.475817894451664,0,0,0,0,0,0,0.117406198633893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158546442448871,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170724523797016,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.232396976422288,0,0.091372719390076,0,0,0.131643483910899,0,0,0,0,0.0352476436763713,0,0,0,0,0.00881390003896255,0,0.00852568811048957,0,0,0,0,0,0,0,0.0761110806195229,0,0,0,0,0,0,0,0.239397893424248,0,0,0,0,0,0,0,0,0,0,0,-0.00880678749820422,0,0,0,0,0,0
