,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X002271.SZ,X600011.SH,X000708.SZ,X600660.SH,X002460.SZ,X600886.SH,X600801.SH,X600362.SH,X000786.SZ,X601898.SH,X600489.SH,X601600.SH,X600010.SH,X600176.SH,X600352.SH,X601991.SH,X600188.SH,X600111.SH,X600426.SH,X600299.SH,X600795.SH,X600027.SH,X600688.SH,X601992.SH,X002466.SZ,X002353.SZ,X002080.SZ,X000932.SZ,X600219.SH,X000301.SZ,X600529.SH,X000959.SZ,X600486.SH,X600612.SH,X600315.SH,X002250.SZ,X000723.SZ,X002409.SZ,X000027.SZ,X002075.SZ,X601158.SH,X300037.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.021709434048457,0,0,0,0,0,0,0.075979769783893,0,0.0569982910039013,0,0,0,0,0,0,0,0,0,0,0,0.0554889978386011,0,0,0.0485848157911917,0,-0.0263431280255151,0.0498186422179879,0,0,0.00199219331797918,0,0.0181975112270241,0,0,0,0,0,0,0,0,-0.00575015122787943,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197623881064898,0,0,0,0,0,0,0,0,0,0,0,0.107481624476929,0,0,0,0,0,0.0317465733670998,0,0,0,0,0.0107067371742269,0,0,0,0,0,0,0,0,0.0103670518241127,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.128329749552845,0,0,0,0,0,0,0,0.00359781459664923,0,0.0165895251049679,0,0,0.158903971351502,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018155540819693,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0.0547855538299014,0,0,0.00958068910945183,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0355457208353421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135152255179117,0,0.106813921138506,0,0.0138207997219373,0,0,0.0118412830461789,0,0,0,0,0,0.0318401792480541,0,0,0.142695761448133,0.0598928754810394,0,0,0,0,0.0938392201481083,0,0,0,0,0,0.0678185758605055,0,0,0.0113635983643494,0,0.00287606898536469,-0.000403357326416896,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0979312875723914,0,0,0.0430853423352019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144945744987575,0,0,0,0,0,0,0.0615785024200227,0,0,0,0,0,0,0,0,0.0435012939897936,0,0,0.00598374995586475,0,0,0,0,0.167172039241839,0,0,-0.0125295450099304,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575150077606321,0,0,0,0.0421915151788124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013230424305008,0,0,0.0364505263170449,0,0,0,0,0,0,0,0,0.122882516891419,0,1.0842021724855e-19,-0.0160633345047443,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0158683684233767,0,0,0.00784843934347835,0,0,0,0,0,0,0.108818514676858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197538913423701,0,0.224509604091524,0.0403851568639241,0,0,0,0,0,0,0,0.130070787104139,0.0340963017366764,0,0,0,0,0,0,0.00891169806549182,0.00326295471921448,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,-0.0207349005273373,0,3.46944695195361e-18,8.67361737988404e-19,0,0,0,0.0859153091315715,0,0,0,0,0,0,0.181547419499504,0,0.0505374787567905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120475128597942,0.414338662028254,0,0,0,0.0346693285608189,0,0.0999390565598274,0.144067411732106,0,-0.0353426825172376,0.00134156489554997,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221901887244147,0,0,0,0,0,0,0,0,0,0,0,0,0.158529504256249,0,0,0,0,0.0611073420092724,0,0,0,0,0,0,0,0,0,0,0,0,0.0528984150782127,0,0,0.0610803868500601,0,0.0591652189883835,0.0101037194046944,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133368270848994,0.0672864794556663,0.0524837633708532,0,0.030719335149743,0,0.240831932184726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210791870633877,0,0,0,0,0,0,0,0,-0.00889521554596745,0,0,0,0,0,0
