,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X000708.SZ,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X601992.SH,X600027.SH,X002271.SZ,X000723.SZ,X000786.SZ,X600516.SH,X002466.SZ,X002353.SZ,X600489.SH,X000898.SZ,X002460.SZ,X600176.SH,X601158.SH,X600299.SH,X600612.SH,X000883.SZ,X000709.SZ,X600583.SH,X600219.SH,X600426.SH,X000629.SZ,X000027.SZ,X000792.SZ,X000630.SZ,X600315.SH,X000553.SZ,X000825.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0165711937832685,0,0,0,0,0,0,0,0,0,0.0468386869788556,0,-0.0196890504532987,0,0,0,0.0369287762759899,0,0.013371234148095,-0.0195743890681369,0.0533910431635967,0,0,0,0,0,0.00781718728004902,0,0,0,0.0906379479641773,0,0.0272164644127809,0,0,0,0,0,0,0,0,0,-0.0218344162594179,0,0,0,0,0,0,0
X600028.SH,0,0,0.0344439140077751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118786434103351,0,0,0,0,0,0.0206504146998283,0.100367771957346,0,0,0,0,-0.0214688004600311,0,0,0,0,0,-0.0258540354643221,0,0,0.0552319313762043,0,0.000453338450607952,0,0,-0.0176480643735851,0,-0.0098373445921996,0,0,0,0,0,0,0,0,0,-0.00827492390515115,0,0
X601088.SH,0,0,0,0.221782194323524,0,0,0,0,0,0,0.00668314221023796,0,0,0,0,0,0,0,0,0,0,-0.0107032813365946,0,0,0.0234730693872327,0,0.0599345033059277,0,0,-0.0205691497583619,-0.0969810747935516,0,0,0,0,0.114582229757809,0,0,0,0,0,0,0,0,-0.0381166990174661,0,0,0,0,0,0,-0.00984475296262415,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561895156542695,0,0,0,0,-0.00911714276025451,0,0,0,-0.022302489416134,0,0,-0.0747571380262479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00151148468106362,0,-0.00487833755081577,0,0,0,0,-0.0185466894208305,0,0
X600309.SH,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0904969811746277,0,0,0,0,0,0,0,0,0,0.0952920562572439,0.0222640912228592,0,0.00319187424272688,0.0428492345615184,0,-0.0976983661551659,0,0.127545087645506,0,0,0,0,0,0,0,0,0.00376060819536192,0,0,0,0,0,0,0,0,0,-0.0205249498421797,0,0,0,0,0,0,0
X600019.SH,0,0,0.117022943844923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528618820908245,0,0,0,0,0,0,0.0846273711341842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985790020851099,0,0,0,0,0.00881166263869381,0,0,0,0,0,0,-0.016133670030214,0,0,0,0,-0.0355229445090486,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0978502768005668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632151194894205,0,0.90783372463755,0,0,0.0902050024445176,0,0,0.0135185674196779,0,0,0,0,0,0,0,0.128398219845891,0,0,0,0,0,0,0.000829142271677771,-4.33680868994202e-19,0,0,0,0.0479181111713902,0,0
X600011.SH,0,0,0,0,0.0620135204930858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349934197566406,0,0,0.360830286073912,0.0567687382527949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052800936760518,0,0,0,0,0.0134381261184498,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596308874213878,0,0,0,0,0,0,0,0.0459014511822705,0,0,0.125489530922082,0,0.0200828425342952,0,0,0,0,0.0434570963474789,0,0,0.0614013042610659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000382389792884805,0,0,0,0,-0.0291766703451571,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,-0.0206684368675561,0,0,0,0.174742716841829,0,0,0,0,0,-0.0257227184937289,-0.00203540715506209,0,0,0,0.0214636688299859,0.107189106215095,0,0,0,0,0,0,0,0,0.0947073583761669,0,0,0,0,0,0,0,0,0,0,0.00563804773147908,0,0.0932832299845959,0,0,-0.0335169859725194,-0.00435479711102794,0,0,0,0,0,0
X000708.SZ,0,0,0.457837326918645,0,0.100588091975748,0,0.240042964059582,0,0,0,0,0.110563602743343,0,0,0.32733813292748,0,0,0,0.112751173560993,0,0,0.0106137022348179,0,0,0,-0.0909869458295981,-0.0573861364087751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300459562436532,-0.000512881160904587,0,0,0,0.0224092452925975,0,0
X600886.SH,0,0,0,0,0,0,-0.179215908475133,0,0,0,0.157117073556489,0,0,0,0,0,0,0,0,0,0,0.227177791471184,0,0,0,0.0665289231276286,0,-0.25282484708654,0.0815044113117041,0,0,0,0,0,0,0,0.0291560167989955,0,0,0,0,-0.0048990986017185,0,0.0977157645544684,0,0,0.1720060510098,0,0,0,0,6.81311784318664e-06,0,0,0,0,0.0890280698297352,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038076694870187,0.135077019558738,0,0.0592966674436919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257699921173597,0,0,0,0,0,0,0,0,0.0236745185405128,0,0,0,0,0,0
