,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X600011.SH,X002466.SZ,X000792.SZ,X601898.SH,X600547.SH,X601600.SH,X600111.SH,X000708.SZ,X600660.SH,X000301.SZ,X600010.SH,X002271.SZ,X600886.SH,X000877.SZ,X600426.SH,X600795.SH,X600362.SH,X601699.SH,X600803.SH,X600176.SH,X600027.SH,X601991.SH,X000983.SZ,X600489.SH,X000786.SZ,X000807.SZ,X600995.SH,X600160.SH,X000629.SZ,X600378.SH,X002080.SZ,X000933.SZ,X600219.SH,X000408.SZ,X600096.SH,X000723.SZ,X000932.SZ,X600688.SH,X300037.SZ,X600157.SH,X600801.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215814156826935,0,0,0,0,0,0.00843388599520737,0,0.0381204329734977,0,0,0,0.0284033564477948,0,0.0124130039524028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113799726947396,0.0349864080448297,0,0,0,0,0,0.0395786878979121,-0.0439225541154663,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.0921042963283841,0,0.0780905214878343,0,0,0,0,0,0.0543571128483462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238765734721363,0,0,0,0,0,0,0.00224527280656034,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0781609235156787,0,0,0,0,0,0,0.251941422545291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111695605524686,0,0,0,0,0,0,0.0428553100232602,0,0,0,0,-0.0153808897048672,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000357922786418488,-0.00308739668735364,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.00161197531416924,-0.0409154775205612,0,0,0.0485214893447902,0,0,0,0,0,0.0707236676542861,0.172595144907064,0,0,0,0.316677566022685,0,0,0,0,0,0,0,0,0,0,-0.077494729481669,0,0,0,0,0,0,0,-0.0671087498319726,0,0,0.125686612624373,0.181210949425142,0,0,0,0,0,-0.0163026967705944,0.038877618780219,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0.237259088957441,0,0,0,0,-0.0577594616038947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114786328901098,0,0,0.169745418856968,0,0,0,0,0,0.155552348028864,0,0,0.0764257451946962,0,-0.0246306199308563,0,0,0,0,0,0,0.00593670293149811,0.004028403579457,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.00184288190377898,0,0,0,0,0,0,0,0,0,0,0.0562938224546242,0,0.328326674264707,0,0,0,0,0.0428234300231122,0,0.0147925669102993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19828884102903,0,0,0,0.0105042610683513,0,0,0,0,0,0
X600019.SH,0,0.0590268246820961,0,0,0,0,0,0,0,0,0,0,0,0.12234370174498,0,0,0,0,0,0,0,0.0937112326795151,0,0,0,0.0496985842585251,0,0.0430665736609823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138546489149399,0,0,0,0,0.0239800556673803,0,0.0420162633161283,-0.0298082081124099,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.00726652644001713,0,0,0,0,0.552921315275204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362080555629692,0,-0.0353119721812725,0,0,0,0,0,0,0.00365213676739744,0,0.157866392131229,0,0,0,0,0,0,0,0,0,0.00853019013671614,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0131853005261305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113758240359446,0,0.579979379649176,0,0,0,0,0,0,0,-0.154098220090757,0.0735441241885395,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188689437010137,0.0378179149319051,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.481717112845895,0,0,0,0,0,0,0.0313214826482149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253963209144899,0,0,0,0.0612980660113994,0.0298665884728083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136166836005835,0,0,0,0,0,0
