,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600111.SH,X002466.SZ,X600188.SH,X600157.SH,X600362.SH,X600623.SH,X600886.SH,X600547.SH,X601992.SH,X600660.SH,X600299.SH,X600489.SH,X000792.SZ,X600309.SH,X601158.SH,X600583.SH,X000883.SZ,X300072.SZ,X000709.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000723.SZ,X002075.SZ,X600549.SH,X000027.SZ,X002460.SZ,X000630.SZ,X002407.SZ,X002470.SZ,X000983.SZ,X600021.SH,X600098.SH,X000012.SZ,X600176.SH,X000060.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.09444675892276,0,0,0,0,0,0.0406317290088589,0,0,0,0.000971678889478501,-0.00888767471066104,0,0,0,0,0,0,0,0.155308063670652,0,0.0603933990678353,0,0,0,0,0,0,-0.0491610627099304,0,0,0,-0.0141703797999878,0,-0.00417840078474638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.120018507282891,0,0,0,0,0,0,0,0,-0.0154298269984323,0.159050878615271,0,0,-0.00174061495402561,0,0,0,0,0,0.0630277998588509,0,0.0621305351554001,0,0,0,0,0,0,-0.0401262691554999,0,0,0,0,0,-0.0306515622505406,0,0,0,0,0,0,0,0.00832744349258587,0,0.00298311018623622,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.151977237707312,0,0,0,0,0,0,0,0,0,0,0,0.0476359659861415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104699416455179,0,0,0,0,0,0,0,0.0372203514261948,0,0,0,0,0.0581729606279291,0.0736483727520184,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0896059318427631,0.0747859826848323,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.12898759520753,0,0.00441339890832667,0,0,0,0,0,0.0332639699881636,0,0,0,0,0,0,0,0,0,0.0286596463642146,0,0,0,0.0047728857464054,0,0.0116498354479614,0,0,0,0,0,0,0,0,-0.00504534794345047,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.109171702807399,0,0,0,0.286730294552635,0,0,0,0,0.00599766372127644,0,0,0,0,0,0.115877977938766,0,0,0,0,0,0,0,0,0.00446343730294826,0,0.0257524164030803,0,0.118294969788997,0,0,0,0.0208081993081609,0,0,0,0,0.00743063085706279,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.000386973644116301,0,0.295053074533058,0,0,0,0,0,0,0,0,0.0179235529124009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895024065661559,0,0,-3.46944695195361e-18,0,0.0269909639712773,0,0,0,0,0,0.0890031370925311,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.269317288845275,0,0,0,0,0,0,0,0,0,0,0.0232289416846262,0,0,0,0,0.0834947792801849,0,0,0.0487464212888922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227487258024773,0,0.0382183373262977,0,0.0338229610213311,0,0,0,0,0,0,0,0,0,-0.0626091214140797,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141936986697681,0.0134491513147868,0,0,0,0,0,0,0,0,0,0,0.0402322709597102,0,0,0.210153438658218,0,0,0,0,0,0.123331272645124,0,0,0,0,0,0,0,0,0,0,0.09606175974525,0,0.222073278429096,0,-0.0343664922188751,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0499812554018268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948692100126835,-5.42101086242752e-20,0.0389575976170289,0,0,0,0,0,0.229454064542668,0,0,0,0.115735831352983,0,0.0768274325036954,0,0,0.0134149433826471,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0690970854113863,0,0,0,0,0,0.0421772882444599,0,0.0396108450562278,0,0,0.0121971475656739,0,0,0,0,0,0,0.0474409707455195,0,0,0,0,0,0,0.0546581472510619,0,0,0.176411096472857,0,0.165619326579439,0,0,0,0,0,0,0,0,0,0,0.114416120189701,0,0,0,0,0,0,0,0,0,0
