,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600886.SH,X600660.SH,X601991.SH,X600362.SH,X600688.SH,X600188.SH,X600795.SH,X600352.SH,X600801.SH,X000723.SZ,X600111.SH,X600027.SH,X601992.SH,X002271.SZ,X000898.SZ,X600489.SH,X600516.SH,X600176.SH,X600299.SH,X000786.SZ,X000709.SZ,X000629.SZ,X002460.SZ,X000883.SZ,X002466.SZ,X601158.SH,X600219.SH,X002353.SZ,X600426.SH,X000553.SZ,X000630.SZ,X600985.SH,X601699.SH,X600612.SH,X600583.SH,X000401.SZ,X000027.SZ,X000825.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112436897744259,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00610248572244682,0,0.0235440128331169,0,0,0.0642645938360321,0,0,0,0,0,0,0.0895852499149773,0,0,0,0,0,0,0,0,-0.00917992456942695,0.0184926252813196,0,0,0,-0.00429906971186267,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274140228740284,0.0247989352791618,0,0,0,0,0,0,0,0,0,0.0428684101065553,0,0,0,0,0,0,0,0,0.047696439799184,0.027804432258526,0.0516084603793928,0,0,0,0,0,0,0,0,0,0,-0.0311736502363698,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230125486010218,0,0,0,0.0686923168781078,0.122069450795746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443208035549027,0,0,0,0,0,0,0,0,0,0,-0.0152340783103236,0,0,0,0,0.0462316609639648,0,0
X600585.SH,0,0,0,0,0,0.0041033481268509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304669415092947,0.0842354686926753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359275130399144,0,0.0412251829914839,0,0,0,0,0,0,-0.0076241125834159,-0.00358037655476825,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834190151010115,0.0950620623417735,0.0270030391480383,0,0,0,0,0,0,0,0,0,0,0,0,0.111755821809686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00786134305848579,-0.0156201062029153,0,0,0,0.0227088827028039,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227529016613983,0,8.67361737988404e-19,0.0905829814936759,0,0,0,0,0.00302921784403715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148673358843216,0,0,0,0.0893766259420353,0,0,0,0,0,0,-0.0191470743193883,0,0,0,0,0.18323567532109,0,0
X600011.SH,0,0,0,0,0,0.0914163058589355,0,0,0.119181115607513,0,0,0.288047724085201,0,0,0,0,0,0,0,0,0,0,0.127288055384256,0,-0.153513430629592,0,0,-0.0726151366490785,0,0,0,0,0.124422991521356,0,0,0,0,0,0.134269776598185,0,-0.117117877457122,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128071573425259,0,-1.0842021724855e-19,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159858923397109,0,0,0,0,0,0,0.763223557973785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204266206354232,0,0,0,0,0,0,-0.0517125384631331,0,0,0,0,-0.0633619937429899,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112181118749332,0,0,0,0,0.121756604282359,0.00860576241937007,0.0630547869491506,0,0,0,0,0,0.0970957836495343,0,0,0,0,0,0,0,0,0,0,0.0327315735379035,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00488527764316023,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0268389598787761,0,0,0,0,0,0.123800194176596,0,0,0,0,0,0.0281865158477472,0.0357724024412277,0,0,0,0,0,0,0,0.166287010746859,0,0,0,0,0,0,0,0,0,0.240567786266876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142861278762883,0,0
