,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600886.SH,X601898.SH,X600010.SH,X000792.SZ,X600801.SH,X601600.SH,X600660.SH,X600688.SH,X600362.SH,X000786.SZ,X600188.SH,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600027.SH,X600111.SH,X600299.SH,X002466.SZ,X600489.SH,X600176.SH,X000723.SZ,X000401.SZ,X600426.SH,X000898.SZ,X600516.SH,X601158.SH,X600219.SH,X000553.SZ,X002075.SZ,X000932.SZ,X002353.SZ,X600583.SH,X000883.SZ,X600126.SH,X000709.SZ,X600486.SH,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277622961476462,0,0.077639748111349,0,0.0222066542610902,0,0,0,0,0,0,0,0,0,0.130337956793563,0,0,0,0,0,0,0,0,0,0.00868297574409865,0,0,0.0301048042417393,0,0,0,0,0,0,0,0,0.0116174395993726,0,0,0,0,0,0
X600028.SH,0.454213907057895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716615242981203,0,0,0,0,0.0156343962988724,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0215528916526736,0,0,0.0197322566167391,0,0,0,0,0,0,0,0,0,0.00393089409025094,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0421828498089306,0.0807299061456096,0,0,0,0,0.259680180128912,0,0,-2.16840434497101e-19,0,0,0.0552583922498637,0.035035623069572,0,0.186629542419055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975905519400082,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0275028383372345,0,0,0,0,0.503601304451639,0,0,0,0.0627482646524773,0.0273980121444848,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0646600939231115,0,0.0204183027329743,0,0,0,0,0,0,-0.0636310859442851,0,0,0,0,0,0,0.0100502203061927,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159151533229525,0,0,0,0,0,0,0,0.0116516113716548,0,0,0,0,0,0.0897942494185755,0,0.12912619737018,0,0,0,0,0.0328351822167538,0,0,0,0,0,0.130133290855075,0,0,0,0,0,0,0,0,0.00236890210222565,0.0136039177692763,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.0848872914891415,0,0,0,0,0,0,0,0.00579958858758706,0,0,0,0,0,0,0,0,0,0,0,1.00660007087964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360111822927406,0.0419144657288559,0.0157686161917886,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00772325405823216,0,0,0,0,0,0,0,0.0366182751776049,0,0.137773572764252,0,0.155385752271682,0,0.109073393770186,0,0,0,0,0,0,0.0189178506159558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264538765923893,0.0594626094897015,0,0,0,0.0211673150927107,0,0,0,0,0.00498676233981642,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.1039725158489,0,0,0,0,0.126732753133819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177739083029072,0,0,0.24910356856347,0,0.114310848426859,0,0,0,0,0,0,0,0,0.183983840031297,0,0,0.165697804106121,0,0.0693835108657987,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0241194671955256,0,0,0,0,0,0,0,0,0,0,0.0651462081800348,0,0.120064082956067,0,6.93889390390723e-18,0,0.0274386380023163,0,0,0.56327586763414,0,0,0,0,0,0,0,0,0,0,0,0,0.142631125920222,0,0,0,0,0,0,0,0,0,0,0,-0.0280257371115194,0.000743960784637709,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.11162298756532,0,0,0,0,0.416881318947037,0,0,-0.059160477142985,0,0,0,0,0,0,0,0,0.0308427001261547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138963502893904,0,0,0,0,0,0,0.0170022219948054,0.00824488376255023,0,0,0,0,0,0
