,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600188.SH,X600688.SH,X300072.SZ,X600795.SH,X600362.SH,X601992.SH,X002466.SZ,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X600516.SH,X000898.SZ,X600176.SH,X600157.SH,X000709.SZ,X600027.SH,X000786.SZ,X600352.SH,X000553.SZ,X000792.SZ,X000408.SZ,X600489.SH,X600219.SH,X601699.SH,X002271.SZ,X000959.SZ,X600808.SH,X601158.SH,X000983.SZ,X000883.SZ,X600339.SH,X000723.SZ,X002470.SZ,X000630.SZ,X600299.SH,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.484120806057265,0,0.0748211075696485,0,0,-0.00965033828768337,0,0,0,0,0,0.000602243396912559,0,0.025164704418654,0,0.0114842437575938,0,0,0,0,0,-0.0234413521552207,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0211489919164513,0,0,0,0.0806874094583967,0.0283607188359481,0,0,0,0,0,0,0,0,0,0,0,-7.7519315029089e-05,0,0,0,0,0,0,0
X600028.SH,0.446583148822117,0,0.0309840944711212,0,0,0,0,0,0,0,-0.0147335267585285,0.0353500103664178,0,0,0,0,0,0,0,0,0,0,0,0,-0.0935025686742114,0,0,0,0,0,0,0.0341035343907827,0,0,0,0,0,0,-0.0843736897654587,0,0,0,0,0,0,0,0,-0.00337359764555871,0,-0.0080473816780733,0.0158533750901626,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.161782638574298,0,0,0,0,0,0.105694208800169,0,0,0,-0.073241934199888,0,0.0472651890423656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176197697694129,0,0,0,0,0.0895628088371294,0,0,0,0,0,0,0,0,0,-0.0544010698770969,0,0,0.011725470693071,0.0185952083451645,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118157208051133,0.316490693472238,0.0676263107030074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108830508573211,0,0,0,0,0,0,0,0,0,0,0.0283878883891725,0.00331970572449832,0.0219017771415271,0,0,0,0,0
X600585.SH,0,0,0.393053456257267,0,0,0,0,0,0,0,0,0,-0.019420020792156,0,0,0,0.188500607224474,0,0,0,0,0,0,0,0,0,0,0,0.044863160763139,0,0,-0.145164613717817,0,0,0,0,0,0,0.12021519973038,0,0,0,0,0,0,0,0,0,0,0,0.00668562644830161,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137689839683323,0,0,0,0,0,0,0.0989395031247888,0,0,0.0492472077227566,0,0,0,0,0,0.0932611495054448,0,0,0,0,0,0.0119574280018005,0,0.144769153416416,0,0,0,0,0,0,0,0,0,0,-0.0110891009504218,0,0,0,0,0,0,0
X600309.SH,0,0,0.0828933619645213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11007730842168,0,-0.183519493646061,0,0,0,0,0.258299532121616,0,0,0,0,0.0829851261124566,-0.0809510750609927,-0.0338044107499922,-0.0614923431493294,0,0,0,-0.0104082538545362,0,0,0,0,0,0,0,0,0,0,0.416781637035956,0,-0.0163153458090301,-0.0142763850668393,0,0,0,0,0,0
X600011.SH,0,0,0.0477083691825389,-0.0542535560655307,-0.0820986847929883,0,0,0,0,0,0.0367556970942165,0,0,0,0,0.142615486187481,0,0.0324614385109588,0,0,0,-0.0301488914100922,-0.0446733005254405,0,-0.0203034066931855,0,0,0,0,0,0,-0.00305539610235533,0,0,0,0,0,0,0,0,0.0598396274229208,0,0,0.0839167641374977,-0.0111492238223209,0,0,0,0,-0.0309402956465975,0.0380982743616619,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.190735609945514,0,0,0,0,0,0,0,0,0,0,0.00672913110578855,0,0,0,0,0,0,0,0,0.0327636388078348,0.0278302179261046,0,0,0,0.066703153405371,0,0,0.0695931511992297,0,0.0427874583614563,0,0,0,0,0,0,0,0,-0.00354984797182322,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0717600499041731,-0.0809096404758696,0,0,0,0,0.199264201215596,0,-0.0762175066591713,0,0,0,0,-0.0268075130137971,0,0,0.0421114518373596,0,0.0572792525887706,0,0,0,0.0776727242455575,0,0,0.0349036811616641,0.0672146584889836,0,0,0,0.105463863310456,0,0,0,0,0,0,0,-0.0966531713396577,0,0,0,0,-0.0309437342277003,0.0420263022876311,0,0,0,0,0,0
