,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X000877.SZ,X600547.SH,X601600.SH,X002271.SZ,X600795.SH,X601991.SH,X600426.SH,X600027.SH,X000983.SZ,X600803.SH,X600176.SH,X600362.SH,X000408.SZ,X601699.SH,X000723.SZ,X000786.SZ,X600096.SH,X000629.SZ,X600348.SH,X600995.SH,X000933.SZ,X600141.SH,X600219.SH,X600160.SH,X600985.SH,X002353.SZ,X600801.SH,X300073.SZ,X600157.SH,X002080.SZ,X600378.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0370029579896712,0,0,0,0,0,0,0,0,0,0,0.0660075684620244,0,0,0,0,0,0.0464950313963683,0,0,0,0,0.23402457460047,0,1.73472347597681e-18,0,-0.0106277146593858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.188440455003572,0.181518281757567,0,0,0,0.415612054449609,0.131701245289651,0,0,0,0,0,0,0,0,0,0,0.0363620179855897,0,0,0,0,0.0620068946545991,0,0,0,0,0,0,0,0,-0.150596401193086,0,-0.0633361216301172,0.0181430848596646,0,0,0,0,0,0,0,0,0,0,0,0,0.00961220737540519,0.00328472736705933,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0732981244485624,0,0,4.33680868994202e-19,0,0,0.00690020693305241,0,0,0,0,0,0,0.0258885168049947,0,0,0,0,0,0.0998591300742754,0.0347392575398587,0,0,0.0100854010160529,0,0,0,0,0.00619333229870958,-0.0137493769999597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130151219276066,0.00107913253591632,0,0,0,0,0,0
X600309.SH,0,0.0798325107740847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571248468808836,0,0,0,0,0.0296967503928892,0,-0.019817510827406,-0.0213642689970616,0.065800787899632,0,0,0,0.0871846813301582,0.0689268272011166,0,0,0,0,0,0,0,0,-0.0150773052038026,-0.00595991853411352,0,0,0,0,0,0
X600188.SH,0,0.0657035738228605,0,0,0,0,0,0,0,0.582724986677589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622143553684776,0.099423766365374,0,0,0,0,0,0,0,0,0.0362593575606692,0,0.12818084806989,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269483744382495,-0.00146817285593354,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.682880954317287,0,0,0,0,0,0.023580255991863,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220184954745589,0,0,0,0,0.31388794301649,0,0,0,0,-0.186570976236406,0,0,0,0.168819828433849,0,0,0,0,0,0,0,0,0,0,0,0,0.0213211158987634,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.365320536191493,0,-0.0477490098133661,0,0,0,0,0.0989661413970158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216180748962887,0,0,0,0.0517085809409724,0,0,0,0.0439161449309782,0.0579752103625548,0,0.064428224336652,0.178732827039086,0,0,0,0,0,0,0,0,0,0,0,0.073761769033324,-0.0792313385918238,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0124497441259818,0,0,0,0,0,0,0,0,0,0.0152623005261742,0.0696038596266099,0.029630328730937,0,0,0,0,0,0,0,0,0,0,0.00720620041373727,0.0324639006772036,0.00311399110606061,0,0,0,0,0,0,0,0,0.301332687600293,0,0.173764934319135,0,0,0,0,0,0.00797037110053899,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.111716341426703,0.193504957198564,0,0,0,0.155455598397281,0,0,0,0,0,0,0,0,0,0.119908196561824,0,0,-0.00566106073576315,0,0,0,0,0,0,0.234884210188981,0,0,0.0385280432660119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158398051228887,0,0,0,-0.0259011310546435,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0447998055707799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340413957499168,0,0,0,0,0,0,0,0.112396479915079,0,0,0,0.00488969465557987,0,0.00602982330717502,0,2.77555756156289e-17,0.200683673163845,0,0,0,0,0,0,0,0,-0.0147698841200157,0,0,0,0,0,0
