,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600585.SH,X600011.SH,X600547.SH,X600660.SH,X601600.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X000708.SZ,X600795.SH,X600010.SH,X601699.SH,X000301.SZ,X600362.SH,X600426.SH,X000877.SZ,X000983.SZ,X002271.SZ,X600027.SH,X600489.SH,X600803.SH,X601991.SH,X000807.SZ,X600176.SH,X600160.SH,X600985.SH,X000786.SZ,X000630.SZ,X000932.SZ,X000408.SZ,X000933.SZ,X600612.SH,X600219.SH,X300037.SZ,X002128.SZ,X600348.SH,X000629.SZ,X600688.SH,X600157.SH,X000723.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.592858667526171,0.225289776618861,0,0,-0.0503540260153029,0,0,-0.0701265251900672,0,0,0,0,0,0,0.116996144110282,0,0,0,0,0,0,0,0,0,0,-0.205060091465317,0,0,0,-0.0337762206529638,0,0,0,0,0,0,0,0.106341541417986,0,0.106002423953175,0,0,0,0,0,0,0,0,0,0,0,0.0177432899143998,0,0,0,0.0124929626503944,0,0
X600028.SH,0.520133016308403,0,0.0496099116512042,0,0,0.0541026724027666,0,0,0.0604064802813856,0,0,0,0,0,0,0,0,0,0.0580413250724088,0,0,0,0,0,0,0,0,0,0,0.0230638798222327,0,0,0,0,0,0.0777553243656229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00534553278329671,0,0,0,0,0,0,0
X601088.SH,0.0870637496071639,0.106683787008013,0,0,0.0779175791046708,0,0.15001098227516,0,0,0,0,0,0.107984270579166,0,0,-0.0402027545368577,0,0,0,0,0.0743834438655625,0,0,0,0,0.0631739638724182,0,0,0,0,0,0,0.0415047705769647,0,0,0,0,0,0,0,0,0,-0.0196178029033664,0,0,0,0,0,0,0,0,0,0.0101201616700598,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.115000570165992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18175974872691,0,0,0.0773143727401475,0.0407371786461711,0,0.00109021029629818,0,0,0,0,0,0,0,0.343304081156094,0,0,0,0,0.121134121528663,0,0,0,0,0.190456232708955,0,0,-0.02609622893986,0.0124985552567536,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.108105878050487,0.194310100729379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123339163681693,0,0,0,0,0.340783842893484,-0.0573684415291206,0,0,0,0,0,0,0,0.0466496098366688,0,0,0,0,0.0619964861306754,0,0,-0.0909221874078591,0,0,0,0,0,0,0,0,0,-0.0157486986246305,0,0,0,0,0,0
X600019.SH,0,0.0883153251205519,0,0,0.0957611263549663,0,0,0.048775721579524,0,0,0,0,0,0,0,0,0,0.0603399477361792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142634320564398,0.328072642607906,0,0,0.151414843047252,-0.148554472965199,0,0,0,0,0,0,0,0,-0.00335108309001668,-0.00178780885312721,0,0,0,0,0,0
X601898.SH,0.084034175009938,0,0.0545436178830408,0,0.152645535751082,0.108196661796815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142904587688623,0,0,0,0,0,0.0290065285570769,0,0,0,0,0,0,0,0,0.0312949551210219,0,0,0,0,0.0109007100432637,0,0,0,0,0,0,0,0,0,0,0,-0.00694746411420747,0,0,0,0.0322581211880374,0,0
X600585.SH,0,0,0,0,0,0.0326847959705712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655073421327948,0.254901680678497,0.0476077852247343,0.16420091553768,-0.0619060179364247,0,0,0,0.0584348232519089,0,0,0,0.0303909382077314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0839193232649373,0.100017983453866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428089647195392,0,0,0.0800416981327504,0,0.0832937745333802,0,-0.0517544180632487,0,0,-0.0437555977579444,0,0,0,0,0.063109571245842,0,0,0,0,0,0,0,0,0.00312801047676889,-0.010863618011931,0.0153096392651116,0,0,0,0,0
X600547.SH,0.0275921866751543,0,0,0,0.0782573068084459,0,0,0,0,0,0,-0.114784539942087,0,0,0,0,0,0,0,0,0,0,0,-0.0748918354882955,0,0,0,0,0.309627637725638,0.00834947361784081,0,0,0,0,0,0,0,0,-0.0156054843119762,0,0.049888019966191,0,0,0,0,0,0,0,0,0,0,0.0132835082647421,0,0,0,0,0.0596787835746613,0,0
X600660.SH,0,0,0,0,0.0132620632771146,0.0550396337432059,0,0,0,0,0,0,0,0,0,0,0,0.0351541145728529,0,0,0,0,0,0,0,0.0403585908224942,0,0,0,0,0,0,0,0,0,0.13635158712448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115547902299524,0,0.0240810295035257,0,0,0,0.0595991658102498,0,0
X601600.SH,0,0,0,0,0,0.17424115198521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783031594874858,0.524551475678938,0,0,0,0,0,0,0.00226316217422638,0,0,0.379788125741286,0,0.0941722479384149,0,0,0,0,0,0,0,0.00590298240016761,0,0,0,0,0,0,0
