,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X600011.SH,X002460.SZ,X600660.SH,X600886.SH,X601600.SH,X600362.SH,X600489.SH,X600801.SH,X601898.SH,X600010.SH,X000786.SZ,X600352.SH,X600111.SH,X600188.SH,X601991.SH,X600176.SH,X600795.SH,X600688.SH,X600529.SH,X600027.SH,X002466.SZ,X600426.SH,X600299.SH,X601992.SH,X600612.SH,X002080.SZ,X002353.SZ,X600315.SH,X600219.SH,X600486.SH,X000932.SZ,X000301.SZ,X002409.SZ,X000723.SZ,X600126.SH,X000027.SZ,X601158.SH,X600516.SH,X000401.SZ,X000898.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.00690366220925774,0,0,0.0513961126307224,0,0.0602321642796251,0,0,0,0,0,0,0,0,0,0,0.0636367018492725,0,0,0,0,0,0,0,0,0.0945166814291552,0,0,0,0,0,0,0.0936996196109617,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0101161342348054,0,0,0,0.0406149819560145,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761755527776757,0,0.119639707379174,0,0,0,0,0,0,0,0.00775156211877022,0.0344976389195177,0,0,0,0,0,0,0.0786836850042586,0.00618373413960826,0,0,0.057738226618458,0,0,0,-0.0255188502264187,-0.000986460973796394,0.00170013308893478,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0762031798178039,0,0,0,0.0232683797013298,0,0,0,0,0,0,0,0.311807761943966,0,0,0,0,0,0,0,0,0,0,0,0,0.0141149949217782,0,0,0,0,0,0,0,0,0,0.079240771352077,0,0,0,0.00157421999286701,0,0,0,0.135647875317672,0,0,-0.0394680528844351,0,-0.00157637597373213,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0555551241800861,0.0831155270528872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739648918640596,0,0,-0.000689567118372564,0,0,0,0,0,0,0,0.0293365229880669,0,0,0,0,0,0,0,0.0237536561887074,0,0,0,0,0.128269776498052,0,-0.011215625935364,0.0108426189966938,0.0021095268225192,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.108801087430324,0,0.0454166010839485,0.0790362494757662,0,0,0,0,0.0376802055804754,0,0,0.00144425935460627,0,0,0,0,0,0,0,0,0,0,0.253801114616103,0,0,0,0,0.0186744749317464,0,0,0,0,0,0.0785932758086309,0,0,0,0,0,0,0,0,0,-0.00393698996009554,-0.0107800815615342,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738617655651116,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0816574869223569,0,0,0,0,0,0,0,0,0,-0.0346549638572983,0,0,0,0,0,0,-0.000559081654242857,-0.012174987991411,-0.0179737351189256,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166682602289656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147853358925278,0.11685468623151,0,0,0,0,0,0.0271043677005801,0.113216647358645,0,0,0,0,0.0184792283388164,0,0,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502408147042107,0,0.029225471238504,0,0,0,0,0,0,0,0,0,0,0,-0.0407644234812553,0,-0.0244521991366087,0,0,0,0,0,0,0,0,0,0,0,-0.0543122262996231,0,0.0677893541925561,0,0,0,0,0,0,0,-0.0131517579730327,0,0,0,0,0,0,0
X002271.SZ,0,0,0.0775156901243816,0,0.034766778280306,0,0,0,0,0,0.0104042368128078,0,0,0,0,0,0,0,0,0.0706332368309139,0,0,0,0,0,0,0,0,0,0.0277423004300788,0,0,0,0,0,0,0.134052773970597,0,0.271278473224185,0,0,0.105531688370606,0,0,0,0,0,0,0,0,0,-0.00643705903544781,-0.0363228403751086,0,0,0,0,0,0
X600011.SH,0,0,0.0636259428207082,0.00639636225686588,0,0,0,0,0,0,0,0,0,0,0.0581558941890815,0,0,0,0,0.0642411516599265,0,0,0,0,0,0,0.016937200290425,0,0.126515681402603,0,0,0,0,0,0.0547505395472576,0,0,0,0,0,0,0.0427953929099328,0,-0.0487939044614513,0,0,0,0,0,0,0,0.00617511104215153,0,0,0,0,0,0,0
