,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X601991.SH,X002466.SZ,X600688.SH,X600188.SH,X600886.SH,X600795.SH,X601600.SH,X600362.SH,X600516.SH,X300072.SZ,X600027.SH,X000898.SZ,X600547.SH,X002460.SZ,X600111.SH,X600352.SH,X600176.SH,X000553.SZ,X601992.SH,X000786.SZ,X002110.SZ,X600426.SH,X000709.SZ,X600299.SH,X000408.SZ,X600808.SH,X000883.SZ,X600801.SH,X600315.SH,X000932.SZ,X601158.SH,X000830.SZ,X600219.SH,X601699.SH,X002271.SZ,X000792.SZ,X000539.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.120873317406378,0,0,0,0,0,0,0,0,0,0,0,0.136443861575624,0,0,0,0,0,0,0,0,0,0,0,0.0107125371918895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177371109092962,0,0.0048683397526374,0,0.071667215726411,0,0,0,0.00964763151477522,0,0,0,0,0,0,0
X600028.SH,0.225221981014515,0,0.188070424229167,0,0,0,0,0,0,0,0,-0.0475494042555238,0,0.0645017931651863,0,0,0,0,0,0,0,0,-0.0491620995798272,0,0,0,-0.197855190385873,-0.0590400185192543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237071123234762,0.082581282289004,0,0,0,0,0.00473630459401009,-0.0197957365679424,0,0,0,0,0,0
X601088.SH,0,0.167009088266728,0,0.188967316038801,0,0,0,0,0,0,0,0,0,0.538366880738074,0,0,0,0,0,0,0,0,0,-0.0160614587643353,0,0,0,-0.0196327916686742,0,0,-0.147029565903696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222995955668996,0,0,0,0,-0.00345684484849185,0.000139388723006901,0,0,0,0,0,0
X600585.SH,0,0,0.247658684081398,0,0,0,0,0,0,0,0,0.0483848781754512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101522072620025,0,0,0,0,0,0,0,0.29195117699264,0,0,0,0,0,0,0.00459300765327663,0.0861123792260177,0,0,0,-0.00498156064487659,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.162903755226299,0,0,0,0,0,0,0,0.354014093465382,0,0,0,0,-0.00795381753132823,0,0,0,0,0,0,0,0,-0.0443179328298567,0,0,0.0245755622192639,0,0,0,0,0,0,0,0,0.186041120153493,0,0,0,0,0,0,0,0,0,0.00158355978233263,0.034040178537973,0,0,0,0,0,0
X600309.SH,0,0,0.0893409575936697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050898866893927,0,0,-0.0275167376778717,0,0,0.0566159158235837,0,0,0,0,0,0,0,0,0,0,0,0.0840913754967019,0,0,-0.0207340884247027,0.0755291086008551,0,0,0,0.0228032733494088,0.0734116690123172,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.081602859803692,0,0,0,0,0,0,0,0,0,0.161178164853025,0,0,0.0556935143888984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518801222367566,0,0,0.0313895249599462,0,0,0,0,0,0,0,0.0126443787087241,-0.0366509670083082,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.209997412509968,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07912204422597,0,0,0,0,0,0.123164316450543,0.237660750640495,0,0,0,0,0,0.156638022410767,0,0,0,0,0,0.164601640119694,0,0.0241671144555428,-0.0302491304992202,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112981730318582,0,0,0,0,0,0,0,0,0,0,0,0,0.0710614668796543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674989070845982,0,0,0,0,0.00554546011859568,0.00074255281967126,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694603876657215,0,0,0,0,0.141781512242528,0,0,0,0,0,0,0,0.0638932681135747,0,0.133709872923713,0,0,0,0.0744164376929785,0,0,0,0,0,0,0,0,0.0055720075157274,0,0,0,0,0,0,0,0.00833272967012836,0,0,0,0,0,0,0
