,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600886.SH,X000792.SZ,X601898.SH,X600010.SH,X600801.SH,X601600.SH,X600660.SH,X600362.SH,X600688.SH,X000786.SZ,X600188.SH,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600299.SH,X600027.SH,X600111.SH,X002466.SZ,X600176.SH,X600489.SH,X000723.SZ,X000401.SZ,X600426.SH,X600516.SH,X000898.SZ,X002075.SZ,X601158.SH,X600219.SH,X000932.SZ,X000553.SZ,X600583.SH,X002353.SZ,X000883.SZ,X600126.SH,X000709.SZ,X600486.SH,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0.13440946617867,0,0,-0.13075564801149,0,0,0,0,0,0,0.270418072341904,0,0.0348120659803734,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.182895538560852,0,0,0,0,0,0,0,0.0109197237673472,0,0,0,0,0,0,0,-0.0273266206273222,0,0,0,0,0.154269204305868,-0.0416710803953906,-0.0276389388614485,0,0.16063236011001,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817222964041062,0,0,0.18368452592815,0,0.00467259782524687,0,0,0.0571641975427817,0,0.00988465990690442,0,0,0,0,0,0,0.00586648244285991,0,0,0,0,0,0,0.158360890662981,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0129113189461366,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0202308365527298,0,0,0,0,0,0,0,0,0,0,0.102374153690426,0,0.093192861956119,0,0,0.0401561778348596,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0236199372604932,0,0,0.0290122411009348,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.00375176826531472,0,0,0,0,0,0
X600801.SH,0,0,0,0.32210790161851,0,0,0,0.0213796359454151,0,0.0171031107238537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490033353622297,0,0,0,0,0,0,0,0,0.117035246891097,0.381098986328771,0,0.010653882164876,0,0.0441958027671256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151022243045475,-0.00431530307952925,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.00558888166305897,0,0,0,0,0,0,0,0,0,0,0,0,0.0447312570468675,0,0,0.0700920941563456,0,0.124004004737008,0,0,0,0,0,0,0,0,0,0,0,0.105433563118886,0,0,0,0,0,0,0,0,0,0,0.0157141248681954,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.101360246232297,0,0,0,0,0,0.233443431325028,0,0,0,0,0,0,0,0.0764668143036783,0.09225714439428,0.125486486502407,0,0,0,0,0,0,0,0,0,0,0.0150995360019002,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.0123933796928393,0,0,0,0,0,0,0,-0.0217148708458054,0.00270815891096137,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181370253619922,0,0,0,0.0042124271093182,0,0,0,0.0948655924594574,0,0,0.202712673808985,0.0961717381849752,0,0.0792672168044526,0,0,0,0,0,0,0,0,0,0.217717448117713,0,0,0,0,0,0,0,0,0,0,0,0.0087522757946267,-4.33680868994202e-19,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.156610713884306,0,0,0,0,0.00548433621482119,0,0,0,0,0,0,0,0,0,0,0,0,0.482704212214646,0,0,0,0,0,0.0261135299254471,0,0.136314583934468,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0700352250748927,0,0,0,0,0,0,0,0.0682493719139234,0.0473892603153756,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0.172972016715634,0.116900363365605,0,0,0,0,0.285185148419891,0,0,0,0,0,0,0,0,0,0,0.055505413156284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265577249461651,0,0,0.0280133593962379,0,0,0,0,0,0.0161044963005444,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.0465732751420944,0,0,0,0,0.0445259849749548,0,0,0,0,0,0,0,0.185824699532732,0,0,0.156258961757858,0,0,0,0,0,0,0.0744583435561665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896770626085503,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0119031189537333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156965356462243,0.0925326667663878,0,0.0482362412309929,3.46944695195361e-18,0,0,0,0,0,0,0,0.00373079959989445,0.000941448995040827,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0.00199298697969141,0,0,0,0,0,0,0,0,0,0,0,0.00325227622134109,0,0.0101892842266646,0,0,0,0.222481425149606,0,0,0,0,0.0727834328332985,0,0.0332604059965456,0.0292724232537371,0,0.188492710589637,0,0,0,0,0,0,0,0,0,0.0709946743914928,0,0,0,0,0,0.0202151675072793,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067683296453387,0,0.0154683314781725,0,0.284210137348696,0,0.0307825362716643,0,0,0.192780857896463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232385862683815,0,0,0,0,0,0.0135425867462212,-0.00384057291167674,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175196908241054,0,0,0,0,0,0,0.053265681508917,0,0.119795488872628,0,0,0.0337732420848816,0,0,0,0,0,0,0.271170243732906,0,0,0,0.0215560776055772,0,0,0,0,0.122185713678727,0,0,0,0,0,0,0,0,0.0101888141933794,0.00893209804735662,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496362582125028,0,0,0,0,0,0.0178047446201521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10002209200186,0,0,0,0,0,0.0298015603726572,0.0177426737496364,0,0,0,0,0,0
