,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600010.SH,X600111.SH,X600362.SH,X600489.SH,X002460.SZ,X000708.SZ,X600160.SH,X600803.SH,X002466.SZ,X600027.SH,X000301.SZ,X601991.SH,X000786.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X002128.SZ,X601699.SH,X000408.SZ,X600176.SH,X000877.SZ,X000630.SZ,X601168.SH,X600096.SH,X600985.SH,X000933.SZ,X600378.SH,X002353.SZ,X002271.SZ,X600995.SH,X600352.SH,X000883.SZ,X000027.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.343728219630882,0,0.154670229077364,0,0,0.0131924216969765,0,0,0,0,0,0,0,0,0,0,0.360593320061162,0,0,0,0,0,0,0,0,0,0,0,0.0836001635090641,0,0,0,0,0,0,0,0,0,0,0,0,0.0975051980136011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.319515288721986,0,0,0.0649342743966451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544326174488613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131707663951589,0,0,0,-0.00722113114046711,0,0,0,0,0,0,-0.0192220248186845,0,0,0,0,-0.0158184207363358,0,0
X600028.SH,0.409982978321086,0,0,0,0.14699014849895,0.0852381875457428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0667627445340719,0,0,0.159708854312492,0,0,0,0,0,-0.0298860748888011,0,0,0,0,0,-0.048653510034353,0,0,0,0,0,-0.0346365669598568,0,0,0,0,0.174102892900795,0,4.33680868994202e-19,0,0,0,0,0.00794849952616299,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146668455613232,0,0,0.126481378097374,0,0,0,0,0,0,0.406253612075461,0,0,0.0456608296766536,0,0,0,0.0194705648399357,0,0,0,0,0,0,0.0838056602171362,0.0383488644434064,0,0,0,0,0,0,-0.110609670601579,0,0,0,0,0,0,0
X601898.SH,0.0185303745992556,0.164599720346588,0.364701097988539,0,0,0,0,0,0.0497972503932308,0,0,0,0,0,0,0,0,0,0.0268582141665548,0,0,0,0.00941217575147356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132165712730884,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.177968474406179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107083545194666,0,0,0,0,0,0,0,0,0,0.438845265877831,0,0,0,0,0,0,0,0,0.258208774523441,0,0,0,0,0,0.0283084713908149,0,0,0,0,0.0908759011779363,0,0,0,0,0
X600660.SH,0,0,0,0.131935416898549,0,0,0,-0.271448033592259,0,0.0575129318313131,0,0,0,0,0,0,0.464393413448415,0,0,0,-0.37721751663835,0,0.0439206575016435,0,0,0,0,0.321107906828409,0,0,0,0,0,0,0,0,0,0,-0.259416608249923,0,0,0,0,0,0,0,0,0,0,0,0,-0.0350403176595814,-1.73472347597681e-18,-0.100364345628173,0,0,0.0164435483205244,0,0
X600019.SH,0.119052983114909,0.0294111709983515,0.0272254537097496,0,0,0,0,0,0,0.0249471084360898,0,0,0,0,0,0,0,0,0,0,0.274560785772866,0,0.172215111629898,0,0,0,0,0,0,0,0.160596171905661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316891112104611,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.10768456078899,0,0,0.0784118379225384,0,0,0,0,0,0.15970916930418,0,0,0,0,0,0,0,0,0,0,0,0.0607938502306135,0,0.137353416545708,0,0,0,0,0,0,0,0,0.255167578771309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000947340465188611,0,0,0,-0.112429343562554,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280214529333997,0,0,0,0,0,0.0375325173167637,0,0,0.13543084347088,0,0.0330245524893961,0.254313258419345,0.0808148359033528,0,0,0,0.449592762113422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357263570186183,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0099038251341766,0,0,0,0,0.730303838017468,0,0,0,0.0119860169709219,0,0,0,0,0,-0.0333308221081708,0,0,0,0,0,0,0,0.0634941920236123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297824690854547,0,0,0.057687456805248,0,0
X600886.SH,0.0249531869831302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463685401924909,0,0,0,0,-0.125207307205908,0,0,0.0406859583243347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0908395152628558,0,0,0,0,0,0,-0.0219234557233179,0.0676529237401115,0.0835316412777972,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231918003458904,0,0.180328564947004,0,0,0,0,0.0494732132449631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350786340386499,0,0,0.174608949963261,0,0,0,0,0,0,0,0.0186099313398529,0,0
X000792.SZ,0,0,0,0.00183872511942607,0,0,0,0.021642255754937,0,0,0,0,0,0,0,0,0,0,0,0.269736728222692,0.147486569948406,0.0793524362141663,0,0.0963698046562396,0,0,0,0.0253179354295008,0,0.0450334615013423,0,0,0,0,0.159890381958083,0,0,0,0,0.0361922960400717,0,0,0,0,0,0,0,0,0,0,0,0,0.00508709673630689,0,0,0,0,0,0
X600795.SH,0,0,0.229021758239471,0,0,0,0,0,0,1.73472347597681e-18,0,0.315182040844678,0.103076909892638,0,0,0,0,0,0,-0.00599445160746762,0,-0.0627458606646791,0.0145829438361552,0,0,0,0.078043388781623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722504177792967,0,0,0,0,0,-0.0425804308941887,3.46944695195361e-18,0,0,0,0.000280877316103422,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0392461986243308,0,0,0.060568524397221,0,0.158363262698412,0,0,0,0,0,0,0,0,0,0,0,0.198095244009255,0,0,0,0,0,0,0.177440384470428,0,0,0,0.0333308598998639,0.0523500282078282,0,0,0,0,0,0,0,0,0
