,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600547.SH,X600362.SH,X600795.SH,X300072.SZ,X600309.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X601992.SH,X600660.SH,X600886.SH,X600111.SH,X600489.SH,X000898.SZ,X000709.SZ,X600339.SH,X600299.SH,X601158.SH,X000959.SZ,X600583.SH,X000630.SZ,X000792.SZ,X002466.SZ,X600098.SH,X600352.SH,X600219.SH,X000408.SZ,X000883.SZ,X000723.SZ,X000825.SZ,X000539.SZ,X600021.SH,X002092.SZ,X000983.SZ,X000027.SZ,X601699.SH,X600623.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.337935830813997,0,0.0293033573893778,0,0,0,0,0.0300497227734589,0,0,0,0,0,0,0,0,0,0,0.0142817251604297,0.023299957756565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628359779776251,0,0,0,0,0,0,0.0540560772370251,0,1.0842021724855e-19,0,-0.00635180377801254,0,0,0,0,0,0
X600028.SH,0.763977878118055,0,0,0,0,3.46944695195361e-18,0,0,0.0580813079270906,0.0727706487197094,0.0531002003707773,0,0,0.035265701124112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032764138932729,0,0,0,0,0,0,0,0,-0.175736922194503,0.0372524399285729,-0.0154165936610685,0,0,0,0,0,0
X601088.SH,0,0.0190522209508941,0,0,0,0,0,0,0.000752085765213805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726372889317796,0.107991852807767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154549401253459,0,0.0286626278256344,0,-0.0262112984447435,0.0155343135058193,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209003078908997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688136715603555,0,0,0,0,-0.121768752328898,0,0,-0.0301992098955162,0.0215688627608658,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0158055516656947,0.0288788434669007,0.165201486876867,-0.0111450551193392,0,0,0,0,0,0,0,0,0,0,-0.0798590739051857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121320891002194,0,0,0,0,0,0.0134460265059797,-0.0165175755721982,0.0160976465147335,0,0,0,0,0,0
X600585.SH,0,0.0405560912360407,0,0,0,0,0,0,0,0,0,0,0,0,0.00432221009172472,0,0,0,0,0,0.127894182804882,0,0,-0.0491579989863574,0.159786602431679,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735208210023331,0,0,0,0,0,0,0,0,0,0,-0.0369961691817427,-0.210091034006247,-0.00781477317157994,0.00963381451928763,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.051673504149769,0,0,0.0997101749948623,0,0,0,0,0,0,0,0,0,0,0,0,0.159487825497339,0,0,0,0,0.0182829797826833,0,0,0,0,0.125195100002108,0,0,0,0,-0.0101410220101994,0,0,0,0,0,0,0,0.0683071924529868,0,0,-0.0341209554452612,0.0139870519218486,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0886212307569182,0,0,0,0.0709775845741361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291349523347074,0,0,0,0,0.17801143120879,0,0.169969845915193,0,0,0,-0.0261001782545437,0.0102116224999962,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.132564050899762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0587280603205662,0,0,0,0,0.164611337824969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21060522814231,-0.172445257316975,-0.0109251946747292,0.00275758193034195,0,0,0,0,0,0
X600688.SH,0,0.426729678493159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279536639249124,0,0,0,0.0565026567881732,0,0,0.168094110132922,0,0,0,0,0,0.0351331916812799,0,0,0,-0.0224487753727547,0,0.0417647107483084,0.081469331560109,0,0,0.0340821059214405,0,0.0103870567224579,-0.028020379502237,0.00161327545354714,0,0,0,0,0,0,0
