,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600795.SH,X600688.SH,X600309.SH,X600660.SH,X300072.SZ,X601600.SH,X601991.SH,X600886.SH,X600362.SH,X600547.SH,X600188.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600111.SH,X600339.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600008.SH,X600299.SH,X002271.SZ,X600176.SH,X000883.SZ,X000723.SZ,X600352.SH,X002460.SZ,X600219.SH,X600578.SH,X600583.SH,X000630.SZ,X000408.SZ,X000539.SZ,X600021.SH,X000027.SZ,X000792.SZ,X000786.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.249329613473096,0,0,0,0,0,0.0196892228710346,0,0,0,0,0.000156478771867873,0,0.143876554332291,0,0,0,-0.0173073137965892,0,0,0,0,0,0,0,0,0,0,0,0.00311741297789298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0143804537696104,0.00374244234139837,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0.0730750746357904,0.0289993237937128,0,0,0,0,0,0,-0.132788878255682,0.0213609947385404,0,0,0,0,0,-0.0593721913329397,0.099532018991423,0,0,-0.0251526448567889,0,0,0.033009977705164,0,0,0,0,-0.047993437263491,0,0,0,0,0,0,0,0,0,0,0,0,-0.00723836760461195,0.00673167156580349,0,0,0,0,0,0
X601088.SH,0,0,0,0.109785202572152,0,0,0,-0.0137502839327306,0,0,0,0,0,0.00932383986196784,0,-0.0164529908216734,0,0,0,0,0,0,0.0113993718485437,0,0,-0.0166925551228524,0.0883274444276658,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023694224879696,0,-0.0523210432114932,-0.0182228507811541,0,0,0,0.000295499237786059,0,0,-0.0133668189335172,-0.0139457571867759,0,0,0,0,0,0
X600019.SH,0,0,0.103341186279402,0,0,0,0,0,0,0,0,0,0.0135308172586749,0,0,0,0,0,0,0.131533075891323,0,0,0,0,0,0.118734599446635,0.304927455317673,-0.0386633595190643,0,0,-0.00546333394895711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109212199677879,-3.3881317890172e-21,0,0,0,0,0,0
X600011.SH,0,0,0.126163182905075,0,0,0,0,0,0,0,0,0,0,0,0,0.187807165048256,0,0,0.00316862037834752,0,0.141692052818507,0.010245485161138,0,0,0,0.0939122728219434,0,0,0,0,0.086008456779344,0,0,0,0,0,0,0,0,0.107620662605691,0,0,-0.110170478403473,0,0.238279882301539,0,0,0,0,0,0.0295759237450694,-0.0102302604587229,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0355977426101552,0,0,-0.0126280847533246,0,0,0,-0.0456934673087271,0,0,0,-0.0748261047690994,0,0,0,0,0,0,0.098009808596394,0,0,-0.129433288088605,0.0509714405775134,0,0,0,-0.0655284414533037,0,0.0063725868764893,0,0,0,0,0.0333387375194453,0,0,0,0,0.198791767674106,0,0,0,0,0,0,0,-0.0235134461910774,-0.0176581649094328,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169399178800093,0,0,0.106826929683816,0,0,0,0.0344784484997233,-0.00302919315177889,0,0,0,0.0768116825663781,0,0,0,0.0627593169891797,0,0,0,0,0,0,0,0,-0.0244505731790534,0,0,0,0,0,0.138527187612387,0,0,0,0,0,0.00626998329789428,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10466158401445,0,0,0,0,0,0,0,0.677073226414642,-0.18962422457003,0,0,0,0,0.0947500405893604,0,0,0.384040707653632,0,0.0322440904717916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683825609859195,0,0,0,0.0755725677959978,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0311050790290401,0,0,0,0,0,0.384651709735599,0,0,0,0,0,0,0,0.0172707655954837,0,0,0,0,0,0,0,0.0521948039402335,0,0,0,0,0,0.0143273415571313,0.0834434398082142,0,0,0,0,0,0,0,0,0,-0.0117321515119667,-0.00405894423014437,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.125694287788418,0,0,0,0,0,0,0.0433489226886615,0,0.0256926055572363,0,0,0,0,0.02792452792084,0,0,0.0446830140683162,0,0,0,-0.00705612213055374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031299519007185,0,0,-0.0527603842314599,0.127820879204673,0,0,0,0,0,0,-0.00467040496171172,0.0180369785827525,0,0,0,0,0,0
X600688.SH,0.253531449424997,0.236971764436189,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051962549301414,0,0,-0.0898392924245932,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0244566222706724,0,0,0,0,-0.0191393887678134,0,0,0,0,0,0,0,0,-0.00326157025366505,-0.00403191022078254,0,0,-0.0183380481433395,0.00783599694703194,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0141079211457616,0,-0.0589121120009247,0,0,0,0,0,0.306252739422248,-0.38349428621377,0,0,0,0.0679834117854634,0.05520089251501,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0863733677731417,0,0,0,0.252952510491116,0,0,0,0,0,0,0,0,0,0.324438931167116,0,-0.093168515302462,0.177535465220218,0.0596535704703497,0,0,-0.0468338093931673,0.00934670984506095,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0960654508072827,0,0,0,0,0,0,0,0.125650537303085,0.0646847431983539,-0.114392395023413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685472175900308,0,0.133088367928676,0,0,0,0,-0.0389017144190408,0,-0.0441961732912398,0,0,0,0,0,0,0,0,0.047592411133682,0,-0.0271806849945747,-0.0133796621494079,0,0,0,-0.119538919164419,0,0
X300072.SZ,0,0,0,0,-0.515941083188436,0,0,0,0,0,0,0.834288158464491,0,0,0,0,0,0,-0.0660176404775627,0,0,-0.0573091874910273,0,0,0,0,0,0,0,-0.0999680642556988,0.23038490353769,0,0.0793661363289941,0,0,0,0,-0.187698780414494,0,0,0,0,0,0.113213079502237,0,0,0,-0.00170387419646346,0,0,0.110637458362772,0.06924020874809,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242822124112155,0,0.211232864537047,0,0,0.289712905810004,0,0.0704947988205334,0,0,0,0,0.0527011317606385,0,0.133394010363134,0,0,0,0,0,0,0,0,0,0,0.0849906442556294,0,0,0,0,0,0,0,0,0,0.0121014189947528,0.00489265011816818,0,0,0,0,0,0
