,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X601600.SH,X600547.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X600010.SH,X000301.SZ,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X000933.SZ,X600176.SH,X000932.SZ,X600348.SH,X601168.SH,X600219.SH,X600612.SH,X002128.SZ,X600688.SH,X300037.SZ,X000027.SZ,X600157.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.00968590587323399,0.0598214544736799,0,0,0,0,0,0,0,0,0.146623992814703,0,-0.178445360779028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156692810704622,0,0,0,0,0,0,0,0,0,0.116840045737314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332261324608222,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.323854727530543,0,0,0,0,0.107534320565227,0,0,0,-0.0104989819649241,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.125189450092007,-0.115258836731054,0,0,0,0,0,0,0.123611492822408,0,0,0,0,0.078462389462273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170184232623739,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.079577500706858,0,0,0.0857927364231052,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109982907902513,0.0948329031892544,0,0,0,0,8.67361737988404e-19,0,0,0,8.67361737988404e-19,-1.73472347597681e-18,0,0.40508254483443,0,0,0,0,0,0,0,0,0,0,0,-0.0132766861701128,0,0,0,0,0,0,0
X600309.SH,0.0222980620012096,0,0,0,0.03457097177413,0,0,0,0.344357405829786,0,0,0,0,0,0,0,0,0,0,0,0.113114604373815,0,0,0,0,0,0,0.119202506808414,0.0257827069919694,0,0,0,0,0.120466431004033,0,0,0,0.0603891854945176,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00662197926521756,0,0,0,0,0,0,0
X600188.SH,0,0.0691911297518538,0,0.0929929428788474,0,0.217590574381611,0,0,0,0,0,0,0,0,0,0,0,0.328703887346625,0,0,0,0,0,0.162108010193985,0,0,0,0,0,0,0,0,0,0.0452527988248941,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0372375355428301,0,0,0.018949288916614,0,-0.0106992355292476,-0.00163339013114968,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.256722336466364,0,0,0,0,0.0792294356023802,0,0,0,-0.0314765659485463,0,0,0,0.0135967663205138,0,0,0,0,0,0.0937177655377469,0,0,0,0,0,0,0,0,0.081702251906072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292718580817511,-0.0123345702673771,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0610040350384147,0,0,0.0217435619834718,-0.0231561005002243,0,0,0,0,0,0,0,0,0,0,0.444204221556837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341042780774833,-5.42101086242752e-20,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052226536079555,0,0.0340911517207969,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127203388345065,0,0,0,0,0,0,0,0.265245430210728,0,0.184092415357094,0,0,0,0.14022299892725,0,0,0,0,0,0.00330955711881543,0,0,0,0,0,0,0
X600585.SH,0.167438815032554,0,0,0.131798653909787,0,0,0,0,0,0,0,0,0,0,0,0.155610413734646,0,0,0,0,0,0,0,0,0,0,0,0.00722874707636534,0.00260943725792061,0,-0.0463696254243692,0.0470573857788699,0,0,0,0,0,6.93889390390723e-18,0.0709613369835075,0,0,0,0,0,0,0,0,0,0,0,0,0.0123716523943141,0.00188080579655879,0,0,0,0,0,0
X600886.SH,0,0.0625521053225653,0,0,0,0.109085994285908,0,0,0,0,0,0,0,0,0,0,0.479537752544947,0.0183069189782352,0,-0.141581597302392,0,0,0,0,0,0,0,0,-0.0577144487121685,0,0,0,0,0,0,0,0,0.00656562073176169,0,0,0,0,0,0,0,0,0.058190292885502,0,0,0,-4.33680868994202e-19,-0.000763326412071945,0.00456140723026139,0,0,0,0,0,0
