,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X600019.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600547.SH,X600886.SH,X000877.SZ,X601600.SH,X002271.SZ,X601991.SH,X600426.SH,X600027.SH,X600362.SH,X600803.SH,X000983.SZ,X600176.SH,X600348.SH,X000408.SZ,X600160.SH,X601699.SH,X000629.SZ,X000723.SZ,X600378.SH,X600096.SH,X600219.SH,X600995.SH,X000786.SZ,X600489.SH,X600157.SH,X600985.SH,X002353.SZ,X600399.SH,X000933.SZ,X600688.SH,X002080.SZ,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.107561935276203,0,0,0,0,0,0,0,0,0,0,0,0.0868845087606269,0,0,0,0,0,0,0.0440889157791963,0,0,0,0,0.00593570283003138,0,0,0,0,0,-0.0109068749956841,0,0,0,0,0.138583586314574,0,0,0,0,1.73472347597681e-18,0,-9.44291093338191e-05,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.301798398661914,0,0,0,0,0.251540167970926,0,0,-0.0395469626060696,0,0,0,-0.0650464814479846,0,0,0,0,0,0,0,0,0,0,0,0.128076324621897,0,0,0,0,0,0.0127534333544038,0,0,0,0,-0.0137434357212379,0.0970900511229383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.11052467592138,0,0,0,0,0,0,0,0,0.013547279644528,0,0,0,0,0,0,0,0,0,0,0,0.0455443875953663,0,0,0,0,0,0.0975373536501521,0.0607559174318711,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.000544090573726389,0,0,0,-0.011953796551915,0,0,0,0.0274424203559725,0,0.00819665655414216,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369987024553724,0,0,0,0,0,0,0,0,0.0708054312323102,0,0,0,0,-0.0434442387239358,0,0,0,0,0,0,0,0,0.00425587513673874,0,0,0,0,0,0,0,0,0,0,0,0.0282725266674307,0,0,0,0,0,0,0
X600188.SH,0,0.996024507431154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17156135959904,0,0,0,0,0,0,0,0,0.062102612145204,0,0,0.00904048854214399,-0.169165006000691,0,0,0,0,0,0,0,0,0,0,0,-0.0469279840306053,0,0,0,0,0,0,0,0,0,-0.0514564772479101,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.439514399794425,0,0,0,0,0,0,0,0,0,0.0142228868743012,0,0,0,0,0,0,0,0,0,0,-0.111358248110492,0,0,0.0198321458453345,0,0,0,0,0,0,0,0.049792671436105,0,0,0,0,0,0.00192126325139449,-4.33680868994202e-19,0.0286427345562976,0,0.0975974642075772,0,0,0,-0.0231739939436618,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.572946935347348,0,0,0,0,0,0,0,0,0,0.096958094418793,0.0547548309884177,0.0256252625496779,0,0,0.0994408562660229,0,0,0.00248116497607511,0,0,0,0.0292596337008076,0,0,0.0290404048102024,0.363148622561208,0.0979221195878614,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.106695035287611,0,0,-0.070470533606168,-0.0817089492166765,0,0,0,0.0253911059827235,0.0381405279529608,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0816716748898096,0,0,0,0,0.142751287369244,0,0.075826801956593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252235295395698,0,0,0.441322443041006,0,0,0,0.0390110486382729,0.0127355638743617,0.00864011098209343,0,0,0,0,0,0.00547226853835005,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.160165438986491,0.0789369016176994,0,0,0,0,0,0.0906111413898173,0,0,0,0,0,0,0,0,0.0535758642357955,0,0,0,0,0,0,0,0,0,0.195651532519412,0,0.0104202727349395,0.0234120935689518,0.0666197188285559,0,0,0,0,0.132850121203229,0,0,0,0,0,0,0,0,0.128723147994696,0,0,0.0355436310497821,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0323164113537211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171100368093397,0.294041306285997,0,0,0,0,0,0,0,0,0,0,-0.0350719234060666,0,0,0,0.159511274315637,0,0,0.12540438307448,0,0,0,0,0,0,0,0,0,0,0,0
