,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X601898.SH,X600011.SH,X000792.SZ,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X600795.SH,X600547.SH,X000877.SZ,X601600.SH,X601991.SH,X002271.SZ,X600027.SH,X600803.SH,X600426.SH,X000983.SZ,X600362.SH,X600176.SH,X601699.SH,X600348.SH,X000408.SZ,X600985.SH,X600096.SH,X000629.SZ,X000723.SZ,X000786.SZ,X600160.SH,X600995.SH,X600141.SH,X600157.SH,X600219.SH,X600489.SH,X600378.SH,X000933.SZ,X002353.SZ,X600801.SH,X002080.SZ,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.083793889585278,0,0,0,-0.0261655787599221,0,0,0,0,0,0,0,0,0.0777212940204116,0,0,0,0,0,0.030481045541548,0,0,0.0598065480081774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180713275936963,0,0,0,0,-0.0283386049979254,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.105253439806245,0.366917707762249,0.0781154539980181,0,0,0.0439446474041001,0,0,0,-0.0682743094588275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220572518884704,0,0,0,0,0,0,0,-0.170093510865009,0,0,0.0314131501180294,-0.00650362570628572,0,0,0,0,0,0.0388552643357046,0,0,0,0,0,0,-0.017474030223839,0,0,0,0,0,0
X600028.SH,0.207753321535386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0807197056828334,0,0,0,0.00589787840238545,0,0.0155889464376101,0,0,0,0,0.0153337010744451,4.33680868994202e-19,0,0.0108546548980658,0,0,0,0,0,0,0.00373526499132493,0.102639077034977,0,0,0,0,0,0,0,0.00918584585413491,0.00253960610432763,0,0,0,0,0,0
X600309.SH,0,0.015779354583268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485450464434026,0,0,0,0,0.0463588662894388,0,0,0,0.0470099836074102,0,-0.0337875591537902,0,0.161702093383292,0.0830680555914597,0.0290089729327338,0,0,0,0,0,0,0,0,0,0,0.157517251445596,0,0.00867579162062041,0,0,0,0,0,0
X600188.SH,0,0.582449321052969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842456654913859,0,0,0,0.0461177134118775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138443862356596,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.768839287183104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157397208569012,0.0589273546042011,0,0,0,0,0,0,0.405590449197457,0,0,-0.131956707713084,0,0,0,0,0.0381337951149475,0,0,0,0,-0.0494055585470607,0,0,0,0,0,0,0,0,0,0,-0.00822599673883677,0,0
X002460.SZ,0,0,0,0,0,0.381826582437348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068696917628011,0,0,0,0,0,0.00469994660503007,0,0,0,0.0635352614943266,0,0,0,0,0,0,0,0,0,0.0522446142854072,0,0,0.0529154757115832,0,0,0.080255358849445,-0.0305866572055122,0,0,0,-0.142293633466932,0,0
X600585.SH,0,0,0,0,0,-0.00555729570698967,0,0,0,0.152247849358744,0,0,-0.0193974948443193,0,0,0,0,0,0.047291958484485,0,0,0,0,0.0289926903285061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140165924171262,0,0,0,0,0,0,0,0,0,0.305139429167014,0,0,0,0.0427909555419005,0.012094003729719,0,0,0,0,0,0
X601898.SH,0.0953064627541279,0,0,0,0,0.076449819439201,0,0,0,0.0326155509961974,0,0,0,0,0,0,0,0,0,0,0,0.140725598217622,0.00386007354446395,-0.0479294535816917,0,0.0381958732817181,0,0.312152796935359,0,0,0,0,0,0.0721761164000035,0,0,0,0,0,0,0,0,0,0,0,0,0.102916505275777,0,0,0,0,0.00162631348600597,-0.0122107190032434,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0257990914250963,0,0,0,0,0,0,0,0,0,0,0,0.073745421781693,0,0,0,0,0,0.377801520053519,0,0,0,0,0,0,-0.0433145506122185,0.0657218420749548,0,0,0.0215503617360932,0,0,0,-0.0783816823223756,0,0.422827408911533,0,0,0,-0.0266695157020754,0,0,0,0,0,0,-0.0183458803308001,0,0,0,0,0,0
