,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601600.SH,X601898.SH,X600010.SH,X601991.SH,X600795.SH,X600886.SH,X600362.SH,X600188.SH,X600111.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X000792.SZ,X600583.SH,X601158.SH,X600157.SH,X000898.SZ,X600352.SH,X000709.SZ,X600547.SH,X002353.SZ,X600489.SH,X000831.SZ,X000630.SZ,X000539.SZ,X002470.SZ,X600660.SH,X600008.SH,X600808.SH,X000825.SZ,X000027.SZ,X000629.SZ,X600549.SH,X600021.SH,X600098.SH,X600315.SH,X600578.SH,X600307.SH,X601699.SH,X000983.SZ,X000060.SZ,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.497411466100466,0,0,0,0,0.105146772310884,0,0,0,0,0.0248703896500704,0,0.151812329574115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.481547461008949,0,0,0,0,0,0,0.00688509957764774,0,0,0,0,0,0.0206860093099141,0,0.360461662487073,0,0,0,0,0.0656399146637978,0,0,0,0,0,0,-0.000764700375065308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432046646517967,-0.00710359439416517,0,0,0,0,0,0
X601088.SH,0.0463755771581137,0,0,0,0,0.0621591376455366,0,0.234888086303773,0,0,0,0,0,0.154105398099446,0,0,0,0.0145801777335441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127744477848003,0.240701809337647,0,0,0,0,-0.000404181052230458,0,0,0,0,0,0
X600011.SH,0.0910033944402718,0.0540813644252673,0,0,0,0,0.0385126488011229,0,0.0162072889100833,0.0703993927992218,0.127572719045187,0,0,0,0,0.00289484546332891,0.0817297256965496,0,0,0,0,0,0,0.0129088426667164,0,0,0,0,0,0,0,0,0,0,0,0.0229643877985244,0,0,0,0,0,0,0,0.364402130282141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0.0198528249643578,0,0,0,0,0,0,0,0.0083955727610958,0,0,0,0,0,0,0.0625990902306205,0,0,0,0,0.119495161698461,0,0,0,0.040768677201113,0,0,0,0,0.052530524254068,0,0,0,0.112610798554092,0,0,0,0,0,0,0,0.196203301777895,0,0,0,0.0598133265668761,0.0476445139969032,0,0,0,0,0.00367706442137059,0,0,0,0,0,0
X600019.SH,0,0.140780922517955,0,0,0,0,0,0,0,0,0,0.0412315615104331,0,0,0,0.031435865409034,0.0288567938535132,0,0,0,0,0,0,0.311512538170905,0,0.189344369272271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.529967152523969,0,0,0,0.0121088154726072,0,0,0,0,0.0850730665398064,0,0,0,0,0,0,0.05234989864924,0,0,0,0,0,0,0.0540898651411407,0,0,0,0.0731588014680459,0.0544696059107281,-6.93889390390723e-18,0,0.0437864672223739,0,0,0,0,0,0,0,0,0,0,0,0,-0.00689373708037982,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0656440154821262,0,0,0.141081161289583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0696035243481942,0,0,0.0104977376606773,0,0.0842523800160002,0,0.0577594657853329,0.412752868003672,0,0,0,0,0.00209002981018138,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481131335119902,0,0,0.0417938763117273,0,0,0.156904302772685,0,0,0.0185385789879806,0,0,0,0.0701635983519648,0,0,0,0,0.0151409152126753,0.149778738389737,0,0,0,0,0,0,0,0.0415311651956914,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.191192720236262,0.153212782572032,0,0,0.308525372544634,0,0,0,0,0,0.0761434210675461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182731353323934,0,0,0,0,0,0,0,0,0,0,-0.0133576866134232,0,0,0,0,0,0
