,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600010.SH,X600188.SH,X600362.SH,X600027.SH,X600111.SH,X600309.SH,X600688.SH,X600583.SH,X601992.SH,X000898.SZ,X601158.SH,X000709.SZ,X000539.SZ,X000792.SZ,X000883.SZ,X600808.SH,X600489.SH,X600578.SH,X000629.SZ,X000825.SZ,X000027.SZ,X000630.SZ,X002353.SZ,X600547.SH,X000831.SZ,X601699.SH,X000983.SZ,X600008.SH,X600307.SH,X600863.SH,X600352.SH,X600549.SH,X000959.SZ,X600660.SH,X000937.SZ,X600098.SH,X600348.SH,X601168.SH,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.58808075186136,0,0,0,0,0,0,0,0,0,0,0.0456658993791978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244154386116436,0,0,0,0,0,0,0,0.0317491002332165,0,0,0,0,0,-0.0419934917493305,0.00107676515455947,0,-0.0074030068542651,0,0,0,0
X600028.SH,0.601757461016821,0,0,0,0,0,0,0,0,0,0,0,0.0757911666207067,0,0,0,0,0.218642678036448,0,0,0,0,0,0,0,-0.010679801393445,0,0,0,0,0,0,0,0.0458359233848974,0,0,0,0,0.00506015648125225,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158188513653123,0,0,0,0,0,0,0
X601088.SH,0,0.0809344209674544,0,0,0,0,0.165473018573195,0,0.00498771847305243,0,0,0,0.124251828134263,0,0,0,0,0,0,0.0666071409837281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912859513427803,0,0.123178147724869,0.0438917476090777,0,0,0,0,0,0,0.0416411453163168,0,0,0,0,0,-0.018989378912505,0.00632554081924572,0,0,0,0,0,0
X600011.SH,-3.46944695195361e-18,0,0.0287067996627798,0,0.152455624561702,0,0.0118641271346825,0.06464735640331,0,0,0.0519011747753199,0,0.038342099387524,0,0.342418385604205,0,0,0,0,0,0,0,0,0,0,-0.0364535588933429,0,0,0,0,-0.0523123031107571,0,0,0,0,0.00881175805757002,0,0.0715228639220568,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116769016887045,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.184298968859073,0,0,0,0,0,0,-3.46944695195361e-18,0,0.106958870881635,0,0,0,0,0,0,0,0.257954137032176,0,0.136990151823689,0,0,0,0,0,0,0.0690116344783351,0,0,0,0,0,0,0,0,0,0.0902037600589643,0,0,0,0.0815003497543542,0,0,0,0,0,-0.103483652586482,0,-0.0143953285730805,0.00580392482789118,0,0,0,0,0,0
X600585.SH,0,0,0.0617677144112807,0,0,0,0,0,0,0,0,0.0876574891686283,0,0.0993685756427804,0,0.0712946905440709,0,0,0,0.00995611945508595,0,-0.0581624032729917,0,0,0,0,0,0,0,0,-0.0351677693091217,0,0,0,0,0,0,0,0,0,0,0,0.0267658424460253,0,0.11081438536472,0,0,0,0.0318774560100161,0,0,-0.0445628613009292,-0.0056809661032402,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.285144060449004,0,0,0,0.0371543666743476,0,0,0,0,0,0,0.0951896929602295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336227174117423,0.105266425672847,0.211626171635514,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406146486948585,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,3.46944695195361e-18,0,0.0338022315390486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103806520724215,0.154878388218092,0,0,0,0,0,0,0.046062689921316,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00705666947639678,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.200525947729535,0,0,0,0,0,0,0.0731178641879873,0,0,0,0,0,0,0.108488454143132,0,0,0,0,0,0.0208823416342116,0,0.0185163608399748,0.00012095371342352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149177617348923,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0.141143769052512,0,0,0,0,0,0,0,0,0.0760112880445815,0,0,0,0,0,0,0,0,0,0.207507230489252,0,1.73472347597681e-18,0,0,-0.0377621771878754,0,0,0,0,0,0,0,0.0122730449879417,0,0,0,0,0,0,0.171262746310504,0,0,0,0,0,-0.0252368181170189,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0.0697999258595368,0,0.0403937002546516,0,0,0.0830590403133322,0,0,0,0,0,0,0.0729868330955978,0,0,0.0844449989703116,0,0,0,0.00608515319539392,0,0,0,0,0,-0.112300278143266,0.00269599259480801,0,0,0,0,0.105146949650678,0.0223191765804022,0,0,0,0,0,0,0,0,0,0,0.0234403555413334,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0433152208700007,0.15467865152539,0,0,0,0,0,0,0,0,0,0.105102311416971,0,0,0,0,0.0938430769233625,0,0.121796244694793,0,0.018116799180777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354131022650975,0,0,0.118272855562766,0.266855502336587,0,0,0,0,0,0,0,-0.000197899255250692,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.103781310036771,0,0,0,0,0,0,0,0,0,0,0.162117706589557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454280965462524,0,0,0,0,0.0109832996077714,0,0,0,0,0,0,3.46944695195361e-18,0,0.495844615659451,0,0,0,0.00479696219733508,0,-0.0381491924019386,-0.0120924766084338,0,0,0,0,0,0
