,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600547.SH,X600585.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X600362.SH,X600795.SH,X000708.SZ,X600010.SH,X600111.SH,X600489.SH,X002460.SZ,X600160.SH,X600027.SH,X601699.SH,X000301.SZ,X002466.SZ,X600426.SH,X000983.SZ,X000786.SZ,X000877.SZ,X600803.SH,X601991.SH,X000630.SZ,X000807.SZ,X000933.SZ,X600176.SH,X600985.SH,X601168.SH,X002128.SZ,X002271.SZ,X000408.SZ,X600219.SH,X600612.SH,X600096.SH,X000883.SZ,X600348.SH,X000932.SZ,X600995.SH,X000027.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.576176162563034,0,0,0,0,0,0,0,0.23604927415079,0,0,-0.135884037995711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0704286949004246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024315761265275,0.00510947679354537,0,0,0,0,0,0
X601088.SH,0.17051354656799,0,0,0,0.105532690238355,0.118732025677472,0,0,0,0,0,0,0,0,0.00665398973949495,0.028350305796979,0,0,0,0,0,0,0,0,0,0,0,0.125032293666581,0,0,0,0,0,0,0,0,0.10686400123219,0,0,-0.0234711706676675,0,0,0,0,0,0,0,0,0,0,0,-0.00294185050033331,-0.00328388420274498,0,0,0,0,0,0
X600028.SH,0.415021127029304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312786717433062,0,0.0641167258209799,-0.0478140293043705,0,0,0,0,0,0,0,-0.123700789159793,0,0,0,0,0,0,0,0,0.0451786272875898,0,0,0,0,0,0,0,0,0,0,0.0513575855131717,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525933973026694,0,0,0,0,0,-0.0741058024032453,0.034430743232927,0,0,0,0.0814612969997952,0,0,0,0,0,0,0.200725244499531,0,0,0,0.0296720292844846,0,0,-0.0880556718005902,0,0.0838736885471704,0,0,0,0,0,0,-0.0188963323828742,0.0171203883973021,0,0,0,0,0,0
X600188.SH,0.0155756464978235,0,0,0,0,0.239233955162629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345498416249788,0,0,0,0,-0.114520900879739,0,0,0,0,0,0.0395431157095265,0,0,0,0,-0.00674405635374982,0,0,0,0,0,0,0,0,0,0,0,0,-0.022087052218017,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.071130886962713,0,0,0.193619976640117,0,0.132390954744391,0,0.115538333878052,0,0,0,0,0,0,0,0,0,0,0.0446700600664339,0.280114397759381,0,0,0,0,0,0,0,0,0,0,-0.0502244836448101,0,0.330236515778213,0,0,-0.0578930502948344,0,0,0,0,0,0,0,0,0,0,0,0.08142214501017,-0.0713856582191808,0,0,0,0,0,0
X600019.SH,0,0,0,0.143714577449119,0,0,0,0,0.0201524371599422,0,0,0,0,0,0,0,0.00343757184983567,0,0,0,0,0,0.103166479795999,0.143079355380245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745880897347574,0,0,0,0,0,0,0,0,0.144192957434592,0,0,-0.105448919669112,0,0,0.0274069370412254,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644721607169708,0,0,0,0,0,0,0.133410916974047,1.0842021724855e-19,0,0,0,0,-0.00299578886114385,0,0,0,0,0,0,0,0,0,0.000518997137615265,-0.0115854201530384,0,0,0,0,0,0,0,0,0,0,0,-0.0359100406290493,0.0424883041710079,-0.0413229645866655,0,0,0,0,0
X600547.SH,0,0,0,0,-0.0141167647461393,-0.0343931884473233,0,0,0,0,0,0,0,0,0.0456257018671767,0,0,0,0,0.700182534375616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784137239370878,0,0,0,-0.0552781209123937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422903613236532,-0.0427326858073522,0,0,0,0,0
X600585.SH,0,0,0,0.110420452652077,0,0.0787477989645888,0,0,0,0,0,0,0,0,0,0,0,0.0652406529301849,0,0.0358257688054177,0,0,0,0,0,0,0,0,0.13700711850027,0,0,0,-0.0074057346938594,0,0,0.0258954389638665,0,-0.00697013757397548,0,0.105192112188807,0,0,0,0.0845202427582948,0,0,0,0,0,0,0,2.16840434497101e-19,-0.0195826056569292,-0.0400692849008232,0,0,0,0,0
