,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X002271.SZ,X000708.SZ,X000301.SZ,X601898.SH,X002466.SZ,X601600.SH,X600547.SH,X600362.SH,X600111.SH,X600188.SH,X600010.SH,X600886.SH,X000786.SZ,X600011.SH,X600426.SH,X600176.SH,X601991.SH,X600795.SH,X600803.SH,X600352.SH,X000408.SZ,X002080.SZ,X000027.SZ,X000932.SZ,X600219.SH,X002353.SZ,X000825.SZ,X000898.SZ,X600489.SH,X300037.SZ,X600315.SH,X600688.SH,X002409.SZ,X000807.SZ,X600801.SH,X000959.SZ,X600399.SH,X000830.SZ,X601699.SH,X600486.SH,X000983.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0537491687828002,0,0,0,0,0,0.0729059815008672,0,0,0,0,0,0,0,0,0.0233488393909576,0,0,0,0,0,0,0,0.0177766931894754,0,0,0,-0.0581828097535339,0,-0.0450129323209041,0,0,0.099478604666483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0956316161002276,0,0,0,0,0.0371221233794636,0,0,0,0,0,0.0706619766254628,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281176524875992,0,0,0,0,0,0,0,0,0,0.0493571179906245,0,0.0137568572774447,-0.00680012800631375,0,0,0,0,0,0,0,0.0781058514545013,0,0,0,-0.0208239438898761,0,0
X601088.SH,0,0,0,0,0,0.0417647078334082,0,0,0,0.0169571883931705,0,0,0,0,0,0,0,0.159792140318984,0,0,0,0,0.0207691347986889,0.0736596108072243,0,0,0,0,3.46944695195361e-18,0,0,0.000332239500104704,0,0,0,0,0,0,-0.0535969740656293,0,0,0,0,0.0139452986584361,0,0,0,0,0.0891021674114314,0,0,0,0.0325425420598541,0,0,0,-0.0132681940498883,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163052940599969,0,0,0,0.0467126318396723,0,0.224728194354442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582656240928836,0,0,0,0.205650496507203,0.043942568979117,0.0793926898262696,0,0,0,-0.0472034954711739,-0.0417360921997533,0,0,0,-0.0444209947181549,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342977281191205,0,0,0,0,0,0.00384588467699695,0,0,0,0,0.0112929719715504,0,0,0.0506849980309936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109931008338299,0.13282902842447,0,0,0,0.00315663986193072,0,0
X002460.SZ,0,0,0,0,0,0,0,0.185017651838184,0,0,0.0784355207855252,0,0.42424535719987,0,0,0,0,0,0,0,0,0,0.00843741562391608,0,0,0,0,0,0,0,0,0.0651338151271106,0.0243144600519949,0,0,0,0,0.117716366253902,0,0,0,0.158124155084085,0,0,0,0.0687927923064046,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,-0.0204957057528127,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468194721548642,0,0,0,0,0.0666928367241176,0,0,0,0,0,0,0.0268764306607507,0.0476920353111334,0,0,0.130133513701565,0.246614317900441,0,0,0,0,0,0.114568041303533,0,0,0.101233642636351,0,0,0,0,0,0,0,0,0,0,0,-0.03580857534311,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0.0627189906497126,0,-1.0842021724855e-19,0.217003118281945,0,0,0,0,-0.0896274373226976,0,0,0.171690265470505,0,0,0,0,0,0.0574593573457815,0,0.0605705760568808,0,0,0,0,0,-0.0686665024908893,0,0,0.201822667229535,0,0,0.176323304173646,0,0,0,0,0,0,0,0,0,0,-0.0452343771954157,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.123673766295298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116272207245826,-0.0549081786770662,0.0336814539063172,-0.0843290215509385,0,0,0.0234814942718426,0,0.0575911875074751,0,0,0,-0.0183859851189065,0,0,0,0,0,0,0.126343961801205,0,0,0,0,-0.0319960422141353,0,0,0,0.0347027019799252,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0984574136680189,0.0843459423725761,0,0,0,0,0,0,0,0.0658852151992254,0,0.0889029561418844,0,0,0,0,0,0,0,0,0.0840808993947952,0,0,0,0.0691906699458934,0,0,0.0685115162563473,0,0,0,0,0,0,0,0.0391522303825671,0,0,0,0,-0.0607111970557387,0,0,0,0,0,0,0
