,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600795.SH,X002460.SZ,X600111.SH,X600362.SH,X002466.SZ,X600489.SH,X000708.SZ,X600803.SH,X000301.SZ,X600160.SH,X600027.SH,X601991.SH,X000786.SZ,X600219.SH,X000807.SZ,X600426.SH,X000983.SZ,X000408.SZ,X002128.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X002353.SZ,X600157.SH,X600378.SH,X600995.SH,X002271.SZ,X600352.SH,X000831.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.478769144309038,0,0,0,0,0,0,0,0,0,0,0,0.0848987889408917,0,0,0,0,0,0.0472285879224234,0,0.0802061060409049,0,0,0,0,0,0.10106208195568,0,0,0,0.0421727880888497,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187085467189826,0,0
X601088.SH,0,0,0,0,0.351621077616924,0,0,0,0,0.010437548961281,0,0,0,0,0,0,0,0,0,-0.010170573250927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154011771326599,0,0,0,0,0,0,-0.0305822849022718,0,0,0,0,-0.00792649638828297,0,0,-0.000933992112411779,0,-0.0183669044358748,0,0
X600028.SH,0.595178493357602,0,0,0,0.0254330000886374,0.0547387795522494,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0275790527234306,0,0.0380770924250671,0,0.068954492858789,0,0,0.105643763551631,0,0,0,0,0,-0.0781221212108036,-0.0475895189065486,0.0493838712785354,0,0,0,-0.0114046138887179,0,0,0,0,-4.33680868994202e-19,0,0,-0.0310791304824593,0,0,0,0,0,0,0,0,0,-0.0415829943417566,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143919322284837,0,0,-6.93889390390723e-18,0,0,0.143641846471843,0,0,0,0,0,0,0,0.327510997420454,0,0,0,0,0.0504477801797324,0.0849817111509382,0.0706454020703066,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0339237588560332,0,0,0,0,0,0,0
X601898.SH,3.46944695195361e-18,0.237887813597039,0.286526662545658,0,0,0,0,0,0.0804360256560237,0,0,0,0,0,0,0,0,0,0,0,0,0.0912805648362572,0.10132677218181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498882536736408,-0.00768983664697186,0,-0.0172380982385415,0,0
X600188.SH,0,0,0,0,0.25759443035739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537011007737261,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.420556335192196,0,0,0,0,0.0267883979408118,0,0,0,0,0,0.102862149894942,0,0,0,0,0,0,0,0.0935398292847123,0,0,-0.00524094417254386,0,0
X600660.SH,0,0,0,0,0.000311210897842901,0,0,0,0,0,0,0,0,0,0,0,0,0.171837058339689,0,0,0.0114213438996939,-0.122246039534678,0,0.147284622602939,0.222754343778922,-0.000731595762184698,0,0,0.0706005120960189,0,0,0,0.0380010120735715,-0.221259523648669,0.0411155458176703,0,0,0,0,0,0,-0.256035939344245,0,0,0,0,-0.0298599116335011,0,0,0,0,-0.148668231554312,0,0,0,0,-1.73472347597681e-18,0,0
X600019.SH,0.247523073698319,0,0,0,0.0428723377229889,0,0,0,0,0.217896780390125,0,0,0,0,0.0215744009543929,0,0,0,0,0,0,0.094350851460058,0,0.0993307907123239,0,0,0,0,0,0,0,0,0,0,0,0.0794498975368986,0,0,0,0,0,0,0,0.0376425267128672,0,0,0,0,0,0,0,0,0,0,0,0,-0.016600851091293,0,0
X600585.SH,0,0,0,0,0.27508792424664,0,0,0,0,0,0,0,0,0.097942085811918,0,0,0,0,0,0,0,0.061841549015667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275913204671373,0,0,0,0.0751296027001547,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.0219000013877491,0,0
X601600.SH,0,0.0412049528517556,0,0,0,0,0,0.191543947922785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388338123534646,0.167236155857929,0,0,0.0494883499915753,0,0,-0.000669089023913555,0,0,0.457157287315381,0,0,0.00312751629414336,0,0,0,0,-0.113813404106144,0,0,0,0,0,-0.0889880169617118,0,0,0,0.00235800147935539,0,0
