,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X002460.SZ,X600019.SH,X000708.SZ,X600660.SH,X002271.SZ,X600547.SH,X600176.SH,X000786.SZ,X600426.SH,X002466.SZ,X000301.SZ,X600362.SH,X600111.SH,X600011.SH,X601600.SH,X600886.SH,X600010.SH,X601898.SH,X600352.SH,X002353.SZ,X600486.SH,X600219.SH,X600803.SH,X600188.SH,X600801.SH,X601991.SH,X600795.SH,X600688.SH,X002080.SZ,X600489.SH,X600299.SH,X600315.SH,X000723.SZ,X300037.SZ,X601168.SH,X600027.SH,X000932.SZ,X600399.SH,X600157.SH,X002409.SZ,X000807.SZ,X601992.SH,X600409.SH,X000027.SZ,X000898.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,-0.00802744617571257,0,0,0,0,-0.00418010020057475,0.00329320630438955,0.0919536996261486,0,0,0.0134675093615209,0,0,0,0,0,0,0,0,0.0134671699638197,0,0,0,0,0,0,0,0,0,0,0.0440301323858926,0,0,0,0,0,0,0,0,0,0,0,-0.00494260628612196,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-0.0280871949405881,0,0,0,0,0.0598861234395514,0,0,0,0,0,0,0,0,0.00563604927738962,0,0,0,0,0,0,0,0,0,0,0.000101455998819962,0,0,0,0.014153356100968,0,0,0,0,0,0,0,0.00506947703890074,0,0,0,0.194588917020047,0,0,-0.0130407640577384,0,0,0,0.00105893383470876,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.185205652298203,0,0,0,0.135648237182281,0,0.0180518680814641,0,0.0617142042958156,0,0,0,0,0,0,0,0.0396742599557375,0,0,0,0,0,0,0,0.0256971612792177,0,0,0,0,0,0.0120813716608877,0,0,0,0,0,0,0,0.0651890021983998,0,0,0,0.0060789956904738,0.0158709008335516,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074146814994568,0,0,0,0,0,0.114680599411512,0,0,0,0,-0.00878148102166439,0.360593756379923,0,0,0,0,0,0,0,0,0,0,0,0,0.0156803046320932,0,0,0,0,0,0,0,0,0,0.0269197405311448,0,0,0,0,-0.0202157835726681,0,0
X600585.SH,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00523696563267561,0,0,0,0,0,0,0.132687930692322,0,0,0,0,0,-0.0214410482527838,0.0180576930871446,0,-0.00696326459720721,0.0731693359162307,0,0,0,0,0,0,0,0.0549398484158499,0,0,0,-0.00777021169753167,0,0,0,0,0.000255653582881417,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.323786039829474,0.0774020520307124,0,0.0186480791741116,0.279831507679661,0,0.252405653939174,0.0351470618351066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374443951003727,0.131042980509122,0.284976167448378,0,0,0,0,0,-0.109053285782756,0,0,0,-0.136458929471374,-0.25389312046189,-0.0375069507630586,0,0,0,0,0.0209104754174354,0,0
X600019.SH,0,0,0,0,0,-0.0118186438127931,0,0,0,0,0,0,0,0,0,0,0.0954557022905584,0.111780654753793,0,-6.93889390390723e-18,0,0,0,0,0,0,0.15902266036334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0919180663271563,0,0,0,0,0,0,-0.00614366229381066,0,0
X000708.SZ,0,0,0,0,0,0,0.0660190735170796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706548955530982,0,0,0,0,0,0,0,0,0,0,0,0.119583687406113,0,0,0.00151028718438231,0,0,0,0,-0.13789465011316,0,0,0,0,0,0,0,0,-0.0108245228871606,0,0
X600660.SH,0,0,0,0,0,0.098230039338897,0,0,0,0.0469245695949643,0,0,0,0,0.000781180451403619,0.0284903264470534,0.04658070917638,0,0,0,0,0,0,0.039230088969653,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165028983673047,0,0,0,0,0.116848743622377,0,0,0,0,0,0,0,0,-0.0135896977466136,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,-0.0624704617893009,-0.0128548533545334,0.266026478705862,0,0,0.097916852272695,0,0.0127216835286515,0,0,0,0,0,0,0,0,0,0.0526638710306713,0,0,0.0556837244720069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287649784502107,-0.0036526472127717,0,0,0,0.033821292043753,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045380426278337,0.00269235920263361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469698780776142,0,0,0,0,0,0,0,0.0586560509426205,0.0317227025159583,0,0,0,0,0,0,0,-0.00222845916688091,0,0,0,0,-0.00156115381414458,0,0
X600176.SH,0,0,0,0,0,0.266386109310526,0,0,0,0,0,0,0,0,-0.0445000594879923,0,0.195363509856229,0,0,0,0,0,0,0,0,0,0,0,0,0.0895899611800128,0,0,0,0,0,0,0,0,0,0,0,0.132409681180786,0,0,0.0449173899949175,0,0,0,0,0,0,0,0,0,0,0,-0.00865936987546182,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337638042918589,0,0,0,0,0,0,0,0,0,0,0.00820460173067845,0.136650536917303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118140080216682,0,0,0,0,0,0,0,0,0.0105410730337367,0,0,0,0,-0.0236578926291087,0,0
X600426.SH,0,0,0.215058206823096,0,0,0.0203628026951643,0,0,0,0,0,0,0,0,0,0.0269416635970867,0,0,0,0,0,0,0,0,0,0.248682053553869,0,0,0,0,0,0,0,0.100549148132197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.018163879281273,0,0,0,-0.00706520111855539,0,0
X002466.SZ,0,0,0,0,0,0.501718861949753,0,-0.451901133517639,0,0,0,0,0,0,0,0,0,0.293018741119469,0,0,0,0,0,0,-0.283910848790537,0,0,0,0,0,0,0,0,0.102857360366354,0,0,0,0,0.183478286044842,0,0,0,0,0,-0.00565997198490799,-0.0681534353033632,0,0,0,0,0,-0.0450953195359491,0.092279866280478,0,0,0,0.0605480131498842,0,0
