,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600547.SH,X600795.SH,X601600.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600111.SH,X600362.SH,X600886.SH,X002466.SZ,X600623.SH,X601992.SH,X600489.SH,X000792.SZ,X600309.SH,X600299.SH,X600660.SH,X300072.SZ,X600549.SH,X002075.SZ,X601158.SH,X600583.SH,X000883.SZ,X000709.SZ,X000723.SZ,X600352.SH,X000898.SZ,X002407.SZ,X000539.SZ,X000983.SZ,X000027.SZ,X002470.SZ,X002460.SZ,X000630.SZ,X000012.SZ,X000060.SZ,X600176.SH,X000761.SZ,X600021.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0334696660865678,0,0,0,0,0.0637867026380933,0,0,0,0,0,0,0,0.0714842153829716,0,0,0,0,0,0,0,0.0323560842418692,0,0,0,0,-0.0103499435352182,0,0.0780997955184783,0,0,0,0,0,0,0,0,0,0,-0.0251704370983503,0,0,0,0,0,0,0,0,-0.000583379976296899,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.160374865270959,-0.0373086739624675,0,0,0.0267748518987098,0,-0.0132099629486485,0,0,0,0,0,0.0180604985056499,0,0,-8.67361737988404e-19,0,0,0,0,0.0373841921918663,0,0,0,0,0,-0.0264482409160987,0,0,-0.0103807538948587,0,0,0,0.0236275390125186,0,0,0,0,0,0.0157422917468235,0,0,0,0,0.00748164871013876,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.139342892015408,0,8.67361737988404e-19,0,0,0,0,0.0502609280105072,0,0,0,0,0,0.0410319943073824,0,-0.0209816957286751,0,0,0,0,0,0.0288662503236866,0,0,0,0,0,0.0342992759939148,0,0,0,0,0.087620821237738,0,0,0,0,0,0,0,0,0,0,0,0,0.0220076452218728,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0893099170038626,0,0.107733814455122,-0.0197238333992918,0,0,0,0,0,0,0.0419486235182891,0,0,0.0217590092244909,0.00858770084538215,0,0,0,0,0,0,0,0.00566112153932966,0,0,0.00895416595068774,0,0,0,0,0,0,0,0,0.181870290813775,0,0,0,0,0,0.0516837982746111,0,0,0,0,-0.0321548292610254,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.00564876814591409,0,0,0.0116441390405708,0,0,0,0.321137997392633,0,0,0,0,0,0,0,0,0,0,0.021023646803961,0.12115991840759,0.00121654276270283,0,0,0,0,0.0587160972517067,0,0,0,0,0,0,0,0,0,0,0.0023555818775329,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0323669210922131,0,0,0,0,0,0,0,0.0411578252704101,0,0,0,0.0222870984840489,0,-0.00415964400849737,0,0,0,0,0,0.0731745319669102,0,0.0991744526199566,0,0,0.0179193822529285,0.0281704886335635,0.05868590453641,0.0881564796825498,-0.0775166122715875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083620615588485,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0120640037497484,0,0,0.13014117333931,0,0.0130630937641681,0,0.123435490092978,0,0,0,0,0,0,0,0.073319413577918,0.0680960819384766,0,0,0.0183836801155036,-0.0334635510681216,0,0,0,0,0,0,0,0,0,0,0,0,0.116501066998652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.00225879629292099,0,0,0,0,0,0,0,0,0,0,0.0206344050011188,0,0,0,0.0792645381661042,0,0,0,0.10151659764885,0.0146337791458881,0.0156536859559383,0,0,0,0,0,0,0,0,0,0.2830470943153,0,0,0.0042570421384827,0,0.0383065000654316,0.0556267357369398,0,0.158534907854402,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.116283039764996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240573463459165,0.0462198747041216,0.25305876840326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432594053367796,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145478099128926,0,0.592068656023078,0,0,0,0,0,0.0565560776052298,0,0,0,0,0,0,0,0,0.00655578131392189,0,0,0,0,0.0483982445192204,0,0,0,0,0,0,0,0,0,0.0428887688505587,0,0,0,0,0,0
