,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X601600.SH,X600547.SH,X600188.SH,X601991.SH,X600027.SH,X600157.SH,X600111.SH,X600362.SH,X600886.SH,X002466.SZ,X601992.SH,X600623.SH,X600489.SH,X000792.SZ,X600309.SH,X600299.SH,X600660.SH,X300072.SZ,X002075.SZ,X601158.SH,X600583.SH,X000883.SZ,X600549.SH,X000709.SZ,X000723.SZ,X000539.SZ,X600352.SH,X000898.SZ,X002407.SZ,X000027.SZ,X000983.SZ,X002470.SZ,X002460.SZ,X000630.SZ,X600176.SH,X000012.SZ,X600612.SH,X000060.SZ,X000761.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0820904661619331,0,0,0,0,0,0,0,0.0841635011005981,0.0587314148098886,0,0,0,0,0,0,0.0959091107196496,0,0,0,0,0,0.000301738636880974,0,-0.0202086175700248,0,-0.0461324815794604,0,0,0,0,0,0,0,-0.0242369838235002,0,0.0094392267182466,0,0,0,0,0,0,-0.00919652710431469,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.305928648806652,0,0,0,0.00839639872459167,0,0,0,0,0,0,0,0,0,0,0,0.0130842920671966,0,0,0,0,0,0,0,0.0177442459974839,0,0,0,0,0,-0.0549139155323659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792294222617287,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.231690921461853,0,0,0,-0.0251539321665887,0.019667633432158,0,0,0.036665575174947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513598752368406,0,0.0656642152210224,0,0,0,-0.00565285581731364,0,0.0416350225516495,0,0,0,0,0,0,0,0,0,0,0,0.0143137066980858,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0270172576007524,0,0,0,0,-0.0671529366506346,0,0,0,0,0.0318644514469801,0,0,0,0,0.0353668763226089,0,0,0,0,0,0,0,0,0,0,0.0100903936877604,0,0,0,0,0,0,0.353946255770377,0,0,0.0121792037369968,0,0,0,0,0,0,0,0,-0.00572528588486168,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0143699757291662,0,0,0,0,0,0.326905352919782,0,0,0,0,0,0,0,0,0,0,0.0310047292226184,0,0,0,0,0.099308604285181,0.0188213397567153,0.087962628895372,0,0,0,0,0,0.00670282671137183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00570928479670112,0,0,0,0,0,0,0,0,0.0426711421417003,0,0,0,0,0,0,0,0,0,0,0.0688463291079301,0,0,0,0.12407250833904,0.108466065284618,-0.0486565614677466,0,0.0634509513905328,0,0,0,0,0,0,0,0,0,0,0,0.0378655975238509,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0484219305525662,0.146542154380654,0,0,0.0273737726644171,0.102077692312699,0,0,0,0,0.0138727153408134,0,0,0,0,0,0,-0.036045393923839,0,0,0,0.0420537906878964,0,0,0,0,0,0,0,0,0,0.135350853865282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0831434969874773,0,0.0450746233989084,0,0,0,0,0,0,0,0,0,0,0,0,0.145704917423457,0,0,0,0.111212328448547,0.013939368355234,0,0,0,0.0382551263938038,0,0.0930068842972598,0,0,0,0,0,0.159432914629298,0,0.0156117911670909,0,0,-2.16840434497101e-19,0,0.00324562446845836,0.117052987258116,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.115825770998447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243545909988731,0.237428040172747,0,0,0,0.0480251713271805,0,0,0,0,0,0,0,0,0,0,0,0.0489519563332603,0.017155047325615,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0908093837315038,0,0,0,0,0,0,0,0,0,0.050886917478615,0,0,0.00609997089938125,0,0,0,0.013347875903728,0,0.0516983362102074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640691760379463,0.0231322404824672,0,0,0,0.0699416904383408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
