,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X601898.SH,X600011.SH,X600547.SH,X600660.SH,X601600.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X000708.SZ,X600010.SH,X600795.SH,X000301.SZ,X601699.SH,X600426.SH,X600362.SH,X000877.SZ,X002271.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X600985.SH,X000630.SZ,X000408.SZ,X000933.SZ,X600219.SH,X600612.SH,X600157.SH,X000723.SZ,X000629.SZ,X600688.SH,X002128.SZ,X300037.SZ,X600995.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.671555330331362,0.267650580257164,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0859348516738853,0,0,0,0,0,0,0,0,0,-0.12019935662631,0,-0.0427328737265129,0,-0.110567239626754,0,0,0,0,0,0,0,0,0.06039191114607,-0.0800507895909423,0,0.0309885509944393,0,0,0,0,0,0,0,0,0,0,0.0131615626912934,0,0,0,0,0,0
X600028.SH,0.503962466367727,0,0.0784900225409954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451079301146089,0,0,0,0,0,0,0,0,0,0.0591701033238559,0,0,0,0,0.058128086836237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00571347866210761,0,0,0,0.0171771449228618,0,0
X601088.SH,0.0713674078538013,0.154063200592512,0,0,0.035404742035618,0,0,0.154787271087327,0,0,0,0,0.000882021981810105,0,0,-0.0261826320944419,0,0,0,0.0318674178661493,0,0,0,0,0,0,0.0410661397928497,0,0,0,0,0.112715601989683,0,0,0,0,0.0709532370526836,0,0,0,0,0,0,0,0,0,0,-0.140212211307454,0,0,0,0.0119138278046379,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.154925007344163,0,0,0,0,0,0,0,0,0,0.0581058288038039,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0966719054469085,0,0.0166526131253792,0,0,0,0,0,0.0700714887255415,0,0.199160825466048,0,0,-0.0581109782235552,0,0,0,0.140827764449498,0,0,0,0,0.126013993205426,0,0,-0.0814839830187029,0.00805532237931094,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0966789964974103,0,0.143627874273685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238633176974247,0.0073109714321959,0,0,0,0.221873586873482,0,0,0,0,0,0,0,0,0,0.137957790697317,0,0,0,0,0,0,0,0,0,0,-0.0641948001932318,0,0,0,0,-0.014916908514587,0,0,0,0,0,0
X600019.SH,0,0.0808215450327123,0,0,0.112919408909698,0,0.0573932471929277,0,0,0,0,0,0,0,0,0,0,0.103228911850362,0,0,0,0,0,0,0.143323545423625,0,0,0,0,0,0,0,0,0,0.130653486023217,0.0292227662041347,0,0,0.419896846877488,0,0.0969601035324497,0,0,0,0,0,0,-0.214310537746959,0,0,-0.0484048698259361,-0.0031277265161235,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0219229856094402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577163487510352,0,0.325365034321437,0.176129317050423,0.0457102844715669,-0.020148548205968,0,0,0,0.031015884923671,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.00332272846441495,0,0,0,0,0,0,0
X601898.SH,0,0,0.0228975675107774,0,0.306480963951316,0,0,0,0,0,0,0,0,0,0.0379320351882767,0,0,0,0,0,0,0.135294102597902,0,0,0,0,0,0,0,0.106544104871346,0,0,0,0,0.0721750954459689,0,0,0,0,0.0633900656857281,0,0,0,0,0,0,0,0,0,0,0,-0.0112702151160274,-0.00113218369998541,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0594987088775306,0,0,0,0,0,0,0,0.251118162295434,0,0,0,0,0,0,0,0,0,0,0,-0.040497390463717,0,0,0.282127550499165,0,0,0.0664739830193723,0.0159581545556794,0,0,0,0,0,0,0,-0.207772922027079,0,0,0,0,0,0,0,0.0317038515279044,0,0,0,0,-0.023582723483943,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0521384292861664,0,0,0,0,0,0,-0.0944016558983774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254171053954662,0,0,0,0,0,0,0,0,0,0,0,0,0.026191026559116,0,0,0,0,0,0,0,0,0,0.0141464401989024,-0.0046791609825211,0,0,0,0.0470960526399144,0,0
X600660.SH,0,0,0,0,0,0.04769272276426,0,0,0.0182076876900303,0,0,0,0,0,0,0,0,0.0455945628309719,0,0,0,0,0,0,-0.0206571784105099,0,0,0,0,0,0,0,0,0,0.149368999430306,0.0611648919427951,0,0,0,0,0,0.0913009510197116,0,0,0,0,0,0,0,0,-0.150435918531378,-0.0220914692740863,0.0529697853612892,0,0,0,0.0369565558370247,0,0
