,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X000708.SZ,X600547.SH,X600660.SH,X002271.SZ,X600011.SH,X600362.SH,X000786.SZ,X601600.SH,X600886.SH,X600176.SH,X600426.SH,X601898.SH,X600010.SH,X600188.SH,X000301.SZ,X600801.SH,X600352.SH,X600111.SH,X300037.SZ,X600489.SH,X601991.SH,X002466.SZ,X600795.SH,X600688.SH,X600803.SH,X600486.SH,X002353.SZ,X600027.SH,X600299.SH,X601992.SH,X002080.SZ,X600219.SH,X601168.SH,X000932.SZ,X002409.SZ,X000898.SZ,X600529.SH,X000027.SZ,X000630.SZ,X600315.SH,X600399.SH,X000723.SZ,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0594560458384734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925873261464017,0,0,0,0,0.0837222576724102,0,0,0,0,-0.0048465023905946,0,0,0,-0.00122322408361592,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0285817133241075,-0.0241383779557699,0,0,0,0,0,0,0.0393365015583549,0,0,0,0,0,0,0.0349917895221407,0,0,0,0,0,0,0,0,0,0,0,0,0.074795348766128,0,0.00722449716291272,0,0,0.0828914672100617,0,0,0,-0.00874778087303285,0,0,0,0,0,0,0,0,0,-0.00823776125263503,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0576122234742846,0.0175549255593034,0,0,0,0,0.190180027745033,0,0.269411865822814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.029373475706503,0,8.67361737988404e-19,0,-8.67361737988404e-19,0,0,0,0,-0.00863597326742239,0,0
X600585.SH,0,0,0,0,0,0,0.0385292344229969,0,0.154954364556165,0,0,0,0,0,0,0,0,0.0377636726221465,0.063647429617616,-0.0136500336097176,0,0,0.0538525535475675,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.0459099184475105,0,0,0,0,0,0.0386226866966297,0,0,0,0.0505182807659916,0,0,0,0,0,1.73472347597681e-18,0,0.0164812397114631,0.00334973426630604,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244131141511181,0,-0.186329826397616,0,0,0,0,0,0.0573507888876066,0.08067905799119,0,0,0,0,0,0,0,0,0,0,0,0,0.0926733322078133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0086384943376772,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103105691128642,0,0,0,0,0,0,0,0,0,0.0987695251947551,0,0,0,0,0,0,0,0,0,0,0,0,0.045443442855254,0,0.0426720606104713,0,0,0,0,0,0.0121840149325035,0,0.0249433019841142,0,0.0361762872282267,0,0.0136994727729149,0.0262150951276439,0,0,0,-0.0154041308879372,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,0.157252966414187,0,0,-0.0243255949219981,0,0,0,0,0,0,0,0,0,0,0,0.254312552240551,0,0,0.429800947782655,0,0,0,0,0.154996233618942,0,0,0,0,0,0.177678590804041,0,-0.0119747801920059,0,0,0,0,0.15054205913258,0.0172564432332438,0,-0.237537455504475,0,0,0,0,0,0,-0.0206977772221373,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055953883875138,0,0,0,0,0,0.0384668226685004,0,0,0,0,0,0.00640542840907313,0,0,0,0,0,0,0,0,0,0.245405237752464,0.0365446969177414,0,0,0,0,0,0,0,0,0,0,0,-0.0111711147212756,0,0,0,0,-0.0017957655499796,0,0
X600547.SH,0,0,0,0,0,0,0.0364534472747785,0,0,-0.0289785661319288,0,0,0,0,0,0,-0.0779331287867569,0,0,0,0,0,0,0,0,0,0.631220069642901,0,-0.0339505592590483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010771878881892,0,0,0,0.00978614566893219,0,0,0,0,0.00782445298598056,0,0
X600660.SH,0,0,0,0,0,-0.117690578865775,0.00974238439808676,0,0,0,0,0,0,0.0159646205512933,0,0,0,0,0,-0.0725144996568299,0,0,0,0.0664093278489652,0,0.173959422433479,0,0,0,0,0,0,0,0.0683711307683551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160831037248622,0,0,0,-0.00280822174817507,0,0,0,0,0.00881745504455862,0,0
