,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X000792.SZ,X002466.SZ,X600019.SH,X600111.SH,X601898.SH,X002271.SZ,X600011.SH,X600660.SH,X000877.SZ,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X600547.SH,X600886.SH,X600176.SH,X600362.SH,X600795.SH,X600426.SH,X000983.SZ,X600803.SH,X000786.SZ,X600096.SH,X000408.SZ,X000723.SZ,X601699.SH,X601991.SH,X600486.SH,X600141.SH,X600219.SH,X600295.SH,X002353.SZ,X000807.SZ,X300073.SZ,X002192.SZ,X002080.SZ,X600801.SH,X600027.SH,X600157.SH,X600985.SH,X002497.SZ,X000683.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150164282519457,0,0,0,0,0,0,0,0,0,0,0.108623804073277,0.0584912042222983,0,0,0,0,0,0,0,0,0,0.132705797813592,0,0,0,-0.0471569972770305,0,0,0,0,0,0
X601088.SH,0.0492625993716011,0,0,0,0.138702634156748,0,0,0.0147895677780701,0,0,0,0.130666864882111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00857475274617614,0,0,0,0,0,0.0751707113918222,0,0.0422303078793755,0,0,0.117820042280889,0,0.0313089829543026,0,-0.0452958872500106,0,0,0,0,0,0,0,0,0,0.0212741500760424,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118952809830718,0,0,0,0,0,0.0762277951315915,0,0,0,0,0,0,0,0,0.0241867735623163,0,0,0.0277987491904722,0.00574559897811588,0,0,0,0,0,0,0,0,0,0.0341165747372368,0,0,-0.00380498243410997,-0.0224419734481723,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.05820406261519,0,0,0.012336594555798,0.0606031134384326,0.0184827316424527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100981012431907,0.165691671989263,0,0,0.0262393688483993,0,0,0,0,0,0,0,0,0,0.00522891008731101,0,0,0,0,0,0,0
X600188.SH,0,0.297360245348445,0,0,0,0,0,0.0444740221987757,0,0,0,0,0,-0.074164791315829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260199006352375,0,0,0,0,0,0,0.155363781214453,0,0.0327733242737937,0,0,0,0,0.42310296128264,0,0,0,0.183993356737513,0.0501192826252367,-0.0302436906630341,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.048065573891059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129325260558112,0,0,0.081195951271719,0,0,0,0,0,0,0,0,0,0,0,0.43844445307842,0,0,0,0,0,0,0,-0.00808637340601491,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0245485700184924,0,0,0,0.392015275755846,0,0.12736572157026,0,0,0,0,0,0,0,0,0.0768105026228574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128959115447976,0,0,0,0,0,0.111688018675747,0,0,0,-0.0280976487119489,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.024898668162043,0,0.185494158801336,0,0.250041241676308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111853885201661,0,0,0,0,0,0,0,0.345289499569291,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.504915545458248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150920945289133,0.0459958010273749,0,0,0,0,0,0,0.0280103493159817,0.0160445613956758,0.0856625182688416,0,-0.0851737743614653,0,0,0.0853072198969991,0,0,0,0,0,0.309718864917951,0,0,0,0.0102999877226589,0,0,0,0,0,0,0
X600019.SH,0.109325066252458,0,0,0,0,0,0,0,0,0,0,0,0.108914735699239,0,0,0,0,0.219048836769723,0,0,0.0573336000859379,0,0,0,0,0,0,0,0,-0.0701334044437881,0,0,0,0,0,0,0,0.120478718658617,0.0249742679066259,0,0,0,0,0,0,0,0.0873678557808655,0,0,0,0,0,0,0,0,0,0,0,0
