,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X600688.SH,X601600.SH,X600886.SH,X600795.SH,X600188.SH,X600027.SH,X600362.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X002460.SZ,X600516.SH,X000709.SZ,X600299.SH,X600352.SH,X000629.SZ,X600808.SH,X600489.SH,X600219.SH,X000786.SZ,X600801.SH,X601158.SH,X300072.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X000792.SZ,X601699.SH,X000408.SZ,X002271.SZ,X600339.SH,X002110.SZ,X000301.SZ,X000630.SZ,X002075.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.277132837249807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532063418163091,0,0,0,0,0.154486309419091,0,0.0663471460618373,0,0,0,-0.0214786493346835,0.0133553181239823,0,0,0,0,0,0
X600028.SH,0.301968751266892,0,0,0.107382010660467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796450464332196,0.0734063433309524,0,0,0,0.0565003019327998,0,0,0,0,0,0,0.0575988303004672,0,0,0,0,0,0,0,0,0.0490410907434443,0,0,0,0,0,0,0.0214691051221372,0,0,0,0,0,0
X601088.SH,0.282396627574576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773752891447305,0,0,0,0,0,0,0,0,0,0,0,0,0.0401244293465001,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.000578961518472074,0.187544601879901,0.0296764715399263,0,0,0,-0.00130015461608192,-0.00419158781882277,0,0,0,0,0,0
X600585.SH,0,0,0.148715740239299,0,0,0.103952867639408,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729363098882068,0.152213912902356,0.0619003902693334,0,0,0,0,0,0,0,0.0321945548702727,-3.46944695195361e-18,0,0,0,0.541737906788092,0,0,0,0,0,0,0,0,0.102196916865988,-0.0357958424706084,0,0,0,0,0.0717609602908987,0,-0.00726268565566308,0,0,-0.110603389747469,0,0,0,0
X600019.SH,0,0.199151528826478,0,0,0,0,0.036077752661204,0,0,0,0,0,0,0,0,0,0.0184548408065268,0,0,0,0.540964405415075,0.0262228805976016,0,0,0,0.0120281606669941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189278620121167,0,0.0231245215213603,0,0,0.0191791747650915,0,0,0,0,0.00347340224178601,0,0,0,0,0,0,0
X600011.SH,0,0,0,0.0256550105130329,0,0,0.0833187427658855,0,0,0,0,0,0,0,0.106442738355693,0,0,0.675525403201733,0,0,0,0,0,0,0.0561037483873375,0,0,0,0,0,0,-0.129232853935668,0,0,0,0,0,0.0348325375543923,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116162286145003,0.0604738871927061,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.293245411074222,0,0,0,0,0,0,0,0,0,0,0.239127862278983,0,0,0,0,1.73472347597681e-18,0.0222059761169747,0,0,0,0,0.0711478611440376,0,0,0,-0.270153566862161,0,0,0,0,0,0.194377876569308,0,0,0,0,0,0,0,0,0.293948029987434,0,0,0,-0.0748427288584054,-0.0231204083569651,0.0965248181569713,0,0,0,0,0,0
X600010.SH,0.127857178494384,0,0,0,0,0.0816753913482217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184115541358894,0,0,0,0,0.000435386112259555,6.93889390390723e-18,0,0,0,0.0555141045810956,0,0,0,0,0,0,0,0,0,0,0.0212562457120706,0,0,0,0,0.0998334942198558,0,0,0,0,0,-0.00971756222148192,-0.00586016554730849,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281283669377583,0.193749739125924,0,0,0,0.0219010811361927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135494208306478,0,0,0,0,-0.00169255692565658,-0.0476725841884269,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0278474574401415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510785236259782,0,0,0,0,0,0.276961838808074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119484805035326,0,0,0,0,0,0,0
