,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600188.SH,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X000301.SZ,X600111.SH,X600660.SH,X600011.SH,X002271.SZ,X000877.SZ,X000708.SZ,X600010.SH,X600547.SH,X600886.SH,X601600.SH,X600795.SH,X000629.SZ,X600426.SH,X600176.SH,X600362.SH,X000408.SZ,X300073.SZ,X601991.SH,X000786.SZ,X600803.SH,X600096.SH,X600348.SH,X000983.SZ,X000723.SZ,X002080.SZ,X600027.SH,X600160.SH,X600141.SH,X601699.SH,X600219.SH,X600378.SH,X600157.SH,X002407.SZ,X600801.SH,X002353.SZ,X600549.SH,X600399.SH,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0323320528604138,0,0,0,0,0,0.0551234327423566,0,0,0,0,0,0,0,0,0.0813799262765672,0,0,0,0,0,0,0,0,-0.0933620301688478,0.00851037762141651,0,0.07726455696935,0.188107449298541,0,0,0,0,0,0,0,0.029481066151353,0.0242619403528291,0,0,0,0,0,0.00789156794643281,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.121744859449117,0,0.0646167541358138,0,0,0,0.195552397538856,0,0,0,0.0415288573563681,0,0,0,0,0,0,0,0,-0.054883742648448,0,0,0,0,0,0,0,0,0,0.0253316132066165,-1.38777878078145e-17,0,0,0,0,0,0.235714894834926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00243397323795657,0,0
X600028.SH,0.118143350963515,0,0,0.0213746182650735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288398858435644,0.00735306406026019,0.0332036768621902,0,0,0,0,0,0,0,0,0,0,0.0226100296210445,0,0,0.00246971987409896,0,0,0,0.0111018934737859,0,0.0481883905604168,0,0,0,0,0,0.019451487037836,0,0,0,0,0,0,-0.00082296762240826,0,0
X600309.SH,0,0.101580085580574,0,0,0,0,0.0119111241927667,0,0,0,0.0189264927370792,-0.0317679952175345,0,0,0,0,0.17456416377063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249214092581843,0.00830669167089709,0,0,0,0,0,0.0724757522627131,0,0,0,0,0,0.0276900103975837,0,0,0,0,0,0,0,0,0,-0.00773731368579023,0,0
X002466.SZ,0,0,0,0,0,0.65791940540737,0,0,0,0,0,0,0,0,0.0342444138250572,0,0,0,0,0,0,0,0.0113126735749028,-0.221512963077083,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.121554940072715,0,0,0,0,0.105331285882195,0,0,0,0,0,0,0,0,0,0,0,0.0483640976762644,0,0
X002460.SZ,0,0,0,0,0.0789944553134279,0,0,0,0.222709801476015,0,0,0,0.0627296640378947,0,0,0,0,0,0.138555227717774,0,0,0.0572019272050696,0,0,0,0,0,0,0.115603739595172,0,0,0,0,0,0.00683351417893245,0.0012225593933119,0.0355988828797154,0,0,0,0,0,0,0,0.09791533964023,0,0,0,-0.0948590926374391,0,0,0.0143782084211916,0,0,0,0,0.0920464649177686,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.430538442927999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264470594328304,0.0391882387642061,0.196414016106099,0,0,0,0,0,0.101812664857736,0,0,0,0,0,0,0,-0.0327777238434557,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0422811429403521,0,0,0.0291495928470809,0,0,0,0,0,0,0,0,0.108675512019416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479892711560645,0,-4.33680868994202e-19,0.00641423826368813,0,0.09659552937138,0,0,0,0,0,0,0,0,0,0.344647761945981,0,0,-0.00969161270557901,0,0,0,0,0,0,0,-0.0104065372320082,0,0
X000792.SZ,0,0,0,0,0.317731667548352,0.0270645657035425,0,0,0,0,0,0,0,0,0.071771435607639,0,0,0,0,0,0,0.0847099819209859,0,0.157439904914417,0,0,0,0,0,0,0,0,0,0.0945772637278675,0,0,0.0107091846351079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134504733061726,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.126320616003124,0,0,0,0.0448903989731421,0,0,0.0362156667474843,0,0.0107616433601744,0,0,0,0,0,0,0.0781936861130401,0,0,0,0.0701724657650117,0.0421681166295443,0,0,0,0,0,0.0575783047192984,0,0.0946744849464802,0,0,0,0.0305421747696882,0,0,0,0.0310458366628806,0,0,0,0,0.00864292179563951,0,0
