,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600660.SH,X600688.SH,X600362.SH,X300072.SZ,X600795.SH,X002466.SZ,X601992.SH,X600547.SH,X601991.SH,X600111.SH,X600516.SH,X002460.SZ,X600176.SH,X600886.SH,X000898.SZ,X000786.SZ,X000709.SZ,X600157.SH,X600352.SH,X000792.SZ,X000553.SZ,X600027.SH,X002271.SZ,X601699.SH,X000408.SZ,X600219.SH,X600489.SH,X000983.SZ,X600339.SH,X600808.SH,X000959.SZ,X601158.SH,X000630.SZ,X000883.SZ,X002092.SZ,X000825.SZ,X002470.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.40190324864389,4.33680868994202e-19,0.0204652431632184,0.0146019355835399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00967351853948302,-4.33680868994202e-19,0,0,0.0556635743770035,0,0,0,0,0,0,0,0.0836465630979856,0,-0.0243124946543987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258679787803962,0,0,0,0,0,0,0
X600028.SH,0.454088105064084,0,0.0374905585729135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085578584011337,0,0,3.46944695195361e-18,0,0,0,0.0345630697382144,0,0,0,0,0,0,0,0,0,-0.0979124072892631,0,0,0,0,0,0,0,0,0,-0.00457224101707273,0.0119130301033753,0,0,0,0,0,0
X601088.SH,0,0,0,0.0440288850946815,0.161134816632538,0,0,0,0.135849626144585,0,0,0,0,0,0,0,0,0,0,0,0.0350664591058396,0,0,0,0,0.084172209620109,0,0,0,0,0,0,0.040463520629956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053971854567817,0,-0.00392171938402142,0,0.06394351880326,0,0,0,0,0
X600019.SH,0,0,0.118054868712544,0,0.0973236548421929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113594249918519,-0.107175704803796,0,0,0.337595819690705,0.0426669643956853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185930194410671,0,0,0,0,0,0,0,0,0,0.015916933288546,0,0.0291558295652067,0,0,0,0,0
X600585.SH,0,0,0.362527192652519,0,0,0,0,0,0,0,0,0,0.0469189035887256,-0.0444111255816186,0,0.2246609091783,0,0,0,0,0,0,0.0474943553586953,0,0,0.188278864514516,0,0,0,-0.166654461027675,0,0,0,0,0,0,0,0,0,0.148325092227825,0,0,0,0,0,0,0,0.0377255846059204,0,0,0.00280028479290203,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0167427517781481,0,0,0,0.066614414059898,0,0,0,0,0,0,0.146041344230053,0,0,0.0311347544623757,0,0,0.02428738225553,0,0,0,0,0.048325564655531,0,0,0,0,0,0,0,0,0.283533837971931,0,0,0,0,0.0227518031935165,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814235052611262,0,0,0,0,-0.0742510517507162,-0.0151072569301156,0,0,0,0,0,0
X600011.SH,0,0,0,-0.117007270081192,0,0,0,0,0,0.03701563632463,0,0,0,0.0578938732938711,0,0,0.133303751971828,0,0,0,0,-0.0116812252461976,-0.0622128473080281,0,0,0,0,0,0,-0.0224426447579294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253960685980692,0,0.065036936624176,0,-0.00555021789205374,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000996501507711072,0,0.168657993200728,0,0,0,0,0,0,0,0,0,0,0,0.25440535461694,0.0660887534301657,0,0,0.104216772426369,0,0.177760119906876,0,0,0,0,0,0,0,0.138810263975558,0,0.0269729483097042,-0.0457631806312129,0,0,0,0,0,0
X601898.SH,0,0,0,0,-0.0179750293000962,0,0,0,0.150253576964887,0,0,0,0,0,0,0,0.000592706179431307,0,0,0,0.0385628201471923,0,-0.00881797890166591,0,0,0,0,0,0,0,0.036807550081822,0,0,0.0539118127292236,0,0,0,0.204106772974161,0,3.46944695195361e-18,0,0,0,0,0,0.0876260719763998,0,0,0,0.0043468081910565,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651539180354713,0,0,0,0,0,0,0.0853109404281155,-0.0989740445275182,0.0275619956270578,0,0,0.0542919017182461,0,0,0,0,0,0,0.052894136984122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18307281124929,0,-0.00207841193716431,0,0,0,0,0,0,0
X600688.SH,0,0.157630583790832,0,0,-0.0440892508261992,0,0,0,0,0,0,0,-0.0101209304051323,0.0559387684291829,0,0,0,0,0,0,0.0325220975493566,0,0.0286914323560149,0,0,0,0,0,0,0,0.112682553163902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461482308495997,0,-0.0119053658371079,0.0121811890450359,0,0,0,0,0,0
