,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X601991.SH,X600688.SH,X601600.SH,X600660.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600547.SH,X002466.SZ,X600027.SH,X601992.SH,X600516.SH,X600299.SH,X600111.SH,X600176.SH,X000709.SZ,X300072.SZ,X002460.SZ,X000629.SZ,X600352.SH,X600339.SH,X600808.SH,X600583.SH,X000553.SZ,X000825.SZ,X600801.SH,X002110.SZ,X000786.SZ,X601158.SH,X000301.SZ,X000883.SZ,X000792.SZ,X600426.SH,X600219.SH,X000932.SZ,X000408.SZ,X600489.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.211712120915803,0,0,0,-0.119782478005705,0.0638348820446574,0,0,0.101356136591759,0,0.0548444034013658,0,0,0,0,0,0,0,-0.0465569656265273,0,-0.0301047882361485,0,0,0,0,0,0,0,-0.06466174812317,0,0.183424892064485,0,0.00820859646515274,0.0248115671220132,0,0,0,0,0,0,0,0,0.0873125123758369,0,0,0,0,0,-0.0492861002018187,0.0122569125079462,0.00544044390448725,0,0,0,0,0,0
X600028.SH,0.0586207079558663,0,0,0,0,0,0,0,0,0,0,0.105247643902376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807053706383038,0,0,0,0.120807508149282,0,0,0,0,0,0.0790761728713731,0,0,0,0,0.0399006179805176,0,-0.00729522107733155,-0.0181483721416905,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0794605986535328,0,0,0,0,-3.46944695195361e-18,0,0.0337496147702345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431876552081249,0,0,0,0,0,0,0,0,0,0,0,0.414963718442583,0,-0.00104728237910292,-0.0171693927784378,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.080588566061269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902036214825505,0,0,0,0,0,0,0.0524384315203153,0.0720698210474483,0,0,0.341913066214581,0,0.217585605634122,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0128849432256201,-0.0255353490739442,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164475082879717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927778827962517,0,0,0,0,0,0,0,0.296106597669264,0,0,0,0,0.0128500919410717,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147491206111866,0.117542348274362,0,0,0,0,0,0,0,0,0,0.0531632685875715,0,0.165284036972851,0.0275469255806245,0,0.0859267896422186,0,0,0,0,0.266316401190817,0,0,0,0,0,0,-4.33680868994202e-19,0.00365555809197876,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0947656533706542,0.0176549936911003,0.748233976587187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090067843240484,-0.0460248588091574,-0.0369921405785007,0,-0.0066110739317,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525982067307149,0,0,0,0.0675371282824663,0,0,0,0.175004319658676,0.0349333883608926,0.0339591021499321,0,0.00542913498017784,0,0,0,0,0,0,0,0,0,0.0458999730640649,0,0,0,0,0,0,0.0537455794699205,0,0,0.0886578958516121,0,0,0,0,0,0.006092353240829,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.288001242400779,0,0,0,0,0,0,0,0,0,0,0.046391052814241,0,0,0,0,0,0,0,0,0,0,0,0.0420531594637767,0,-0.0132901952121801,0,0,0,0,0,0.00494778978867457,0,0,0,0,0,0.261756347268467,0,-0.00534747001061331,-0.00529330131968768,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0.135591466711393,0,0,0,0,0,0,0,0,0.0622839649430733,0,0,0,0,0,0,0,0,-0.0628242444918439,0,0,0,0,0,0,0,0,0,0,0,0,0.0489942551614559,0,0,-0.0227594275032835,0,0,0,-0.0444541752588185,-0.00425834427334659,0.00289055494524512,0,0,0,0,0,0
