,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X600886.SH,X601600.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600027.SH,X000877.SZ,X601991.SH,X002271.SZ,X600362.SH,X600426.SH,X600803.SH,X601699.SH,X000983.SZ,X600176.SH,X600489.SH,X000807.SZ,X600995.SH,X000539.SZ,X000786.SZ,X600160.SH,X300037.SZ,X000408.SZ,X600219.SH,X002409.SZ,X600378.SH,X000629.SZ,X600688.SH,X002080.SZ,X600157.SH,X600985.SH,X000932.SZ,X600612.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.448949586545254,0,0,0,0.157688895600045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054135990626762,0,0,0,0,0,0,0
X600028.SH,0.654889902320481,0,0,0,0,-0.0998577124069111,0,0,0,-0.0698666065105056,0.0778472017521092,0.107167394624894,0,0,0,0,0,0,0,0,0,0,0,0.0356355475906233,0,0,0,0,0,0,-0.0378795163680622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00904924020256495,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.180210660819231,0,0,0,0,0,0,0,0,0,0.196846845817186,0,0,0,0.0929083676401496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088906236122096,0,0,0,0,0,0,0,0,0,-0.0265727268766731,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.161557194317117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134323190259376,0,0,0,0.0309402644408229,0,0.0732211022914069,0,0,0,0,0.0196085086987822,0,0,0,0,0,0,0.03534082142088,0,0,0,0,0,0,0,-0.014993129926584,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.15389653784467,0,0,0,0.0667070823893497,0,0,0,0,0,0.164226182292934,0.357785783487794,0,0.00904181059495665,0,0,0,0,0,-0.0944234538697932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338631103730263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0.0307509172719691,0,0,0,0,0,0,0,0,0.0636930994097352,0.248277434547167,0,0,0,0,0,0,0,0,0.0154859446549574,0,0,0,0,0,0,0,0,0.108575109540931,0.269846895122907,0,0,0.066727796136022,0,-0.0716251646233174,0,0,0,0,0,0,0,0,0,-0.0128861652343452,0,0,0,0,0,0,-0.0782863718348008,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0650605207462223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0963250699353728,0.0479638184281226,0,0.0323868378542099,0,0,0,0,0,0,0,0.00112427434292438,0,0.0841338889509425,0.216971486535571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288638538310896,0,0,0,0,0,0,0
X600019.SH,0,0.0663821632396557,0,0,0,0.126996610568444,0,0,0,0,0,0.0963599637659516,0,0,0.102464444265785,0,0,0,0,0,0,0,0,0.0440892602004614,0,0.0176633266392984,0,0,0,0,0,0,0,0,0,0,0,-0.054476523190436,0,0,0,0,0,0.124551105442067,0,0,0,0,-0.031921595664957,0,0,0.0356629324945981,0,0,0,0,0,0,0
X002460.SZ,-0.00593687876654463,0,0,0,0,0,0,0,0,0.493378754365206,0,0,0,0,0,0,0,0,0,0,0,0,0.153730781616472,0,0,0,0,0,0,0,0,-0.0604558980809627,0,0,0.0142908535265186,0,0,0,0.0602225496505361,0,0,0,0.0211562685217588,0,0,0,0,0,-0.0146503579116249,0,0,-5.42101086242752e-20,-0.00620241821189687,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.0660014919833347,0,0,0.519418802017284,0,0,0,0.152943504703391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17995120833532,0.00313019711380303,0,0,0,0,0,0,0.115548732356751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.1800763355115,0.412994578215365,0,0,0.271776871092475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133523089244841,0,0,0,0,0,0,0,0,0,0,0,-0.0202937893722914,-0.0920056179372814,0,-0.0268864402350434,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324636038042767,0,0,0,0,0,0.0258168322572876,0.082192018103655,0,0,0,0,0,0.577259127380698,0,0,0.0928307841193746,0,0,0,-0.0545674041191715,0,0.0127454487246473,0,0,0,0.0223911753482621,0,0,0,0.0222108993603731,0,0,0,-0.0316738913392832,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.102891985985777,0.221726177846218,0,0,0,0,0,0,0.0164179390292813,0,0,0,0,0,0,0,0.037262364048885,0,0,0,0.0270034590894175,0,0,-0.0314740675620907,0,0,0.0286485913894435,0.1121185212756,0.197589676052301,0,0,0,0,0,0.0212437522311749,0,-0.0307477469749917,0,0,0,0,0,0,-0.0764507714311078,0,0,0,0,0,0,0
X600886.SH,0.077078506921693,0.0381438846592706,0,0,0.0980735021448966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212222254757332,0,0,0.0456785379021864,0,-0.0265599255135535,0,0,0,0,-0.0148098130227508,0,0,0,0,0,0,0,0,0,-0.0209388374976184,0.0287949787440163,0,0,0,0,0,0
