,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X601992.SH,X002466.SZ,X600111.SH,X600688.SH,X600795.SH,X600188.SH,X600362.SH,X600516.SH,X002460.SZ,X601991.SH,X600660.SH,X600547.SH,X300072.SZ,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X000408.SZ,X000807.SZ,X000792.SZ,X600339.SH,X600808.SH,X000959.SZ,X600219.SH,X600489.SH,X600549.SH,X002092.SZ,X000723.SZ,X000983.SZ,X600352.SH,X000553.SZ,X601158.SH,X601699.SH,X000883.SZ,X600299.SH,X000630.SZ,X600008.SH,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0240685715566821,0,0,0,0,0,0.0381106698437421,0.0293450175506185,0,0,0.00473301378770797,-0.0165956976549699,0,0,0.0648489531859865,0,0,0,0,0,0,0,0.0284479703140982,-8.67361737988404e-19,0,0,-0.0214676997368161,0,0,0,0,0,0,0,0,0.0278091758169887,0,0,0,0,0,-0.0208412778307305,0,0,-0.00821661055225257,0.0119031979510631,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.121239710627213,0,0,0.0253811296927504,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.00431345201858783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248256787144871,0,0,0,0,0,0.0955613095967526,-0.0306027787518584,0,0,0,-0.00191146208351066,0,0,0,0,0,0.00778616786239342,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.101186508811187,0.0565703775382581,0,0,0,0,0.0560012614905042,0,0,0,0,0,0,0,0,0,0,0.113882431985308,0,0,0,0,0,0,0,0,0.355439668857433,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201517341693091,-0.0189982863753627,0.0191590646474116,0,0,0,0,0,0
X600585.SH,0,0.161902394873015,0,0,0,0,0,0.159998908708822,0,0,0,0,0,0,0,0,0,-0.0818846620908042,0,0,0,0,0,0,0,0,0,0,0,0.0212101729424902,-0.0557022199387135,0,-0.042787219778811,0,0,0,0,0,0,0,0,0,0,0.0379094649632775,0,0,0,0,0.147122503926951,0,-0.0275097889352482,0.020820842549167,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.0594572967934972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185576659120085,0,0,0,0.120204059227419,0.0644389429829787,0,0.0655422261005344,0,0,0,0,0,0,0,0,0,0,-0.0145980273234957,0.0130995973834011,0,0,0,0,0,0
X601600.SH,0,0,0,0.15774469105815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118283829178157,0,0,0,0,0,0.137617077116798,0,0,0.181069032984843,0,0.123274877354624,0,0.180721124184368,0,0,0.0844540023064991,0,0,0,0,0,0,0,0,0,0,-0.0191238247872732,-0.0171869119636527,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137513771717709,0.0116920525634481,0.145236681077011,0,0.252369159858535,0,0,0,0,0,0,0,0,0,-0.0545394672212089,0,0,0,0,0,0.0818405709845288,0.112552902236044,0,0,0,0,0,0.0354333094205613,0,0,0,0,0,0,-0.0183915478178309,0.0207385312637329,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0770314634743149,0,0,0,0,0,0,0,0,0.0330414260345114,-0.0248674630435705,0,0,0,0,0,0,0,0,0,0,0.0772266470191054,0,0,0,0,0,0,0,0,0,0,0,0.0380185246202338,0.0373868110013715,0,0,0,0.0241177296666522,0,0,0,0,-0.00318793665262924,0.00476514207897985,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0574856785694075,0,0,0,0,0,0,0,0,0,0.136821777368693,0,0,0,0,0,0,0.170376712904302,0,0,0,0,0,0,0,0,0.101534803640054,0,0,0,0.117067197195766,0,0,0.0349582076153993,0,0,0,0,0,0,0,0,0,0,0.0112910988792402,0.00241818914465918,0,0,0,0,0,0
