,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X601600.SH,X600188.SH,X601898.SH,X002466.SZ,X600660.SH,X600688.SH,X600362.SH,X300072.SZ,X600795.SH,X601992.SH,X600516.SH,X002460.SZ,X000898.SZ,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X600176.SH,X000786.SZ,X000709.SZ,X600352.SH,X000825.SZ,X601699.SH,X000792.SZ,X002271.SZ,X600027.SH,X000553.SZ,X000830.SZ,X000408.SZ,X600299.SH,X000932.SZ,X600808.SH,X002110.SZ,X600219.SH,X601158.SH,X000959.SZ,X600489.SH,X000883.SZ,X000630.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.414890464040649,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.170836984243197,0,0,0,0,0.00820859446936118,0,0,0,0,0.0434991779086958,0,0,0.00528670871092712,0.0691100255358061,0,0,0,0,0,0,0,0,0,0,0.00753002669794203,0,0,0,0,0,0,0,0,-0.00235083267966719,0,0,0,0,0,0,0
X600028.SH,0.395139638744249,0,0.0184578502746822,0,0,0,0,0,0,0,0,0,0,0,0.0965131660621652,0,0,0,0,0,0,0,0.140941508252111,0,0,0,0,0,0,0,0,0,0,0,0,-0.00881895935622553,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159740576411746,2.16840434497101e-19,0,0,0,0,0,0
X601088.SH,0,0,0,0.378938070784463,0.129036285176252,0,0,0,0,0,0,-0.0133917653523352,0,0,0,0,0,0,0,0,0,0,0.0715852088579782,0,0,0,0,0,0,0,0.108052546317259,0,0,0,0,0.0148894124446552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00850657258243003,0,0,0,0,0,0
X600019.SH,0,0,0.0920600098189563,0,0.159641039447198,0,0,0,0,0.327037858032161,0,0,0,0,0.0149031093652669,0,0,0,0,-0.0481514867352343,0.181443927426407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103508963796072,0,0,0,0,0,0,0,0,0,0,0.0164857177592342,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.348414634024861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123809905823558,0.142640134586941,0,0,0,0.00830294713293644,-0.13684928045188,0,0,0,0,0,0,0.127658887452539,0,0,0,0,0,0,0,0,0,0,0,0.00353932976138463,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0568033261379148,0,0,0,0,0.0215269065418474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235247579520022,0.0128229752162727,0,0,0,0,0.0826831919980084,0.0498580406044789,0,0,0,0.126288682062605,0,0,0,0,0,0,0,0,0,0.00820164148298372,1.0842021724855e-19,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.137694018059272,0,0,0,0,0,0,0.0327368011574123,0.0769594534470862,0,0,0,0,0,0,0,0,0,0.0539607432170476,0,0,0.0515804362477357,0,0,0.0957592571977176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157829350814866,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115117682669752,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.146360411352657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719283347684818,0,0,0,0,0,0,0,0,0,0,0.498853998629963,0,0,0,0,0.0931664976394623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001018272430551,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.112973543828988,0,0,0,0,0.175999944027257,0,0,0.109333526303445,0,0,0,0,0.0256316546800599,0,0,0,0,0,0,0,0.195826445147469,0.0765925262450223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000163676511959376,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.0914683236048722,0,0,0,0,0,0,0,0,0,-0.0186870770492407,0,0,-0.0173694963874227,0.255540572182763,0.507460053157843,0,0,-0.0206589259052717,0,0,0,0,0,0,-0.0737789243008085,0,0,0,0,0,0,0,0.0462753381504763,0,0,-0.129720309708405,0,0,0,0,0,0,0,0,-0.0205740895760838,0.0193194961795884,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0630743828866702,0,0,-0.029692841506516,0.177564828353416,0,0,0,0,0.00882401555797286,0,0.246606794171988,0,0,0,0,0,0,0.0145778050595353,0,0,0,0,0,0,0,0.00606404980348109,0,0,0,0,0,0,0.139454464713881,0,-0.0117515782032221,0,0,0,0,0,0,0
X600688.SH,0,0.342145218810565,0,0,0,0,0,0.0598714831987411,0,0,0,-0.0518591647017431,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201989595906144,0,0,0.00562379464389694,0,0.0876071229269892,0,0,0,0,0.0279869891508647,0,0,0,0,0,0,0,0.018048526990417,0,0,0,0,0,-0.0196373155004568,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.111503776382585,-1.73472347597681e-18,0,0,0,0,0,0,0,0.103145375009943,0,0,0,0.234812342492087,0,0,0,0,0,0,0.308854033580708,0,6.93889390390723e-18,0,0,0,0.129620766069977,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375021314507323,0,0,0,0,0,0,0
