,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600547.SH,X600585.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X000708.SZ,X600010.SH,X600489.SH,X600111.SH,X002460.SZ,X600160.SH,X600027.SH,X601699.SH,X000301.SZ,X600426.SH,X002466.SZ,X000983.SZ,X000786.SZ,X600803.SH,X601991.SH,X000877.SZ,X000630.SZ,X600176.SH,X000807.SZ,X600985.SH,X000933.SZ,X002128.SZ,X601168.SH,X000408.SZ,X600219.SH,X002271.SZ,X600612.SH,X600096.SH,X000883.SZ,X600348.SH,X000932.SZ,X000027.SZ,X600995.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.576176162563034,0,0,0,0,0,0,0,0.23604927415079,0,0,-0.135884037995711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0704286949004247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243157612652752,0.00510947679354543,0,0,0,0,0,0
X601088.SH,0.19018982514366,0,0,0,0.0218242458730289,0.217825004715796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110578978235905,0,0,0,0,0,0,0,0.0788603092267969,0,0,0,0,0,-0.020294493428676,0,0,0,0,0,0,0,0,0,0,-0.0019114522461576,0,0,0,0,0,0
X600028.SH,0.435696904196097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00258104333885701,0.0529861457158195,0,0,0,0,0,0,0,0,0,-0.149025501475428,0,0,0,0,0,0,0,0,0,0.0239203025065223,0,0,0,0,0,0,0,0,0.024782357254844,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X600309.SH,-0.020134767498991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446198978066016,0,0,0,0,0,-0.113024610168196,0.0954101987774378,0,0,0,0.122923256463807,0,0,0,0,0.15660771475298,0.0434639963665249,0,0,0,0,0,0,0.00835163341645105,-0.0255359013381164,0,0,0,0,0,0,0,0,-0.0401290816622069,0.0382198453802094,0,0,0,0,0,0
X600188.SH,0.0194106537216837,0,0,0,0,0.253528969594475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351453809377766,0,0,-0.0238303461353541,0,-0.111286933929324,0,0,0,0,0,0,0,0.0475212556446571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219311238645153,0,0,0,0,0,0
X601898.SH,0,0.0965015581722725,0,0,0.158827801466626,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0744692654687257,0.201121261706681,0,0,0,0,0,0,0,0,0,0,0,0.309487812021755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114259900419474,-0.0819531653945501,0,0,0,0,0,0
X600019.SH,0,0,0,0.112615417631731,0,0,0,0,0.0452897393523624,0,0.0519362761564723,0,0,0,0,0,0,0,0,0,0,0,0.060677723547898,0.130322727654151,0,0,0,0,0,0,0,0,0,0,0,0.00586928162913675,0,0,0.0598140423941071,0,0,0,0,0,0,0,0.136911041698025,0,0,-0.115149123282924,0,0,0.0392933231183483,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529180694204275,0,0,0,0,0,0,0,0.154896622229674,0,0,0,0,0,-0.0160776983577093,0,0.0998658846874862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357913356819161,0.0356912055794614,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.0747845481913301,0,0,0,0,0,0,0,0,0,0,0.029739802717927,0,0,0.741268920065176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819208762953447,-0.0259089472431401,0,0,0,-0.0237100462495381,0,0,0,0,0,0,0,0,0,0,0.0414877886700553,-0.0606686295509233,0,0,0,0,0
X600585.SH,0,0,0,0.0978083567491043,0,0.0828576718466729,0,0,0.016898375482652,0,0,0,0,0,0,0,0,0.0418173643912568,0,0,0,0,0,0,0,0,0,0,0.139086354919314,0,0,0,0,0.00814364138554357,0,0,0,0,0,0,0,0.13769687904227,0,0.0876465206157256,0,0,0.0273751029544774,0,0,0,0,-0.00327160524629219,-0.0206210733828534,-0.0196284578101717,0,0,0,0,0
