,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X000709.SZ,X600516.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X601158.SH,X600808.SH,X600219.SH,X600801.SH,X000825.SZ,X000786.SZ,X000883.SZ,X000553.SZ,X000408.SZ,X002470.SZ,X600583.SH,X002110.SZ,X000539.SZ,X600157.SH,X002271.SZ,X600612.SH,X600021.SH,X600339.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0281699464040629,0,0,0,0,0,0,0,0.00698482306945487,0,0,0,0,0,0,0,0.0451146542898506,0.0904588466203033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520760253485518,0,0,0,0,0,0,0,0,0,0.248819344798119,0,0,-0.017716064379713,0.0280318243478896,0,0,0,0,0,0
X600028.SH,0.0371539415741843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954494843813392,0,0.104734773832391,0,0,0,0.223693550017157,0,0,0,0,0,0,0,0,0,-0.125246050645526,0.00600701957899389,0,0,0.362525323084478,0,0,0.00332531999483473,0.119679493898935,0,0,0,0,0,0
X601088.SH,0.0600087751868454,0,0,0,0,0,0,0,0,0.25761179348026,0,0,0,0,0,0,0,0,0.193010663039132,0,0,0.119155406502483,0.124919879552168,0,0,0,0,0,0,0,0,0,0.0931160005959833,0,0,0,0.000740173538950561,0,0,0,0,0,0,0,0,0,-0.154219635787517,0,0,0,0,0,0.00682168938672228,0,0,0,0.051689276524639,0,0
X600585.SH,0,0,0,0,3.46944695195361e-18,0.17381628987442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801476527437744,0,0.372785151964314,0,0,0,0,0,0,0,0,-0.108731276118261,0,0,0,0,0,0,0,-0.0315171114177943,0.0399475000089335,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0115449520163348,0.0869859914396526,0,0,0,0,0,0,0,0,0,0,0,0.0158669485450965,0.0732584452950337,0.184819867857185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169452737055998,0,0,0,0,0,0,0,0,0.0165763104149162,0.00415572003957588,0,0,0,0.0581790358765196,0,0
X600011.SH,0,0,0,0.228398133977478,0,0,0.094882702297114,0,0,0,0,0,0,0,0,0,0,0.58860159676605,0,0,0,0,0,0,0,0,0,0,0,-0.203264634833576,0.02356339730712,0,0,0,0,0,0,0,0,0,0.0624171838666588,0,0,0,4.33680868994202e-19,0,0,0,-0.0983523805459783,0,0,-0.000671992177271999,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.326853045924066,0,0,0,0,0,0,0,0,0,0,0,0.0744224231935719,0.357634144264511,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025104438679088,0,0,0,0.268004852648767,0,0,0.0632818306144437,0,0,0,0,0,0,0,-0.0331216846818539,0.0695102308808097,0,0,0,0,0,0
X600010.SH,0,0.0205048374761389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167120865897244,0,0,0,0.0473089889556451,0.160121447583121,0,0,0,0.25693102055564,0,0,0,0,0,-0.0512775926296361,0.0352464104531206,0,0,0,0,0,-0.0120477768597538,0.0219386893856262,0,0,0,0.0274116256024495,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812792021577096,0,0,0,0,0,0,0,0.648852486071458,0.0169558811292018,0,0,0,0,0,0,0,0,0,0,0,0.0407700516713593,0,0,0,0.0478491613483512,0,0,0,0,-0.000228285240402074,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.206287803886782,0,0,0,0,0,0,0,0.162630042131621,0,0,0,0.101805919551856,0,0,0,0,0,0,0,0.0367413920770893,0,0,0,0.00998459712574233,0,0,0,0.0280653860955029,0,0,0,0.0200978622970629,0,0.0113609397045351,0,0,0,0.147904286749156,0,0,-0.0123799335328228,0.0172426526454917,0,0,0,0,0,0
