,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X601898.SH,X601991.SH,X600188.SH,X002466.SZ,X600688.SH,X600660.SH,X600362.SH,X600547.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X600886.SH,X600111.SH,X600516.SH,X000786.SZ,X600176.SH,X000898.SZ,X000792.SZ,X000709.SZ,X600027.SH,X600352.SH,X002271.SZ,X600299.SH,X000553.SZ,X000408.SZ,X600489.SH,X601158.SH,X000825.SZ,X601699.SH,X600219.SH,X002470.SZ,X000883.SZ,X600549.SH,X000630.SZ,X600583.SH,X600808.SH,X600426.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.141291278681983,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.145002626348088,0,0,0,0,0,0.0955147221895236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038579091914128,0.0219716587654679,0,0,0,-0.0159623654626394,0.00706274091788951,0,0,0,0,0,0
X600028.SH,0.152124136031936,0,0.173546291094517,0,0,0,0,0,0,0,0,0,0.149795576605608,0,0.00607989632935624,0.194916989196437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648129642395199,0,0,-0.0118035074511601,-2.71050543121376e-20,0,0,0,0,0,0
X601088.SH,0,0,0,0.270877302676554,0.0264275218342738,0,0,0,0,0,0,-0.043018285828836,0,0,0,0,0,0,0,0,0,0,-0.0119245405398366,0,0,0,0,0,0,0,0,-0.0513512914806728,0,0,0,0,0,0.397303112054931,0,0,0,0,0,0,0,0,0,0,0.00183961178230438,0,0,0,0,0,0,0
X600019.SH,0,0.00888490745568985,0.16137403775928,0,0.166744949395868,0,0,0,0,0,0.0545537995621095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623930104854732,0,0,0,0,0,0,0,0,0,0,0,0.130047765765019,0,0,0,0,0,0,0,0,0,0,0,-0.0387700382945403,0,0,0,0,0,0
X600585.SH,0,0,0.429331875063868,0.27418638357184,0,0,0,0,0,0,0.112198112348786,0,0,0,0.0512172322890529,0,0,0,0,0,0,0,0,0.10863479326226,0.0722443942697173,0,0,0,0,0,0,0.0308594050858251,0,0,0,0,-0.0519659757567666,0,0,0,0,0,0,0,0,0,0,0,-0.00859636114014778,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0623202251526725,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0660826990572986,0,0.107729137355391,0.00436036307836838,0.0190562021666597,0,0.00909888469386052,0,0,0,0.125574335973872,0,0,0,0,0,0,0,0,0,0.083223807564602,0,0,0,0,0.0864374962907446,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0796341368765732,0,0,0,0,0,0,0,0,0,0,-0.0383231105491853,0,0,0,0,0,0,0.105446288821459,0,0,0,0,0,0.236714176423506,0,0,0.0194574533262441,0.0985502608732395,0,0,0,0,0.131531382547601,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.000450105302836747,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.218305457128827,0,0,0,0,0,0,-0.296189441784196,0,0,0,0,-0.0263821936531247,0,0,0,0,0,0,-0.0523192116069583,0,0,0,0,0,0,0,0,0,-0.44451349130953,0,0,0,0,0,0,0,0,0.122366857995965,-0.237684283501121,-0.397002472420552,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.115255247684209,0,0,0,0.24100437518409,0,0,0,0,0.0192514444383262,0,0,0,0,0,0,0.0882014639151962,0,0,0,0,0,0,0,0,0,0.0131128320034917,0.0851132269775469,0,0,0,0,0,0.1083922918844,0,0,0,0,-0.00561582223000748,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0467458677495262,0,0,0,0,0,0,0,0,0,0,0,0,0.105722135727345,0,0.0818676847736909,0.0362190743520495,0,0,0,0,0,0,0,0,0,0,0.103420581888819,0,0,0.0256000091124803,0.0737790215725212,0,0,0,0.0268188082360223,0,0,0.0130049155116285,0,0,0,-0.0119120983419611,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.0929317998416778,0.0584046580235883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124731945150779,0,0,0,0,0.303969484011566,0,0.336857371404928,0,0,0,0.00793165941486522,0,0,0,0,0,0,0.0888365965476628,0.284589346483354,0,0,0,0,0,0,0,0,0,0,0.00644501925680679,0,0,0,0,0,0,0
