,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600801.SH,X600886.SH,X601898.SH,X000792.SZ,X600660.SH,X600010.SH,X601600.SH,X600362.SH,X000786.SZ,X600688.SH,X600188.SH,X600795.SH,X601991.SH,X600352.SH,X600027.SH,X601992.SH,X600111.SH,X600299.SH,X600176.SH,X600489.SH,X002075.SZ,X000723.SZ,X000401.SZ,X600426.SH,X601158.SH,X600126.SH,X600219.SH,X000898.SZ,X000932.SZ,X000883.SZ,X600486.SH,X000553.SZ,X600529.SH,X002466.SZ,X002353.SZ,X600516.SH,X600315.SH,X000709.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0,0,0,0,0.191625443451317,0,0.0658847473460583,0,0.0782609863896445,0,0,0,0,0.323658120666192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212543246432478,0,0.0513416120122766,0.116126632960144,0,0,0,0.0706453215229198,0,0.0245460932455077,0.032514756490962,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.0455370239150278,0.0474393341835038,0,0,0,0,0,0,0,0,0,0,0,0,0.182282820731783,0,0,0.00436134129144093,0.155796911284638,0,0,0,0,0.0693857578084749,0,0,0,0,0,0,0,0,0,0,0,0.00397203998794755,0,0,0,0,0,0.00565977706247472,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.00216556169587003,0,0,0,0,0,0,0,0,0,0,0.0531141364944543,0,0.200753093364419,0,0,0,0.0105362297799361,0,0,0,0.00296657224880223,0.017025945440093,0,0.0616449927789381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374247287917708,0,0.00576042803962423,0.006504504114292,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338620870561538,0.0216992162450326,0,0,0,0.175620809692764,0.023609454549524,0,0.0515242102073066,0,0,0,0,0.0276264930344581,0,0,0,0.00625036046069857,0,0,0,0,0,0,0,0,0,0.194822287625901,0.0890996002986147,0,0,0,-0.000150312777527818,0.00352751515028929,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0.069141798559618,0.00572763363603213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752992743250816,0.157699668506043,0,0,0,0.00741935277770784,0.0237774318376622,0.0239716154698972,0.0147024327629461,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0738087291583381,0,0,0,0,0.0264116240448535,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.113698391790901,0,0.0782209265947052,0,0.0179982620995985,0,0,0.302092728954925,0,0,0,0,0.0860786029175913,0,0.00592695200383349,0,0,0,0,0,0,0,0,0,0,0,0.00755292680500327,0,0,0,0,0,0,0,0,0,0,0,0.0487041013608171,0,0,0,0,0,0,-0.0225730102893734,0.00878976877528544,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571810363642727,0,0,0,0.0519063507089426,0,0,0,0,0.290967660405192,0,0,0,0,0,0,0,0,0,0,0,0,0.263771377917487,0,0,0,0,0.00675753344009549,-0.000728887650619682,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346167087899123,0,0,0.0173825675419168,0.109727894496393,0,0,0,0,0,0,0,0,0,0.0553839292425891,0,0,0.0777304177527101,0.0451050589013565,0,0,0,0,0.0120012715826725,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0.036916142762508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391645252843458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704977744866653,0,0.0956633478252833,0,6.93889390390723e-18,0.236713141181532,0,0,0,-0.00443057514269256,0.0132083893370368,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0.0577314571458371,0,0,0,0.149967768647981,0,0,0,0,0,0,0,0,0,0,0,0,0.14845222252639,0,0,0,0,0,0,0,0.0676135527226385,0,0.0762439372640838,0,0,0,0,0,0,0.033297967336041,0,0,0,0.12376980281186,0,0,0,0,0,0.0207243757189105,0.00388805726887617,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0.452748822605395,0,0.0135845992050488,0,0.0440178609235273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488184488621768,0,0.047523015549641,0,0,0,0,0,0,0.0913838269003865,0,0,0,0,0,0,0,0,0,0.0213049212912371,0,0.036588107068101,0,-8.67361737988404e-19,0,0,0,0,-8.67361737988404e-19,0.00413435028957881,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0.0267880247826531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147031189565974,0,0,0,0,0,0,0,0,0,0,0,0,-0.102689119981283,0,0,0,0,0,0.430136091176848,0,0.0786694350310922,0,0,0,0,0,0,0.0276175468939428,0.0491922572903081,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,-0.0242684879804819,0,-0.0393780061929601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0330677025569328,0,0,0,0,0,0,0,0,0,0,0.0848961535741784,0.192432597518426,0.736936200333771,0,0,0,0,-0.0152923515933496,-0.0338040450984445,0,0.120884326579539,0,0,0,0
X000401.SZ,0,0,0,0,0,-0.0431879700120256,0,0.0124698124045674,0,0,0,0.742042631341109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161811574359336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148049393470655,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0.0301030034285051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707125672943803,0,0,0,0,0.219134908124094,0,0.0792825958491022,0.130747215279892,0,0,0,0,0,0,0,0,0.0718442972894808,0,0.0987142517378926,0.0642529315714578,0.0853455000544156,0,0.00535305993548316,0,0,0,0.00610560161981863,0.00259652364429928,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0.0429338751851593,0,0.0245718784486493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299275408763985,0,0,0,0.0330346553052173,0,0,0.0481426038556245,0,0,0.0191377322377448,0,0,0,0,0.0430811206422477,0,0,0,0,0.0274479610820631,0,0.00999341353994109,0.0273275651066235,0,0,0,0.00259282837276328,-0.00773038564684396,0,0,0,0,0,0
X600126.SH,0,0,0,0,0,0,0,0.343772322993252,0,0,0,0.211064041509787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199172515369892,0,0.134068510350203,0,0,0,0,0,0,0.0100913726030388,0.0219070383415068,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.0307531591060163,0,0,0,0,0,0,0,0,0.0665613730754051,0,0,0,0,0,0,0.062729132437845,0,0,0,0.160249567969908,0,0,0.0123573794616813,0,0,0,0,0,0,0,0.167673107485035,0,0,0,0,0,0,0.0356993303583936,0.0340769872128747,0,0,0,0.00841156141118261,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0563605859252882,0,0,0,0,0,0,0,0,0,0,0,0,0.163211117487824,0.0227444039811281,0.0739767911811199,0,0,0,0,0,0,0,0,0,0,0,0,0.102252793049678,0,0,0,0,0.019289140136294,0.0430097904422358,0.0407597886676698,0,0,0,0,0.00571638115978186,0,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0,0,0.0446916159419433,0.0308785785231319,0,0,0,0,0,0,0,0,0,0.109960654267682,0,0,0,0,0,0.0566532681432849,0,0.0449910778708827,0,0.0484140246078254,0,0.0355313495165488,0,0,0,0.0392950600908781,0,0,0,0,0,0,0,0.0128770236259127,0,0,0,0,0,0.0207774428075998,-0.0120631890151799,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.0153846794133808,0,0,0.0760673792895128,0,0,0,0,0,0,0,0,0,0,0.104410640398275,0,0,0,0.0883029919227082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165741725638604,0,0.0861844104432448,0,0,0,0,0,0,0,0,0,0.0148170644780755,0.0130080813420054,0,0,0,0,0,0
X600486.SH,0,0,0,0,0,0,0,0.208315624070054,0,0,0,0,0,0,0,0,0,0,0,0,0.127094708890099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654684832317408,0,0,0,0,0,0,0,0.208479547340217,0.0486579883360935,0.0825273933249162,0.225830360714817,0,0,0,0,0,0,-0.0240121473174819,0,0,0,0,0,0
X000553.SZ,0,0,0,0,-0.0422707726773703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726270797689096,0,0,0,0,0,0,0.624090755059758,0,-0.107663812208279,0,0.0935129895497871,0.0265605686302612,0,0.174691086305357,0,0,0,0,0,0,0.399928307461472,0,0,-0.236460554532151,0,0,0,0,0,0,-0.0325836879132542,0,0,0,0,0,0,0
X600529.SH,0,0,0,0,0,0,0,0,0,0,0.0491305277745918,0,0,0,0,0,0,0,0,0.106385330623557,-0.0383746497244536,0,0,0,0,0,0,0,0,0,0,0.0438860062380796,0.0300776013906453,0,0.0751317167062431,0,0,0,0,0,0,0,0,0,0.00509422914609319,0,0,0,0,0,0,0.0123967200159314,0.00511458729129111,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.076330855716779,0,0,0.180791413272375,0,0,0,0.0843011121969638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340066259880965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240951384892498,0,0,0,0,0,-0.0487704266804167,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0.125669550700957,0,0,0,0,-0.21745499029803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145219138349347,0,0.702385183271009,0,0.0532452764613565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253859323740643,0.00192729521021321,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0.040058143358733,0,0,0,0,0,0,0,0,0.101162319094689,0,0,0,0,0,0,0,0.275027398494334,0,0,0,0.0574391154104204,0.220628200932133,0,0,0,0,0,0,0,0,0,0.0365014128408904,0,0,-4.33680868994202e-19,0,0,0,0,0,0.00015440736174319,-0.0355949003745339,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,0,0,0,0,0.130619387901589,0,0,0,0,0,0,0,0,0,0.105683744268934,0,0,0,0.0226791737757505,0,0,0,0.115021216955616,0,0,0.00967910142395997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601623340593068,0,0,0,0.0409175984995462,0,0.00828635412745448,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491638561150559,0.069597650921629,0,0,0,0,0.116819926096953,0.128050543054521,0,0,0,0,0,0,0.0243007782241557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086504201248818,0,0,0,0,0,-0.00953881488809353,0,0,0,0,0,0
X600612.SH,0,0,0,0,-4.33680868994202e-19,0,0.06087747947097,0,0,0,0,0.0383530137797943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549045147231951,0,0,0,0.121373220484006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104207289788971,0,0,0,0.0313048333917175,0.0282874630433229,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.273410293423309,0,-0.353905443031179,0,-0.0381659482804333,0,0,0,0,0.0832844574159334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414639493653764,0,0,0,0,0,0,0,0,-0.0146675640889009,0,0,0,-0.191662296977872,0,0,0,0,0,-0.0479308320489311,-0.0238237572759519,0,0,0,0,0,0
Slope,0,0,0,0,0,0.49383484397309,0,0.552217925440914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.696534866639974,0.940863953681456,0,0,0,-0.366274929769374,0,0,0,0,0,0,0,-0.243070098575048,0,0,0,0,0.160506327229387,-0.154422957480479,0,0.1692846567755,0,0.416720084765879,0,0,0,0
TED,0,0,0,0,0,0.309903369001261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424477357539915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104893664737314,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.512368593964738,-0.284442165253968,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,-0.083400949939552,0,-0.0284722924980351,0,0,0,0,0,0,0,0,0,0,0,0.0248904934402202,0,0,0,0,0,0,0,0,0,0,0,-0.0233815448363716,0.0767217084385317,0,0,0,0,0,0,0,0,0,0,0,0.0134324983057289,0,0,-0.0122695785119177,0,0,0.0882498188909879,0.0103388246856456,-0.00332120618725618,0,0.00528183450826519,0,0,0,0
MKreturn,0,0,-0.182244933045933,0,0,0,0,0,0,0,-0.00892622239085445,0,0,0,0.0173311922672413,0,0,0,0,0,0.0925019280729597,0,0,0,0,0,0,0,0,0,0,0.0230871106137444,0.131367535823265,0,0,0,0,0,0,0,0,0,0,0,0,-0.0416762024019338,0,-0.0685839428711649,0,0,0.0904446900346338,0.0416229259761835,0.0179582058552902,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498195463217709,-0.00550550950211327,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421097143871897,0,0,0,0,0,0,0,0,-0.0164643553497206,0.00435033183856277,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0.00431163458874257,0,0,-0.00303400866229215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101220426245182,0,0,0,0,0,0.000667596493104048,0.00602229856254307,0.00339765401602612,0,0,0.00173993792867865,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0028141637864238,-0.00238641856152655,-0.00573308765690424,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250594444476067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00090072279145633,0,0.00236785414936626,0,0,0,0,-0.00218541198509311,0,0.00619234282112627,-0.00178053321160582,0,0,0,0,0,0
