,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600623.SH,X601991.SH,X600027.SH,X600188.SH,X600111.SH,X600157.SH,X600362.SH,X002466.SZ,X601992.SH,X600547.SH,X600886.SH,X600299.SH,X600660.SH,X000792.SZ,X601158.SH,X600309.SH,X600489.SH,X000709.SZ,X600583.SH,X300072.SZ,X000898.SZ,X600352.SH,X000883.SZ,X000539.SZ,X000027.SZ,X000723.SZ,X002407.SZ,X000630.SZ,X000983.SZ,X002460.SZ,X002470.SZ,X600549.SH,X600176.SH,X000629.SZ,X000060.SZ,X600021.SH,X000012.SZ,X000959.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0215855260020468,0.0106302546140281,0,0,0,0,0,0.0209390123303189,0.030379813687651,0,0,0,0,0,0,0,0,0.0148818443561771,0,0.193033728030368,0,0,0.0965328937868214,0,0,0,0,0,0,0,0.0183749802654078,0,0,0,0,0,0,0.00901071133637404,0,0,0,0,0,0,0.0114325286927753,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.158216869995041,0,0,0,0,0,0,0.0807685914240605,0,0,0,0,0,0,0,0,0,0,0,0.075063857210161,0,0,0.128962954490114,0,0,0.0332296919189236,0,0,0,0,-0.00570456071743411,0,0,0,0,0.00237771637262016,0,0.00989686799861341,0,0,0,0,0,0,0.00244466137565844,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0841752697827186,0,0.0957712780130961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118953916777235,0,0,0,0,0,0,0,0,0,0.119376900128689,0,0,0.013080215395516,0,0,0,0,0.0641729073804041,0,0,0,0,0,0,-0.000558735107509981,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.034034997863916,0,0,0,0,0.01936355502277,0,0.405837581324226,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.000984858635837037,0,0.0579581310964951,0,0,0.0961545659294718,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0980036483897185,0,0,0,0,0.0017048059363579,0,0,0.0193501404645853,0.129641949503578,0,0,0,0,0,0,0,0,0.226818187654474,0,0,0.0522092520584222,0.129431781902729,0,0,0.123374612144434,0,0,0,0,0.0558050094029569,0,0,0,0,0,0.0162606240004655,0,0.011899848805023,0,0,0,0,0,0,0,-0.0107319694840549,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0336233469365537,0,0,0,0,0,0,-0.000158819806141916,0,0,0,0,0,0.00569188642482613,0,0,0,0.0654961509445122,0,0,0.41021868679596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175849155637125,0,0,0.00848961331256183,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0835806845085514,0,0,0,0,0,0,0,0.105958162138993,0,0,0,0.24972712624365,0,0,0,0,0.223957436519087,0.055373283853263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10960200009964,0,0,-0.0574588059310118,0.0563514250732576,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128279663811691,0,0,0,0,0,0,0,0.102022424794696,0,0,0.0952203444285912,0,0.026344529840765,0,0,0.114195905055786,0,0,0,0,0,0,0,0,0,0,0,0,0.0489128856467245,0.201134132084457,0.0175951424155961,0,0,0,0,0,-0.0711918316223315,0.0125859091910781,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694867627441879,0,0.0201419590690085,0,0,0,0,0,0.0757906288535335,0,0.196665115382534,0,0,0,0,0,0,0.121879309261984,0,0,0,0,0.042447332434325,0,0,0,0,0,0,0,0.0371005704528875,0,0,0,0.132802614507134,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.0416662973092175,0,0,0.0507944285579682,0.00703777584178035,0,0,0,0,0,0,0,0,0.172286285993089,0,0,0,0,0,0,0,0.0309059146009602,0,0,0,0.151584913374467,0,0,0,0,0,0.180455231244459,0,0,0,0,0,0.0374356160032161,0,0,0,0,0,0,0,0,0,0
