,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X601991.SH,X600362.SH,X000708.SZ,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X601992.SH,X000723.SZ,X600027.SH,X002271.SZ,X000786.SZ,X600489.SH,X600516.SH,X002353.SZ,X600176.SH,X002466.SZ,X000898.SZ,X002460.SZ,X600299.SH,X601158.SH,X000709.SZ,X000883.SZ,X600426.SH,X600583.SH,X000792.SZ,X600612.SH,X600219.SH,X000027.SZ,X000629.SZ,X600315.SH,X000630.SZ,X000553.SZ,X600985.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0555576718778919,0,-0.0263912278383928,0,0,0,0,0,0,0.0431486814913294,0.0216500162735331,-0.038316219338229,0,0,0.0439793107366127,0,0,0,0,0.0877522319788752,0.0723120594515838,0,-0.00948473084830316,0,0,0.0591679566209781,0,0,0,0.0459505102519608,0,0,0,0,0,0,-0.0157848476730115,0,0,0,0,0,-0.0117225331384324,0,0,0,0,0.0156874530451494,0,0
X600028.SH,0,0,0.0645858460154862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343632825413355,0,0,0,0,0.133731572997851,0,0,0,0,0,0.027691787847668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351161578285541,0,0,0,-0.00997629283283909,0,0
X601088.SH,0,0,0,0.213750695792175,0,0,0,0,0,0,0,0,0,0,0,0,0.0568038558754337,0,0.028203575241883,0,0,-0.0197934670667504,0,0.0296125583557491,0,0,0.130321009626088,-0.072152597723321,0,0,0,0,0,0,0.0301584377151475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287658684506756,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546211729134626,-0.0135450480743319,0,-0.0226901140218667,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0309192775484305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00298244924172803,0,0,0,0,-0.00474692745551192,0,0
X600309.SH,0,0,0,0,0,0,-0.0712182037731686,0,0,0,0,0,0,0.124158349161079,0,0,0,0,0,0,0,0,0,0.0294866658913972,0,0,0,0,0.011197676604669,0,0,0.124331631018352,0,0,0,0,0,0,0.0408003807027886,0,0,-0.0417723304737731,0,0,0,0,0,0,0,0,0,-0.00963104813511804,0,0,0,0,0,0,0
X600019.SH,0,0,0.227834989529289,0,0,0,0,0,0,0,0,0,0,0.023552817008316,0,0,0,0,0.0147223370922718,0,0,0,0,0.0281730780685018,0,0,0.0907845029234583,0,0,0,0,0,0,0,0,0,0,0,0,0.109580406743192,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0180267468288147,0,0,-6.7762635780344e-21,0,0,0,0,-0.0150737097777113,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824960875946466,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00352525748179777,0,0,0,0,0,0,0,0,0,0,-0.00856960741537618,0,0,0,0.0277984946805361,0,0
X600011.SH,0,0,0.127925283765695,0,0,0,0,0,0,-0.0187287261538052,0,0,0,0,0,0,0.04291019533902,0,0,0,0.0761145514892028,0,0,0,0.36982173275693,0,0,0,0,0.0235156661772367,0,0.0479965581449606,0,0,0,0,0,0,0,0,0,-0.0273930778410473,0,0,0,0.0250439451671384,0,0,0,0,0,0.00367511775347084,0.0130523932259591,0,0,0,-0.00565301953080924,0,0
X600010.SH,0,0,0,0,0,0.0248332350073751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928151334660274,0,0,0,0,0.0182531597727962,0,0,0.0124672564320575,0,0.0428440730336848,0.00422773879766304,0,0,0,0,0,0,0,0,0.0970852968561635,0,0,0,0,0.222613713905226,0,0,0,0.0143201336195912,0,0,0,-0.0220026549356978,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193135058124317,0,0,0,0,0.00753523786347521,0,0,-0.0514163014309248,0,0,0,0,0,0,0,0,0,0,0,0,0.192518148105859,0,0,0,0,0,0.0104434609417581,0,0,0,0,0.023631275321322,0,0,0.128498694890142,0.0616426161455547,0,-0.00837713219163051,4.33680868994202e-19,0,0,0,0.0398602977148548,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141765474133261,0,0,0,0,0.0318492121581153,0,0,0,0,0.0375856664923098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148591280814724,0,0,0,0.0352569264554846,0,0,0,-0.0131472043282173,0,0
X600886.SH,0,0,0,0,0,0,-0.0331152971790992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581582812052537,0,-0.12775314319864,0,0,0.062291859676776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152745714159256,0,0,0.0651479968182908,0,0,0,-0.0208023832174172,0,0,0,0.0817603898168856,0,0
