,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X600188.SH,X000792.SZ,X600019.SH,X600111.SH,X000877.SZ,X002466.SZ,X002271.SZ,X601898.SH,X000708.SZ,X600010.SH,X600011.SH,X600547.SH,X601600.SH,X600660.SH,X000301.SZ,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000723.SZ,X000786.SZ,X600096.SH,X600803.SH,X000408.SZ,X000983.SZ,X601699.SH,X600219.SH,X600795.SH,X600801.SH,X000807.SZ,X601991.SH,X000932.SZ,X000630.SZ,X002353.SZ,X600985.SH,X002080.SZ,X000825.SZ,X600295.SH,X600688.SH,X601666.SH,X000959.SZ,X600486.SH,X600489.SH,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.241593409085488,0,0,0.0987539365058849,0,0,0,0,0,0,0,0,0.0912726354092148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163309607132703,0.0230977897390786,0,0,0,0.0226977709658314,0,0,0,0.0492959503643517,0,0,0,0,0,0.114617079127532,0,0,-0.0131624160921227,0,0,0,0.0274534334930855,0,0
X601088.SH,0.0208390897444061,0,0,0,0,0,0.0229312077371789,0,0,0,0,0,0,0.199318543213711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167318575399047,0,0,0,0,0,0,0,0,0.0447088439474499,0,0,0,0,0.0979265006251637,0,0,0,0,0,0,0.0112386761383237,0,0,0,0.0344677535599417,0,0
X600028.SH,0.102942044581658,0,0,0,0,0,0.0577919600789758,0,0,0,0,0,0,0,0,0,-0.028431928488812,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337836713622173,0.0179384450395728,0,0,0,0,0.0291442925483162,0,0,0,0,0,0,0,0,0.164090770235275,0,0,0,0,0,0,-0.0103035101761401,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0363834678096575,0,0.138957574118322,0,0,0,0,0,0.181112846083169,0,0,0,0,-1.73472347597681e-18,0,0,0.0508409934613022,0,0,0,0,0,0,0,0,0,0.0324179295489385,0.0735181511311584,0,0,0,0,0,0,0.0469409245153354,0.0301183047494862,0,0,0,0,0.00534485426059545,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127189159132061,0,0,0,0.104669274315009,0,0,0,0,0,0,0,0.453177662454883,0.0163292678471721,0,0,0,0,0,0,0.0223117998835555,0,0,0,0,0,0,0,0,-0.000969200763236868,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.225965033000228,0,0.196937669101864,0,0.316430339549932,0,0,0,0,0,0,0,0.114269135466337,0.0827088607446926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917616986896714,0.0101085949762113,0,-0.0027078790371389,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.023599912172399,0,0,0,0,0,0.0463932644801738,0,0,0.042671098229265,0,0,0,0,0,0,0,0.118826149258304,0,0,0,0,0,0,0,0.354395454498561,0,0,0,0,0,0,0,0,0,0,0,-0.046720769595577,0,0,0.219981851967723,0,0.0231472536606929,0,0,0,-0.0435126753120241,0.0798041782291677,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.120054976710456,0,0.34968134867427,-0.0819855840825774,0,0,0,0,0,0,0,0,0,0,0,0,0.290664678541596,0,0.103604747508606,0,0.0892460193179693,0,0,0,0,0,0,0,-0.0511908366160194,0,0,0,0,0,0,0,0.0404737394281119,0,0,0,0.108128228132271,0,-0.0339517172648496,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.204211827813989,0,0,0,0,0,0,0,0,0,0,0,0.153912192032801,-0.0117942399469182,0,0.0149194965292964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438043886804377,0,0,0.292021446711031,0,0,0.0375503010003976,0,0,0.0846426931824671,0,0.00412896309047023,0,0,0,0,0,0,-0.00786865939757987,0,0,0,-0.00294723637776942,0,0
X600111.SH,0,0,0,0,0,0.23665090683577,0,-4.33680868994202e-19,0,0,0.0836498140919755,0,0,0,0,0.0456532914870682,0,0,0,0,0.245274157848214,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0514458399981034,0,0,0.13288876954578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829213765329794,-0.0122461104038649,0,0,0,0,0,0
