,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X601992.SH,X002466.SZ,X600027.SH,X000898.SZ,X600111.SH,X600516.SH,X002460.SZ,X600176.SH,X600352.SH,X000709.SZ,X000786.SZ,X600219.SH,X600299.SH,X600801.SH,X000629.SZ,X600808.SH,X002271.SZ,X000825.SZ,X601158.SH,X600489.SH,X002110.SZ,X000630.SZ,X000553.SZ,X600157.SH,X000883.SZ,X600339.SH,X002470.SZ,X600985.SH,X600583.SH,X000027.SZ,X300072.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.156332766240219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110716798298217,0,0,0,0,0,0,0,0,0,0.044762281207913,0,0,0,0,0.083615004222963,0,0.106985106488806,0.0535211978464055,0,0.00581156066236477,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0405562565949175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678923158048783,0,0,0,0.0395356747012805,0,0,0,0,0,0.225474826636583,0,0,0,0,0,0,0,0,0.0532028025441066,0,0.0782341447603071,0,0,0,0,0,0.0222507283845363,0.0160124909038626,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0622609944442078,0,0,0,0,0,0,0,0,0,0,0.00199973237187851,0,0,0,0,0,0,0.10234586587153,0,0,0.111890266511278,0,0,0,0,0,0.0257762864142527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728900341600046,0,-0.00432095157751874,0.0321045383194661,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.00344732381173329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230516021846833,-0.0771188655118149,-0.0427740705416718,0.19058734408788,0,0,0.0223078930464214,0,0,0,0.230293481491637,0,0,0,0,0,0,0,0,0,-0.0500696956454458,0,0,0,0.012110894030483,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0166465806094912,0.0636972610882485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104386890760642,0,0,0.153126940385105,0,0,0,0,0,0,0,0,0,0,0,0,0.2362689635313,0,0,0.0458980594480658,0,0,0,0,0,0,0,0,0,0.000217904066288624,0.0100154054202772,0,0,0,0,0,0
X600309.SH,0,0,0,0.36017576081679,0,0,-0.0325227617281996,0,0,0,0,0,0,0,0,0,0,0,0,0.144574894063525,0,0,0,0,0,0,0,0,0,-0.0121530115111342,0,0.259855677924335,0,0,0.0256912370947179,0,0,0,0.104106098282102,0,0,0,0,0,0,0.0549141483395777,0.190868917119375,0,0,0,0.00105551080663555,-0.0148952395910332,0.0157947824564155,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729862045954067,0,0,0,0.461835645786557,0,0,-0.087527121932794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151483947055992,0,0,0,-0.0247426647634251,0,0,0,0,0,0.072809068158344,0,-0.0166940099982038,-2.16840434497101e-19,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355774406576412,0,0,0,0,0,0,0.360052071198036,0,0,0,0,0.0503967408467194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696427755497041,0,0,-0.0125222272357598,-0.00192583476564322,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0440946655961832,0,0,0,0,0,0,0,0.0545350665770924,0,0,0,0.0272737155925862,0,0,0.113927878073718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603947655612264,0,0,2.16840434497101e-19,0,0,0,0.00122241221864605,0,0,0.159520200650485,4.33680868994202e-19,0,-0.0213230385917284,-0.00397557142695515,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0720071704082401,0.259015093230064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988047014880001,0,0,0,0.0246732329299985,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0362431587012445,0,0,0,0,0,0.0973489832703581,0.073674016438802,0,0,0,0.0223270795891757,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965279247157549,0,0,0,0.00646057622446944,0,0,-0.0686035959924816,0,0,-0.0784719187797932,0,0,-0.0184462175469401,-0.01262915200379,0.0253700165169434,0,0,0,0,0,0
