,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X601600.SH,X600585.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600160.SH,X600489.SH,X600803.SH,X000807.SZ,X000708.SZ,X000301.SZ,X002466.SZ,X000786.SZ,X600027.SH,X000408.SZ,X601991.SH,X600219.SH,X002128.SZ,X600176.SH,X600426.SH,X000983.SZ,X000630.SZ,X000933.SZ,X601168.SH,X601699.SH,X600096.SH,X002353.SZ,X600378.SH,X600985.SH,X000877.SZ,X600157.SH,X600299.SH,X600549.SH,X000831.SZ,X600352.SH,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.679209471136731,0,0,0,0.0345856094006275,0,0,0,0,0,0,0,0.0228366514091752,0,0,0,-0.00793966059258198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014561485123718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00647814717485823,0.00385958285070385,0,0,0,0.0137160521315109,0,0
X601088.SH,0,0,0,0,0,0.429969127513821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520625694336294,0,0,0.0267198428831879,0,0,0,0.0651915467488409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106941676794408,-0.0146875011098676,0,0,0,0,0,0
X600028.SH,0.0404375193870971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188098942674099,0,0,0,0,0,0,0,0,0,0,0,0.230086611945528,0,0,0,0,0.050537278465585,0,0,0,0,0,0,-0.00368974495614805,0.0109279499066056,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858916811014597,0,0,0,0,0.14726729494507,0,0,0,0,0,0.00188132422458268,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.112620435803355,0.0390353261439113,0,0,0,0,0,-0.0117702362743648,-0.0254932183623266,0.0173167423278396,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207081630389864,0,0,0.176025153781254,0,0,0,0,0,0,-0.121266938652962,0,0,0,0,0,0,0,0,0,0,0,0.116093282525713,0,0,0,0,0,0,0,0,0,0,0,0,-0.00881047701599463,0.00785845562404476,0,0.0485174356342384,0,0,0,0
X601898.SH,0,0.289032913033185,0,0,0,0,0.138069259670779,0.468742013322305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273528897187137,0,0,0,-0.0133789005114195,0,0.0359503017147113,0,0,0,0,0,0,0,0,0.0233604250735771,-0.00970557403198849,0,0,0,0,0,0
X600019.SH,0,0.251555955705011,0,0,0,0,0,0,0.18581305282523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113637941838504,0,0,0.122506047934856,0.0694143721195329,-0.0499704147108417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418678596971103,0,0,0,0,0,0,0,0.0412481793641029,-0.0156575885068403,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.026810883452889,0,0,0,0,0,0,0.00264590942398228,0,0,0,0.0910688397268474,0,0,0,0,0,0,0,0,0,0,0.10908126284363,0,0,0,0,0,0,0,0,0,0.0818734333219803,0.121461993678563,0,0,0,0.183215518186802,0,0.0682304269901432,0,0,0,0,0,0,0,-0.00404617448850702,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570798664163758,0,-0.100654498987296,0,0,0.336353902337844,0,0,0,0.00146001271950538,0,0,0,0,0,0,0,0,0,0.00196938273749473,0,0,0,0.00441627447751569,0,0,0,0.0859992421756377,0.0413097917525374,0,0,0,0,0,0,0,0,0,0,-0.12010234364639,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315992724734744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10249755831689,0.202231630661644,-0.0348763226136396,0,-0.0150754161636437,0,0,0.0654399497475244,0.0163789086870297,-0.0224079501330606,0.0106289457785361,0,0,0,0,0,0
