,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X002271.SZ,X600011.SH,X000708.SZ,X600660.SH,X002460.SZ,X600886.SH,X600801.SH,X600362.SH,X600489.SH,X000786.SZ,X601898.SH,X601600.SH,X600010.SH,X600176.SH,X600352.SH,X600188.SH,X600111.SH,X601991.SH,X600426.SH,X600795.SH,X600299.SH,X600027.SH,X600688.SH,X601992.SH,X002466.SZ,X002080.SZ,X002353.SZ,X600219.SH,X000932.SZ,X600529.SH,X000301.SZ,X000959.SZ,X600486.SH,X600612.SH,X002250.SZ,X600315.SH,X000027.SZ,X002409.SZ,X000723.SZ,X000878.SZ,X002075.SZ,X601158.SH,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0508413147606429,0.0115661564422058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891235321233426,0.0237127028840976,0,-0.0311658071958551,0,0.0282806063613409,0,0,0,0.00230376444417938,0,0,0,0.029113136726794,0,0,0,0,0,-0.00568735741496352,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279196989562621,0,0,0,0,0,0,0,0,0,0,0,0,0.114216049506886,0,0,-0.00622715714667845,0,0.0372773313748058,0,0,0,0,0,0,0,0.013995413098166,0,0,0,0,0,0.00882542596443242,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.146536022456656,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.120592942568394,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108776069953083,0,0,0,0,0,0,0,0,0.0703799357544119,0.014216589272017,0,0,0,0,0,0.0123331644067098,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712559393510162,0,0.0797921612107588,0,0,0,0,0.0648585170874564,0,0,0,0,0,0.028693079630282,6.93889390390723e-18,0,0,0.0815970904201394,0,0,0,0,0.0780411799879755,0,0,0,0,0,0.0726945300583622,0.0173487513907337,0,0,0,0,-0.000970412636904522,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.102672973753969,0,0,0.0242023183905197,0,0,0,0,0,0.0216444724075687,0,0,0,0,0,0,0,0,0.189161372440734,0,0,0,0,0,0,0,0.0732312645439504,0,0,0,0,0,0,0,0,0.050967685258439,0,0.00657376340807024,0,0.163566968832846,0,0,0,0,0,-0.0122004719380691,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624491879429407,0,0,0,0,0,0.0834555187297914,0,0,0,0,0,0.0424841588932845,0,0,0,0,0,-0.0185632890554552,0,0,0,0,0,0,0.000241247367399763,0,0,0,0,0,0.102221953228335,0,0,0,0,0.0169707227421692,-0.0128162053742132,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137069368818102,0,0.0173252697182991,0,0,0,0,0,0,0,0,0,0,-0.0126935904764344,0,0,0,0.157289864845016,0,0,0,0,0,0,0,0,0.0468774274445518,0.0774265253228148,0.0567354534397067,0,0,0,0,0,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.178220982632963,0,0,0,0,0,0,0.0749322792185175,0,0,0,0,0.0849619269771047,0,0,0,0,0,0,0.250944012436135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143543359756742,0.102206169375201,0,0,0,0.0539773449857658,0.0430864020353739,0,0,0,-0.00846931890197632,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195578298570642,0,0,0,0,0,0,0.0206785583433483,0,0,0,0,0.293444286907266,0,0,0.0259189862237537,0.128279434939905,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0.00497271988667707,0,0,0,0,0.0375600893446101,0.0187504390903976,0,0,0,0.224013579832366,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138992300146676,0,0,2.77555756156289e-17,0.0409734597315928,0,0.0491874059418182,0.293953732280133,0,0,0,0,0,0,0,0,0,0,0.0122843314722713,0,0,0,0,0,0,0,0,0,0,0,0.219493658674962,0,0,0,0,0,0.00768062684689846,-0.00768678468597492,0,0,0,0,0,0
